group,n_celltypes,mean_per_spot,max_per_spot,fraction_spots_nonzero,sum_total
Stromal-muscle,6,2.227011203765869,46.50474166870117,1.0,79773.765625
Stromal-fibroblast,6,1.8137584924697876,10.681706428527832,0.9999720834147567,64970.64453125
Epithelial-alveolar,3,1.4584966897964478,11.515920639038086,0.9947516819742609,52244.80859375
Immune-lymphoid,20,1.245189905166626,8.843825340270996,0.9986041707378354,44603.94921875
Epithelial-airway,14,1.21506667137146,29.231782913208008,0.9997487507328103,43524.90234375
Vascular,7,1.2003211975097656,8.132888793945312,0.9999720834147567,42996.70703125
Broad epithelial-activity proxy,5,1.0131832361221313,7.175864219665527,0.9989670863459982,36293.23828125
Immune-myeloid,16,0.6185622215270996,6.268188953399658,0.9967337595265348,22157.517578125
Stromal-other,4,0.17816737294197083,1.4630272388458252,0.9979341726919964,6382.13330078125
Neural,2,0.12216796725988388,0.9881647229194641,0.8910974009659138,4376.1787109375
Strict epithelial-proliferative proxy,3,0.10785165429115295,2.7155838012695312,0.985902124452137,3863.35400390625
Other-blood,2,0.06610112637281418,0.6105850338935852,0.9722509142681667,2367.808349609375
