A,B,R,z,p
AT1,AT1,0.6881943345069885,449.50115966796875,0.0
AT1,AT2,0.6653209924697876,434.5611877441406,0.0
AT1,B_memory,0.6728793382644653,439.4980163574219,0.0
AT1,B_naive,0.6507298946380615,425.0308837890625,0.0
AT1,B_plasma_IgA,-0.06064249575138092,-39.6092643737793,0.0
AT1,B_plasma_IgG,0.12474413961172104,81.4779052734375,0.0
AT1,B_plasmablast,0.3826819360256195,249.95260620117188,0.0
AT1,Basal,0.01812732219696045,11.840045928955078,2.4232022738245588e-32
AT1,CD4_EM_Effector,0.6679307222366333,436.2657775878906,0.0
AT1,CD4_TRM,0.6408752799034119,418.59423828125,0.0
AT1,CD4_naive_CM,0.5893579125404358,384.94512939453125,0.0
AT1,CD8_EM,0.6634110808372498,433.313720703125,0.0
AT1,CD8_EM_EMRA,0.6954032778739929,454.2097473144531,0.0
AT1,CD8_TRM_EM,0.6727108359336853,439.387939453125,0.0
AT1,CD8_TRM,0.606833815574646,396.3597106933594,0.0
AT1,Chondrocyte,0.30467134714126587,198.99920654296875,0.0
AT1,Ciliated,-0.06426618993282318,-41.97611618041992,0.0
AT1,DC_1,0.6331159472465515,413.5261535644531,0.0
AT1,DC_2,0.6278365254402161,410.0778503417969,0.0
AT1,DC_activated,0.6705029010772705,437.94580078125,0.0
AT1,DC_plasmacytoid,0.6202753782272339,405.1391906738281,0.0
AT1,Deuterosomal,-0.1293642818927765,-84.49559783935547,0.0
AT1,Dividing_AT2,0.5865209698677063,383.0921630859375,0.0
AT1,Dividing_Basal,0.3246736526489258,212.06390380859375,0.0
AT1,Endothelia_Lymphatic,0.42103543877601624,275.00360107421875,0.0
AT1,Endothelia_vascular_Cap_a,0.6947497129440308,453.7828674316406,0.0
AT1,Endothelia_vascular_Cap_g,0.6776009202003479,442.58197021484375,0.0
AT1,Endothelia_vascular_arterial_pulmonary,0.5499845147132874,359.2279968261719,0.0
AT1,Endothelia_vascular_arterial_systemic,0.24744227528572083,161.61944580078125,0.0
AT1,Endothelia_vascular_venous_pulmonary,0.4896888732910156,319.84527587890625,0.0
