group,n_celltypes,mean_per_spot,max_per_spot,fraction_spots_nonzero,sum_total
Stromal-muscle,6,3.575892925262451,46.50474166870117,1.0,77450.265625
Stromal-fibroblast,6,2.7450156211853027,10.681706428527832,0.9999538298167043,59454.29296875
Epithelial-alveolar,3,1.8972684144973755,11.515920639038086,0.991320005540422,41092.9375
Epithelial-airway,14,1.8256466388702393,29.231782913208008,0.9995844683503393,39541.6796875
Immune-lymphoid,20,1.7173283100128174,8.843825340270996,0.9976914908352186,37195.61328125
Vascular,7,1.6111503839492798,8.132888793945312,0.9999538298167043,34895.90625
Broad epithelial-activity proxy,5,1.2930841445922852,7.175864219665527,0.9982917032180618,28006.91015625
Immune-myeloid,16,0.8534809947013855,6.268188953399658,0.9945980885544116,18485.544921875
Stromal-other,4,0.2531454861164093,1.4630272388458252,0.9967680871693061,5482.8779296875
Strict epithelial-proliferative proxy,3,0.1437690705060959,2.7155838012695312,0.9766840574357081,3113.894287109375
Neural,2,0.09689712524414062,0.9881647229194641,0.8208596888129646,2098.69482421875
Other-blood,2,0.09080579876899719,0.6105850338935852,0.9551687520199456,1966.7628173828125
