spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide1_085_12_x59000y3400,59000,3400,58800,3200
slide1_085_12_x59400y3400,59400,3400,59200,3200
slide1_085_12_x22200y8200,22200,8200,22000,8000
slide1_085_12_x45800y9400,45800,9400,45600,9200
slide1_085_12_x23800y10200,23800,10200,23600,10000
slide1_085_12_x92600y12200,92600,12200,92400,12000
slide1_085_12_x93000y12200,93000,12200,92800,12000
slide1_085_12_x39800y12600,39800,12600,39600,12400
slide1_085_12_x92600y12600,92600,12600,92400,12400
slide1_085_12_x14200y15000,14200,15000,14000,14800
slide1_085_12_x13000y15400,13000,15400,12800,15200
slide1_085_12_x13800y15400,13800,15400,13600,15200
slide1_085_12_x14200y15400,14200,15400,14000,15200
slide1_085_12_x131000y15400,131000,15400,130800,15200
slide1_085_12_x131400y15400,131400,15400,131200,15200
slide1_085_12_x131800y15400,131800,15400,131600,15200
slide1_085_12_x12600y15800,12600,15800,12400,15600
slide1_085_12_x13000y15800,13000,15800,12800,15600
slide1_085_12_x13400y15800,13400,15800,13200,15600
slide1_085_12_x13800y15800,13800,15800,13600,15600
slide1_085_12_x14200y15800,14200,15800,14000,15600
slide1_085_12_x63000y15800,63000,15800,62800,15600
slide1_085_12_x124200y15800,124200,15800,124000,15600
slide1_085_12_x124600y15800,124600,15800,124400,15600
slide1_085_12_x130600y15800,130600,15800,130400,15600
slide1_085_12_x131000y15800,131000,15800,130800,15600
slide1_085_12_x131400y15800,131400,15800,131200,15600
slide1_085_12_x131800y15800,131800,15800,131600,15600
slide1_085_12_x132200y15800,132200,15800,132000,15600
slide1_085_12_x12600y16200,12600,16200,12400,16000
slide1_085_12_x13000y16200,13000,16200,12800,16000
slide1_085_12_x63000y16200,63000,16200,62800,16000
slide1_085_12_x123800y16200,123800,16200,123600,16000
slide1_085_12_x124200y16200,124200,16200,124000,16000
slide1_085_12_x124600y16200,124600,16200,124400,16000
slide1_085_12_x125000y16200,125000,16200,124800,16000
slide1_085_12_x125400y16200,125400,16200,125200,16000
slide1_085_12_x130600y16200,130600,16200,130400,16000
slide1_085_12_x131000y16200,131000,16200,130800,16000
slide1_085_12_x131400y16200,131400,16200,131200,16000
slide1_085_12_x131800y16200,131800,16200,131600,16000
slide1_085_12_x132200y16200,132200,16200,132000,16000
slide1_085_12_x132600y16200,132600,16200,132400,16000
slide1_085_12_x12600y16600,12600,16600,12400,16400
slide1_085_12_x13000y16600,13000,16600,12800,16400
slide1_085_12_x67000y16600,67000,16600,66800,16400
slide1_085_12_x67400y16600,67400,16600,67200,16400
slide1_085_12_x67800y16600,67800,16600,67600,16400
slide1_085_12_x102600y16600,102600,16600,102400,16400
slide1_085_12_x103000y16600,103000,16600,102800,16400
slide1_085_12_x113000y16600,113000,16600,112800,16400
slide1_085_12_x113400y16600,113400,16600,113200,16400
slide1_085_12_x113800y16600,113800,16600,113600,16400
slide1_085_12_x114200y16600,114200,16600,114000,16400
slide1_085_12_x114600y16600,114600,16600,114400,16400
slide1_085_12_x123400y16600,123400,16600,123200,16400
slide1_085_12_x123800y16600,123800,16600,123600,16400
slide1_085_12_x124200y16600,124200,16600,124000,16400
slide1_085_12_x124600y16600,124600,16600,124400,16400
slide1_085_12_x125000y16600,125000,16600,124800,16400
slide1_085_12_x125400y16600,125400,16600,125200,16400
slide1_085_12_x130200y16600,130200,16600,130000,16400
slide1_085_12_x130600y16600,130600,16600,130400,16400
slide1_085_12_x131000y16600,131000,16600,130800,16400
slide1_085_12_x131400y16600,131400,16600,131200,16400
slide1_085_12_x131800y16600,131800,16600,131600,16400
slide1_085_12_x132200y16600,132200,16600,132000,16400
slide1_085_12_x132600y16600,132600,16600,132400,16400
slide1_085_12_x67400y17000,67400,17000,67200,16800
slide1_085_12_x67800y17000,67800,17000,67600,16800
slide1_085_12_x68200y17000,68200,17000,68000,16800
slide1_085_12_x102200y17000,102200,17000,102000,16800
slide1_085_12_x102600y17000,102600,17000,102400,16800
slide1_085_12_x103000y17000,103000,17000,102800,16800
slide1_085_12_x103400y17000,103400,17000,103200,16800
slide1_085_12_x103800y17000,103800,17000,103600,16800
slide1_085_12_x104200y17000,104200,17000,104000,16800
slide1_085_12_x112600y17000,112600,17000,112400,16800
slide1_085_12_x113000y17000,113000,17000,112800,16800
slide1_085_12_x113400y17000,113400,17000,113200,16800
slide1_085_12_x113800y17000,113800,17000,113600,16800
slide1_085_12_x114200y17000,114200,17000,114000,16800
slide1_085_12_x114600y17000,114600,17000,114400,16800
slide1_085_12_x115000y17000,115000,17000,114800,16800
slide1_085_12_x123400y17000,123400,17000,123200,16800
slide1_085_12_x123800y17000,123800,17000,123600,16800
slide1_085_12_x124200y17000,124200,17000,124000,16800
slide1_085_12_x124600y17000,124600,17000,124400,16800
slide1_085_12_x125000y17000,125000,17000,124800,16800
slide1_085_12_x125400y17000,125400,17000,125200,16800
slide1_085_12_x130200y17000,130200,17000,130000,16800
slide1_085_12_x130600y17000,130600,17000,130400,16800
slide1_085_12_x131000y17000,131000,17000,130800,16800
slide1_085_12_x131400y17000,131400,17000,131200,16800
slide1_085_12_x131800y17000,131800,17000,131600,16800
slide1_085_12_x132200y17000,132200,17000,132000,16800
slide1_085_12_x132600y17000,132600,17000,132400,16800
slide1_085_12_x64600y17400,64600,17400,64400,17200
slide1_085_12_x65000y17400,65000,17400,64800,17200
slide1_085_12_x66200y17400,66200,17400,66000,17200
slide1_085_12_x66600y17400,66600,17400,66400,17200
slide1_085_12_x67000y17400,67000,17400,66800,17200
slide1_085_12_x67400y17400,67400,17400,67200,17200
slide1_085_12_x67800y17400,67800,17400,67600,17200
slide1_085_12_x68200y17400,68200,17400,68000,17200
slide1_085_12_x68600y17400,68600,17400,68400,17200
slide1_085_12_x69400y17400,69400,17400,69200,17200
