A,B,R,z,p
AT1,AT1,0.5274677872657776,282.94329833984375,0.0
AT1,AT2,0.5231680870056152,280.6368408203125,0.0
AT1,B_memory,0.4609508514404297,247.2624053955078,0.0
AT1,B_naive,0.4736481010913849,254.0734405517578,0.0
AT1,B_plasma_IgA,0.15846657752990723,85.00434875488281,0.0
AT1,B_plasma_IgG,0.09399386495351791,50.420013427734375,0.0
AT1,B_plasmablast,0.17767131328582764,95.30611419677734,0.0
AT1,Basal,0.1087651178240776,58.34358215332031,0.0
AT1,CD4_EM_Effector,0.4748689532279968,254.7283172607422,0.0
AT1,CD4_TRM,0.45136499404907227,242.12037658691406,0.0
AT1,CD4_naive_CM,0.31243690848350525,167.59683227539062,0.0
AT1,CD8_EM,0.4770989418029785,255.92453002929688,0.0
AT1,CD8_EM_EMRA,0.5097932815551758,273.4623718261719,0.0
AT1,CD8_TRM_EM,0.49965065717697144,268.02166748046875,0.0
AT1,CD8_TRM,0.4604835510253906,247.01173400878906,0.0
AT1,Chondrocyte,0.08819584548473358,47.309852600097656,0.0
AT1,Ciliated,0.07947114109992981,42.6297607421875,0.0
AT1,DC_1,0.4237242043018341,227.29335021972656,0.0
AT1,DC_2,0.4810233414173126,258.0296325683594,0.0
AT1,DC_activated,0.5011839270591736,268.8441467285156,0.0
AT1,DC_plasmacytoid,0.4384990632534027,235.21885681152344,0.0
AT1,Deuterosomal,0.024074412882328033,12.913951873779297,3.7552260198422035e-38
AT1,Dividing_AT2,0.4366630017757416,234.2339630126953,0.0
AT1,Dividing_Basal,0.23955745995044708,128.50296020507812,0.0
AT1,Endothelia_Lymphatic,0.13379617035388947,71.77069091796875,0.0
AT1,Endothelia_vascular_Cap_a,0.5397287011146545,289.520263671875,0.0
AT1,Endothelia_vascular_Cap_g,0.5248528718948364,281.54058837890625,0.0
AT1,Endothelia_vascular_arterial_pulmonary,0.31734976172447205,170.23216247558594,0.0
AT1,Endothelia_vascular_arterial_systemic,0.06124572455883026,32.85331726074219,1.0213098795540752e-236
AT1,Endothelia_vascular_venous_pulmonary,0.2172657549381256,116.54529571533203,0.0
AT1,Endothelia_vascular_venous_systemic,0.028206147253513336,15.130289077758789,1.0224527972997933e-51
AT1,Erythrocyte,0.4971614480018616,266.6864318847656,0.0
AT1,Fibro_adventitial,-0.03738616034388542,-20.054615020751953,1.8396211853712685e-89
AT1,Fibro_alveolar,0.5239935517311096,281.07965087890625,0.0
AT1,Fibro_immune_recruiting,0.14243300259113312,76.40364837646484,0.0
AT1,Fibro_myofibroblast,-0.010460957884788513,-5.611447811126709,2.0064080127416356e-08
AT1,Fibro_peribronchial,0.061624303460121155,33.056392669677734,1.2590653704770661e-239
AT1,Fibro_perichondrial,-0.003376981243491173,-1.8114739656448364,0.07006751550869907
AT1,ILC,0.45415422320365906,243.61656188964844,0.0
AT1,Ionocyte_n_Brush,0.1271258145570755,68.19259643554688,0.0
AT1,MAIT,0.5057210326194763,271.2779235839844,0.0
AT1,Macro_CHIT1,0.25163552165031433,134.9818572998047,0.0
AT1,Macro_interstitial,0.49046820402145386,263.0960388183594,0.0
AT1,Macro_AW_CX3CR1,0.41863352060317993,224.5626220703125,0.0
AT1,Macro_alveolar_metallothioneins,0.4113922119140625,220.67825317382812,0.0
AT1,Macro_alv,0.23402883112430573,125.53730773925781,0.0
AT1,Macro_dividing,0.3269948363304138,175.4059600830078,0.0
AT1,Macro_int,0.39303910732269287,210.83331298828125,0.0
AT1,Macro_CCL,0.4940806031227112,265.0338134765625,0.0
AT1,Mast_cell,0.40796077251434326,218.83755493164062,0.0
AT1,Megakaryocyte,0.239103764295578,128.2595977783203,0.0
AT1,Mesothelia,0.15359018743038177,82.38856506347656,0.0
AT1,Macrophage_intermediate,0.4386196732521057,235.28355407714844,0.0
AT1,Monocyte_CD14,0.476204514503479,255.4447479248047,0.0
AT1,Monocyte_CD16,0.473897248506546,254.2070770263672,0.0
AT1,Muscle_airway,-0.1741877645254135,-93.4374771118164,0.0
AT1,Muscle_pericyte_airway,0.04801790043711662,25.757673263549805,2.644632350668027e-146
AT1,Muscle_pericyte_parenchyma,0.5074545741081238,272.20782470703125,0.0
AT1,Muscle_perivascular_immune_recruiting,0.1729765683412552,92.78777313232422,0.0
AT1,Muscle_smooth_pulmonary,-0.15994882583618164,-85.79945373535156,0.0
AT1,Muscle_smooth_syst_arterial,-0.17599748075008392,-94.40824127197266,0.0
AT1,Myoepithelial,0.19096854329109192,102.4389877319336,0.0
AT1,NAF_endoneurial,-0.07771578431129456,-41.68815612792969,0.0
AT1,NAF_perineurial,-0.14163361489772797,-75.97483825683594,0.0
AT1,NK_CD16hi,0.4877118766307831,261.61749267578125,0.0
AT1,NKT,0.49975916743278503,268.07989501953125,0.0
AT1,NK_CD11d,0.45133650302886963,242.10508728027344,0.0
AT1,NK_CD56bright,0.4280886948108673,229.63453674316406,0.0
AT1,Neuroendocrine,0.1862667351961136,99.91685485839844,0.0
AT1,SMG_Basal,0.14477652311325073,77.66075134277344,0.0
AT1,SMG_Duct,0.19319958984851837,103.6357650756836,0.0
AT1,SMG_Mucous,0.22894874215126038,122.812255859375,0.0
AT1,SMG_Serous,0.16945025324821472,90.89618682861328,0.0
AT1,Schwann_Myelinating,0.15131881833076477,81.17015838623047,0.0
AT1,Schwann_nonmyelinating,-0.08088116347789764,-43.38612365722656,0.0
AT1,Secretory_Club,0.11625752598047256,62.36264419555664,0.0
AT1,Secretory_Goblet,0.08964121341705322,48.085174560546875,0.0
AT1,Suprabasal,0.04883895441889763,26.198101043701172,2.7931496871399228e-151
AT1,T_reg,0.48586785793304443,260.6283264160156,0.0
AT1,gdT,0.47631150484085083,255.50213623046875,0.0
AT2,AT2,0.5534678101539612,296.8901672363281,0.0
AT2,B_memory,0.5229847431182861,280.53851318359375,0.0
AT2,B_naive,0.4957157075405121,265.910888671875,0.0
AT2,B_plasma_IgA,0.1619531512260437,86.8746109008789,0.0
AT2,B_plasma_IgG,0.17917273938655853,96.11151123046875,0.0
AT2,B_plasmablast,0.24697262048721313,132.4805908203125,0.0
AT2,Basal,0.0792340561747551,42.502586364746094,0.0
AT2,CD4_EM_Effector,0.4914945662021637,263.6466064453125,0.0
AT2,CD4_TRM,0.46141231060028076,247.5099334716797,0.0
AT2,CD4_naive_CM,0.39415043592453003,211.429443359375,0.0
AT2,CD8_EM,0.4943578839302063,265.1825256347656,0.0
AT2,CD8_EM_EMRA,0.550658106803894,295.38299560546875,0.0
AT2,CD8_TRM_EM,0.521192729473114,279.5772399902344,0.0
AT2,CD8_TRM,0.46584048867225647,249.88528442382812,0.0
AT2,Chondrocyte,0.12224353849887848,65.57365417480469,0.0
AT2,Ciliated,0.060115180909633636,32.24687194824219,3.891731662535981e-228
AT2,DC_1,0.510077953338623,273.6150817871094,0.0
AT2,DC_2,0.530360758304596,284.4951171875,0.0
AT2,DC_activated,0.5431777238845825,291.3703918457031,0.0
AT2,DC_plasmacytoid,0.45192497968673706,242.42076110839844,0.0
AT2,Deuterosomal,-0.012402950786054134,-6.653167724609375,2.8685097824678828e-11
AT2,Dividing_AT2,0.43866145610809326,235.30596923828125,0.0
AT2,Dividing_Basal,0.21877358853816986,117.35411834716797,0.0
AT2,Endothelia_Lymphatic,0.15361745655536652,82.40319061279297,0.0
AT2,Endothelia_vascular_Cap_a,0.547447144985199,293.66058349609375,0.0
AT2,Endothelia_vascular_Cap_g,0.5274006724357605,282.90728759765625,0.0
AT2,Endothelia_vascular_arterial_pulmonary,0.30203044414520264,162.0146026611328,0.0
AT2,Endothelia_vascular_arterial_systemic,0.0319507010281086,17.138935089111328,7.60304004169894e-66
AT2,Endothelia_vascular_venous_pulmonary,0.204234778881073,109.55523681640625,0.0
AT2,Endothelia_vascular_venous_systemic,0.035865310579538345,19.23880386352539,1.7520494502677242e-82
AT2,Erythrocyte,0.5352429151535034,287.114013671875,0.0
AT2,Fibro_adventitial,-0.036843184381723404,-19.76335334777832,6.157498064357857e-87
AT2,Fibro_alveolar,0.5411046147346497,290.2583312988281,0.0
AT2,Fibro_immune_recruiting,0.15314464271068573,82.14956665039062,0.0
AT2,Fibro_myofibroblast,-0.015946071594953537,-8.553762435913086,1.1913998285085573e-17
AT2,Fibro_peribronchial,0.019687961786985397,10.560979843139648,4.5191961349744315e-26
AT2,Fibro_perichondrial,0.0221860408782959,11.900995254516602,1.1694406892899256e-32
AT2,ILC,0.4730706214904785,253.76365661621094,0.0
AT2,Ionocyte_n_Brush,0.10800867527723312,57.93781280517578,0.0
AT2,MAIT,0.5377039909362793,288.4341735839844,0.0
AT2,Macro_CHIT1,0.33896374702453613,181.82630920410156,0.0
AT2,Macro_interstitial,0.5545980334281921,297.4964599609375,0.0
AT2,Macro_AW_CX3CR1,0.4414445161819458,236.79884338378906,0.0
AT2,Macro_alveolar_metallothioneins,0.47348564863204956,253.98629760742188,0.0
AT2,Macro_alv,0.3203314244747162,171.8315887451172,0.0
AT2,Macro_dividing,0.4085622727870941,219.16021728515625,0.0
AT2,Macro_int,0.4805138409137726,257.75634765625,0.0
AT2,Macro_CCL,0.5485040545463562,294.2275390625,0.0
AT2,Mast_cell,0.4389815032482147,235.47764587402344,0.0
AT2,Megakaryocyte,0.2063114494085312,110.66920471191406,0.0
AT2,Mesothelia,0.19291654229164124,103.48393249511719,0.0
AT2,Macrophage_intermediate,0.48686960339546204,261.1656799316406,0.0
AT2,Monocyte_CD14,0.5318168997764587,285.2762451171875,0.0
AT2,Monocyte_CD16,0.520666241645813,279.2948303222656,0.0
AT2,Muscle_airway,-0.22474391758441925,-120.55671691894531,0.0
AT2,Muscle_pericyte_airway,0.0704081580042839,37.768211364746094,0.0
AT2,Muscle_pericyte_parenchyma,0.5049546360969543,270.8668212890625,0.0
AT2,Muscle_perivascular_immune_recruiting,0.18102505803108215,97.1051254272461,0.0
AT2,Muscle_smooth_pulmonary,-0.21021980047225952,-112.76571655273438,0.0
AT2,Muscle_smooth_syst_arterial,-0.22667376697063446,-121.5919189453125,0.0
AT2,Myoepithelial,0.19322384893894196,103.6487808227539,0.0
AT2,NAF_endoneurial,-0.13242380321025848,-71.03453063964844,0.0
AT2,NAF_perineurial,-0.19836045801639557,-106.4041519165039,0.0
AT2,NK_CD16hi,0.49838364124298096,267.342041015625,0.0
AT2,NKT,0.5351606607437134,287.06988525390625,0.0
AT2,NK_CD11d,0.45397669076919556,243.52133178710938,0.0
AT2,NK_CD56bright,0.4311920404434204,231.2992401123047,0.0
AT2,Neuroendocrine,0.17826633155345917,95.62529754638672,0.0
