A,B,R
AT1,AT1,0.3502946208627628
AT1,AT2,0.3479979021560256
AT1,B_memory,0.28888771619458137
AT1,B_naive,0.299126602766476
AT1,B_plasma_IgA,0.012556039022173185
AT1,B_plasma_IgG,-0.1326324262350517
AT1,B_plasmablast,-0.150677553189025
AT1,Basal,0.07163787177138767
AT1,CD4_EM_Effector,0.313813221249245
AT1,CD4_TRM,0.28553060223298093
AT1,CD4_naive_CM,0.10912005465949569
AT1,CD8_EM,0.31365831589232473
AT1,CD8_EM_EMRA,0.30597597539687194
AT1,CD8_TRM_EM,0.32813991607427484
AT1,CD8_TRM,0.32853347459060916
AT1,Chondrocyte,-0.190622212655645
AT1,Ciliated,0.20569886504649043
AT1,DC_1,0.28520455899525843
AT1,DC_2,0.3131972616460838
AT1,DC_activated,0.3371835717091968
AT1,DC_plasmacytoid,0.30197921484056733
AT1,Deuterosomal,0.17753439499565327
AT1,Dividing_AT2,0.3289476963508275
AT1,Dividing_Basal,0.10397568046507273
AT1,Endothelia_Lymphatic,-0.21032060895085902
AT1,Endothelia_vascular_Cap_a,0.35317307227571243
AT1,Endothelia_vascular_Cap_g,0.3472508006623443
AT1,Endothelia_vascular_arterial_pulmonary,0.22477504273781873
AT1,Endothelia_vascular_arterial_systemic,0.07823367829436549
AT1,Endothelia_vascular_venous_pulmonary,-0.08416602306075632
AT1,Endothelia_vascular_venous_systemic,-0.34381490159272987
AT1,Erythrocyte,0.3362333774372483
AT1,Fibro_adventitial,-0.2394317361380935
AT1,Fibro_alveolar,0.3606138803054938
AT1,Fibro_immune_recruiting,-0.2074738146341556
AT1,Fibro_myofibroblast,-0.20595966231460255
AT1,Fibro_peribronchial,0.045260414277091016
AT1,Fibro_perichondrial,-0.07357925001997713
AT1,ILC,0.28659082961995075
AT1,Ionocyte_n_Brush,0.18389838321930868
AT1,MAIT,0.319108711208717
AT1,Macro_CHIT1,0.28760402922642786
AT1,Macro_interstitial,0.3028385392479347
AT1,Macro_AW_CX3CR1,0.20678358333836877
AT1,Macro_alveolar_metallothioneins,0.06615402116042657
AT1,Macro_alv,0.3165498974842109
AT1,Macro_dividing,0.3236857070472909
AT1,Macro_int,0.13269054508616857
AT1,Macro_CCL,0.30637567828422607
AT1,Mast_cell,0.294741093177884
AT1,Megakaryocyte,0.21029006712696469
AT1,Mesothelia,-0.20631285897068005
AT1,Macrophage_intermediate,0.17156323656194158
AT1,Monocyte_CD14,0.2927222329269844
AT1,Monocyte_CD16,0.23273485049029888
AT1,Muscle_airway,-0.01416086226731849
AT1,Muscle_pericyte_airway,-0.27597944387856976
AT1,Muscle_pericyte_parenchyma,0.3257549636757863
AT1,Muscle_perivascular_immune_recruiting,-0.2303440871709518
AT1,Muscle_smooth_pulmonary,0.03646493997134954
AT1,Muscle_smooth_syst_arterial,0.028481888193187525
AT1,Myoepithelial,-0.049666265605244675
AT1,NAF_endoneurial,0.09163665888104182
AT1,NAF_perineurial,0.03173873189099695
AT1,NK_CD16hi,0.29164163627543677
AT1,NKT,0.2799540869819832
AT1,NK_CD11d,0.2850695047220679
AT1,NK_CD56bright,0.31130949586667683
AT1,Neuroendocrine,0.07743850152563074
AT1,SMG_Basal,-0.07624301063045516
AT1,SMG_Duct,-0.13686986516846236
AT1,SMG_Mucous,0.021755675106852054
AT1,SMG_Serous,-0.1261527891089344
AT1,Schwann_Myelinating,0.0797776477744075
AT1,Schwann_nonmyelinating,0.2793554262381566
AT1,Secretory_Club,0.21120448763138205
AT1,Secretory_Goblet,0.2351877477966996
AT1,Suprabasal,0.05647598189072284
AT1,T_reg,0.31678728927968686
AT1,gdT,0.29640938192526933
AT2,AT2,0.3478099349272415
AT2,B_memory,0.28635875199158806
AT2,B_naive,0.29539806008861574
AT2,B_plasma_IgA,0.004264507844629125
AT2,B_plasma_IgG,-0.1418679166986518
AT2,B_plasmablast,-0.15697007819970052
AT2,Basal,0.06910760837730749
AT2,CD4_EM_Effector,0.3115237335785276
AT2,CD4_TRM,0.2823525611726976
AT2,CD4_naive_CM,0.11032195441383914
AT2,CD8_EM,0.3110958943397342
AT2,CD8_EM_EMRA,0.3038542965553904
AT2,CD8_TRM_EM,0.3259264539366315
AT2,CD8_TRM,0.3264475433346897
AT2,Chondrocyte,-0.20796771202696188
AT2,Ciliated,0.20122145012922105
AT2,DC_1,0.2800439028746089
AT2,DC_2,0.308735933828591
AT2,DC_activated,0.33484631724941194
AT2,DC_plasmacytoid,0.29833008864035865
AT2,Deuterosomal,0.17511838122698167
AT2,Dividing_AT2,0.3271331801011402
AT2,Dividing_Basal,0.10964038159616511
AT2,Endothelia_Lymphatic,-0.20595841531814002
AT2,Endothelia_vascular_Cap_a,0.35476338218116305
AT2,Endothelia_vascular_Cap_g,0.3483537715155366
AT2,Endothelia_vascular_arterial_pulmonary,0.22788362822237718
AT2,Endothelia_vascular_arterial_systemic,0.08394792958589388
AT2,Endothelia_vascular_venous_pulmonary,-0.08208958723462942
AT2,Endothelia_vascular_venous_systemic,-0.34438153142472017
AT2,Erythrocyte,0.3347768596488176
AT2,Fibro_adventitial,-0.24194810103805395
AT2,Fibro_alveolar,0.3633752994683683
AT2,Fibro_immune_recruiting,-0.21362133404408784
AT2,Fibro_myofibroblast,-0.20532113977894026
AT2,Fibro_peribronchial,0.05491711798901195
AT2,Fibro_perichondrial,-0.07417220153142051
AT2,ILC,0.28347673548205465
AT2,Ionocyte_n_Brush,0.1818968309953367
AT2,MAIT,0.31685178409760456
AT2,Macro_CHIT1,0.28390948891238466
AT2,Macro_interstitial,0.2989497974235121
AT2,Macro_AW_CX3CR1,0.2002430882301281
AT2,Macro_alveolar_metallothioneins,0.060022994642110396
AT2,Macro_alv,0.31613050342596233
AT2,Macro_dividing,0.32148335025294195
AT2,Macro_int,0.1259795094621303
AT2,Macro_CCL,0.30249791719672786
AT2,Mast_cell,0.2962763386458587
AT2,Megakaryocyte,0.20606110722971244
AT2,Mesothelia,-0.21295271793838694
AT2,Macrophage_intermediate,0.16548555468377946
AT2,Monocyte_CD14,0.29083171409299047
AT2,Monocyte_CD16,0.22824280771918445
AT2,Muscle_airway,-0.0029768368801428072
AT2,Muscle_pericyte_airway,-0.27773333384895554
AT2,Muscle_pericyte_parenchyma,0.32605277859220433
AT2,Muscle_perivascular_immune_recruiting,-0.2363583605281261
AT2,Muscle_smooth_pulmonary,0.04757192778382173
AT2,Muscle_smooth_syst_arterial,0.03755510017975228
AT2,Myoepithelial,-0.0573392848400419
AT2,NAF_endoneurial,0.09985710668038368
AT2,NAF_perineurial,0.04338222489333026
AT2,NK_CD16hi,0.28804055366041964
AT2,NKT,0.2769424367999054
AT2,NK_CD11d,0.28081370770582553
AT2,NK_CD56bright,0.30782938652347624
AT2,Neuroendocrine,0.07124664241591266
AT2,SMG_Basal,-0.0782527924584285
AT2,SMG_Duct,-0.14658662235837303
AT2,SMG_Mucous,0.013287942673232842
AT2,SMG_Serous,-0.1365951814659737
AT2,Schwann_Myelinating,0.07465860531525734
AT2,Schwann_nonmyelinating,0.2838765378826929
AT2,Secretory_Club,0.20645034362792927
AT2,Secretory_Goblet,0.2319524445035032
AT2,Suprabasal,0.05554902080838956
AT2,T_reg,0.31452915760268274
AT2,gdT,0.29358389545401564
B_memory,B_memory,0.24337260050351012
B_memory,B_naive,0.24920138473044687
B_memory,B_plasma_IgA,0.009507922814317572
B_memory,B_plasma_IgG,-0.09205191400734694
B_memory,B_plasmablast,-0.10254046086041078
B_memory,Basal,0.06923936679737923
B_memory,CD4_EM_Effector,0.25849897522775594
B_memory,CD4_TRM,0.23882421400816917
B_memory,CD4_naive_CM,0.11802760474602943
B_memory,CD8_EM,0.25850539213609885
B_memory,CD8_EM_EMRA,0.252332676523376
B_memory,CD8_TRM_EM,0.269675441616662
B_memory,CD8_TRM,0.27237645977386715
B_memory,Chondrocyte,-0.191607121381655
B_memory,Ciliated,0.17354602268380379
B_memory,DC_1,0.2400398263508267
B_memory,DC_2,0.2603242210132744
B_memory,DC_activated,0.2763577833325009
B_memory,DC_plasmacytoid,0.24927363369454325
B_memory,Deuterosomal,0.15331727314429575
