A,B,R
AT1,AT1,0.3605329096317291
AT1,AT2,0.36185601353645325
AT1,B_memory,0.302386999130249
AT1,B_naive,0.31288930773735046
AT1,B_plasma_IgA,0.03358260542154312
AT1,B_plasma_IgG,-0.12541045248508453
AT1,B_plasmablast,-0.14589823782444
AT1,Basal,0.08884409815073013
AT1,CD4_EM_Effector,0.3302369713783264
AT1,CD4_TRM,0.3024969696998596
AT1,CD4_naive_CM,0.11278797686100006
AT1,CD8_EM,0.3296292722225189
AT1,CD8_EM_EMRA,0.32030171155929565
AT1,CD8_TRM_EM,0.34213176369667053
AT1,CD8_TRM,0.3376210331916809
AT1,Chondrocyte,-0.17900517582893372
AT1,Ciliated,0.20227278769016266
AT1,DC_1,0.294529527425766
AT1,DC_2,0.32275712490081787
AT1,DC_activated,0.348542720079422
AT1,DC_plasmacytoid,0.31865227222442627
AT1,Deuterosomal,0.18314935266971588
AT1,Dividing_AT2,0.34697428345680237
AT1,Dividing_Basal,0.14003992080688477
AT1,Endothelia_Lymphatic,-0.20904015004634857
AT1,Endothelia_vascular_Cap_a,0.35926201939582825
AT1,Endothelia_vascular_Cap_g,0.3549659550189972
AT1,Endothelia_vascular_arterial_pulmonary,0.2358955591917038
AT1,Endothelia_vascular_arterial_systemic,0.07739190012216568
AT1,Endothelia_vascular_venous_pulmonary,-0.05360009893774986
AT1,Endothelia_vascular_venous_systemic,-0.33800339698791504
AT1,Erythrocyte,0.3482920825481415
AT1,Fibro_adventitial,-0.23493389785289764
AT1,Fibro_alveolar,0.36711588501930237
AT1,Fibro_immune_recruiting,-0.18993569910526276
AT1,Fibro_myofibroblast,-0.2027801126241684
AT1,Fibro_peribronchial,0.06639986485242844
AT1,Fibro_perichondrial,-0.06665031611919403
AT1,ILC,0.3068009912967682
AT1,Ionocyte_n_Brush,0.18637466430664062
AT1,MAIT,0.335019588470459
AT1,Macro_CHIT1,0.30053362250328064
AT1,Macro_interstitial,0.31626689434051514
AT1,Macro_AW_CX3CR1,0.23115697503089905
AT1,Macro_alveolar_metallothioneins,0.0811980664730072
AT1,Macro_alv,0.3152134418487549
AT1,Macro_dividing,0.33010098338127136
AT1,Macro_int,0.14441290497779846
AT1,Macro_CCL,0.3234923183917999
AT1,Mast_cell,0.3070734143257141
AT1,Megakaryocyte,0.22748076915740967
AT1,Mesothelia,-0.19560667872428894
AT1,Macrophage_intermediate,0.19814203679561615
AT1,Monocyte_CD14,0.3061935603618622
AT1,Monocyte_CD16,0.25102657079696655
AT1,Muscle_airway,-0.006907442584633827
AT1,Muscle_pericyte_airway,-0.2641586661338806
AT1,Muscle_pericyte_parenchyma,0.33932116627693176
AT1,Muscle_perivascular_immune_recruiting,-0.2093590497970581
AT1,Muscle_smooth_pulmonary,0.05088263005018234
AT1,Muscle_smooth_syst_arterial,0.04382053762674332
AT1,Myoepithelial,-0.00509018637239933
AT1,NAF_endoneurial,0.12715251743793488
AT1,NAF_perineurial,0.03965684399008751
AT1,NK_CD16hi,0.3104853332042694
AT1,NKT,0.2974483072757721
AT1,NK_CD11d,0.3025585412979126
AT1,NK_CD56bright,0.323599249124527
AT1,Neuroendocrine,0.12909455597400665
AT1,SMG_Basal,-0.06671858578920364
AT1,SMG_Duct,-0.1221851259469986
AT1,SMG_Mucous,0.042112767696380615
AT1,SMG_Serous,-0.09359733015298843
AT1,Schwann_Myelinating,0.12940822541713715
AT1,Schwann_nonmyelinating,0.3113965690135956
AT1,Secretory_Club,0.1982404887676239
AT1,Secretory_Goblet,0.24081960320472717
AT1,Suprabasal,0.06519582867622375
AT1,T_reg,0.3304538428783417
AT1,gdT,0.3164213001728058
AT2,AT2,0.36551764607429504
AT2,B_memory,0.3043176531791687
AT2,B_naive,0.31381338834762573
AT2,B_plasma_IgA,0.027009492740035057
AT2,B_plasma_IgG,-0.13384410738945007
AT2,B_plasmablast,-0.15218690037727356
AT2,Basal,0.0877133309841156
AT2,CD4_EM_Effector,0.33255821466445923
AT2,CD4_TRM,0.30385470390319824
AT2,CD4_naive_CM,0.11602028459310532
AT2,CD8_EM,0.3316985070705414
AT2,CD8_EM_EMRA,0.32272520661354065
AT2,CD8_TRM_EM,0.34458786249160767
AT2,CD8_TRM,0.34004727005958557
AT2,Chondrocyte,-0.19595195353031158
AT2,Ciliated,0.20108239352703094
AT2,DC_1,0.29431065917015076
AT2,DC_2,0.3231724500656128
AT2,DC_activated,0.35094520449638367
AT2,DC_plasmacytoid,0.319757342338562
AT2,Deuterosomal,0.18266990780830383
AT2,Dividing_AT2,0.3497065305709839
AT2,Dividing_Basal,0.1475532501935959
AT2,Endothelia_Lymphatic,-0.20675009489059448
AT2,Endothelia_vascular_Cap_a,0.3651173710823059
AT2,Endothelia_vascular_Cap_g,0.36048728227615356
AT2,Endothelia_vascular_arterial_pulmonary,0.2416083812713623
AT2,Endothelia_vascular_arterial_systemic,0.08255196362733841
AT2,Endothelia_vascular_venous_pulmonary,-0.05113700032234192
AT2,Endothelia_vascular_venous_systemic,-0.341799795627594
AT2,Erythrocyte,0.35138264298439026
AT2,Fibro_adventitial,-0.23941871523857117
AT2,Fibro_alveolar,0.374082088470459
AT2,Fibro_immune_recruiting,-0.19641098380088806
