cell_type,mean_a,mean_b,delta,U,p,p_bh
Muscle_pericyte_airway,0.08706715868579017,0.1405021104784239,-0.05343495179263373,1.0,2.5669159893035912e-05,0.0006576165830386801
Dividing_AT2,0.06584438474641906,0.04085612642977919,0.024988258316639866,186.0,3.816417139026809e-05,0.0006576165830386801
Endothelia_vascular_venous_systemic,0.29635849760638344,0.5266087977659135,-0.23025030015953007,4.0,4.639838874199898e-05,0.0006576165830386801
AT2,3.4842507044474282,2.223701590583438,1.2605491138639904,184.0,5.62990215562866e-05,0.0006576165830386801
Erythrocyte,0.25350604785813224,0.15815870676721847,0.09534734109091378,183.0,6.817896139080862e-05,0.0006576165830386801
Endothelia_vascular_Cap_a,2.0268216265572443,1.2070784682319278,0.8197431583253165,182.0,8.24047446568355e-05,0.0006576165830386801
Schwann_nonmyelinating,0.09100145722428958,0.042183444923943,0.04881801230034658,182.0,8.24047446568355e-05,0.0006576165830386801
CD8_TRM,0.29547446800602806,0.18468045123985835,0.1107940167661697,182.0,8.24047446568355e-05,0.0006576165830386801
DC_activated,0.17651428282260895,0.11279926661934171,0.06371501620326724,181.0,9.940473966955899e-05,0.0006576165830386801
DC_2,0.1410933252837923,0.09202127371515546,0.049072051568636824,180.0,0.00011967839503875849,0.0006576165830386801
AT1,2.5531245205137463,1.488211223057338,1.0649132974564082,180.0,0.00011967839503875849,0.0006576165830386801
Endothelia_vascular_Cap_g,1.4293535219298468,0.8689471994127546,0.5604063225170922,179.0,0.00014380665397539566,0.0006576165830386801
CD8_TRM_EM,0.26723115477297044,0.17920000425406865,0.08803115051890179,179.0,0.00014380665397539566,0.0006576165830386801
Macro_dividing,0.17005420558982426,0.10822077592213948,0.06183342966768478,179.0,0.00014380665397539566,0.0006576165830386801
Fibro_myofibroblast,0.6579078104760911,1.0226992084866477,-0.3647913980105566,11.0,0.00017246364381611886,0.0006576165830386801
Fibro_alveolar,2.6358065472708807,1.559080998102824,1.0767255491680567,178.0,0.00017246364381611886,0.0006576165830386801
Muscle_pericyte_parenchyma,0.3978489637374878,0.26357761805965785,0.13427134567782995,178.0,0.00017246364381611886,0.0006576165830386801
T_reg,0.20824305382039812,0.14342668723492397,0.06481636658547416,177.0,0.00020642975399924826,0.0006576165830386801
CD4_EM_Effector,0.22571364045143127,0.16091561956065042,0.06479802089078085,177.0,0.00020642975399924826,0.0006576165830386801
Fibro_adventitial,1.284769594669342,2.0118720872061595,-0.7271024925368175,12.0,0.00020642975399924826,0.0006576165830386801
NK_CD56bright,0.2219489961862564,0.14620093256235123,0.07574806362390518,177.0,0.00020642975399924826,0.0006576165830386801
Macro_alv,0.44066236085361904,0.2754415784563337,0.16522078239728533,177.0,0.00020642975399924826,0.0006576165830386801
Macro_interstitial,0.17222877012358773,0.1203034051827022,0.051925364940885524,176.0,0.00024660621863950506,0.0006576165830386801
