panel,subset,n_ROI,n_markers,n_h2c_types,pearson_r,pearson_p,spearman_r,spearman_p
Smooth muscle,all (a+b+c+d+t),46,4,6,-0.003,0.9853879586563533,0.038,0.8030240218959717
Smooth muscle,Tumor (a+b+t),32,4,6,0.379,0.03231484539344469,0.305,0.08963530081559921
Smooth muscle,Tumor a vs b only,29,4,6,0.349,0.06312903078304626,0.29,0.12680477692907416
Smooth muscle,T-cell (c+d),14,4,6,0.092,0.7536566177624733,0.112,0.7028331631967695
Fibroblast,all (a+b+c+d+t),46,6,6,-0.321,0.02975186590950276,-0.396,0.006428132027132519
Fibroblast,Tumor (a+b+t),32,6,6,-0.434,0.013017905706056609,-0.437,0.012318407372651203
Fibroblast,Tumor a vs b only,29,6,6,-0.443,0.01619541000252506,-0.44,0.01694330466839011
Fibroblast,T-cell (c+d),14,6,6,0.239,0.410004825884224,0.165,0.5733464050131383
Epithelial (broad proxy),all (a+b+c+d+t),46,7,5,-0.106,0.481189569024872,-0.138,0.36142004380769055
Epithelial (broad proxy),Tumor (a+b+t),32,7,5,-0.132,0.47043407363759604,-0.12,0.5147574640689447
Epithelial (broad proxy),Tumor a vs b only,29,7,5,-0.098,0.6125884622711782,-0.068,0.724138852207776
Epithelial (broad proxy),T-cell (c+d),14,7,5,0.059,0.8409091863418662,0.055,0.8520077036323677
Macrophage,all (a+b+c+d+t),46,2,9,-0.245,0.10125651795702105,-0.271,0.06845478316027695
Macrophage,Tumor (a+b+t),32,2,9,-0.282,0.11772061888276117,-0.316,0.07846720620649562
Macrophage,Tumor a vs b only,29,2,9,-0.274,0.1506939548425584,-0.293,0.12346725107255282
Macrophage,T-cell (c+d),14,2,9,-0.376,0.18498787589341967,-0.24,0.4094298928517326
B cell,all (a+b+c+d+t),46,3,5,-0.232,0.12008934627403468,-0.285,0.05511876969215123
B cell,Tumor (a+b+t),32,3,5,-0.014,0.9387371585472752,-0.049,0.7879553187671033
B cell,Tumor a vs b only,29,3,5,-0.014,0.9436499902423015,-0.04,0.8351938603203967
B cell,T-cell (c+d),14,3,5,-0.18,0.5377640474334962,-0.046,0.8755025376321142
Endothelial,all (a+b+c+d+t),33,2,7,0.1,0.5811784390042876,0.063,0.7269148990369839
Endothelial,Tumor (a+b+t),19,2,7,0.135,0.5824184540129259,0.098,0.6890532888528581
Endothelial,Tumor a vs b only,16,2,7,0.172,0.5232099146538269,0.112,0.6802736949858406
Endothelial,T-cell (c+d),14,2,7,0.152,0.6033638288356891,0.09,0.7593388378159541
