Genes,a2,a3,a6,a7,a4,a8,a9,a10,b2,b3,b4,b7,b8,b11,b12,b13,b1,b6,b5,b10,b9,b14,b15,b16,b19,b17,b18,b20,b21,t1,t2,t3,c1,c2,c3,c4,c5,d2,d1,d3,d4,d5,d6,d7,d8,d9
A1BG,19.598045228494883,18.820658899852884,19.29916552767324,19.72984309411065,19.875623378834113,19.276758262853228,18.38644773653397,,,,,,18.864878326110333,,19.308463468597584,19.96412084543749,18.139311522784595,,18.229776412213116,18.284290941804315,18.155164108720957,17.54846823387903,18.412168730030313,17.953207481887706,18.70455549855346,18.919541320617355,17.784430367484628,18.518495644261602,18.345366260989255,18.708312677107454,18.566444308854134,18.302380103585214,19.911800110841593,19.70756640483509,18.81872883104152,18.745588984428004,19.188004409584007,19.543248990793302,18.96605476462555,19.151073537384825,18.450236641620094,19.870251823990344,19.047912031467057,19.193486859372598,18.59815793521048,18.997739065199426
A2M,20.373508794615535,19.199504611053182,19.58680864199248,20.591949604566587,21.210724844636985,20.03191384848332,19.972503070658966,19.53536841299004,19.557486138825485,,18.993883733113577,19.762472879126232,19.47199267396883,19.71487769874056,20.85013799151007,19.607297800724577,20.36998918159659,19.319288430733337,19.484777667756823,20.995830625060574,20.98241152782793,19.628892254735987,21.21764536782383,21.008709003352088,19.617596599546587,21.07866031332708,20.001751783201236,19.541194950062,20.600350328080417,20.19343632508196,19.538880416459076,20.855736881565445,20.358831457837862,20.365222440373582,20.140485308575258,19.211850280368935,20.40914228849841,20.213059115726004,20.325391105537285,19.69605061297788,19.82267196194105,21.06217001911474,19.616990285714536,20.234700506721587,20.04642862518574,20.07208548797982
A2ML1,20.73199844933497,22.853444725575546,19.1417279808761,19.661311873875956,20.25807140281584,19.45904332337104,22.16414337576453,23.356248844805705,23.12065459555084,23.58749278240799,21.502288928011957,24.095357099627602,22.343984294619332,23.47229022889221,20.747332519879862,22.31562113990029,20.281069730161747,22.33650982867401,19.1607405421947,19.266781966395843,19.262214159422506,18.25828538032582,22.635548530929952,21.786840726048773,19.783431522942312,22.3663382241783,21.093965537925015,19.0439057310518,20.356340201044834,21.463895504041922,19.560009968200664,21.712961857906368,20.872103700430117,19.93426388971078,18.274314447855158,23.06593574297016,21.165855278402216,21.485646555126593,20.005621808175952,20.74580724674509,21.43865786047166,22.576036332151908,20.466476809175568,18.632512476758684,18.505656510444265,20.048798151418545
AAAS,14.594691996450731,,14.994631871347742,14.897103313105118,14.656424863277781,14.330167613467376,14.213537145503116,,,,,,15.046885261344013,,14.612632404791421,,,,14.329509059733518,15.003245580352985,14.16970582539149,14.559783358959015,14.878740665742711,14.627471186976393,14.324827476158655,14.51537953231414,14.576490251725177,14.786050061511894,14.308694540119001,14.506958358068642,14.923991291844036,14.76512549101134,14.291998025553857,,14.285264936660834,14.476784169098897,14.48049360541195,13.885391331570442,14.656229317473258,14.460443097325957,,14.005721029707088,14.158759566724735,14.599477039708542,14.064229108909178,14.133704150214022
AACS,14.800702769347405,,14.890321284392186,14.7538226207268,,14.541834718430646,,,,,,,,,15.465451617221714,,,,,14.625320724158552,14.785222558633253,14.546207183765851,15.084260298711452,14.649278635235435,14.77983731813183,15.64281606009294,15.118028558523672,15.021708739291578,,14.828245594791941,14.95290501507784,15.210275613661254,,,,,,15.112732707685089,,,,,,14.985833044624846,,
AAK1,11.556683267281977,,11.766073335945844,11.73193840827408,10.915976451323182,11.421591501406928,,,,,,,,,11.78055207010604,,,,,11.106719959931421,,11.284748927783113,11.549178204355346,11.230572902532902,11.634025974205354,11.53274065760478,12.094938689916631,11.701774287193516,,11.690574235688475,11.287100547134472,,,,11.737276923466387,,11.676221561569001,11.877774919160446,11.908644057154774,10.791219878768459,11.892926017196576,,,12.334630841625112,12.049593333179432,11.898858313877327
AAMDC,16.239080098097844,,16.554423973100725,16.4535744863752,15.907092521212226,16.498526695242607,,,,,,,,,17.432762085093884,,16.835544672073052,,16.910549045931727,16.153567864534324,16.919654788415016,17.129121992887555,16.666265618406058,16.584507477532906,16.05278878527678,17.005503939478317,16.73301532168596,16.668912677010308,16.068215664993676,16.938408018467246,17.165113089779982,16.454154682673177,,,15.967494217075947,,,,15.74755576327656,15.450434810364538,,16.176599769004554,,16.37069762222876,16.150725067923073,
AARS1,19.4595456855297,,19.748210870059047,19.709285788644543,19.381255654311932,19.587656671496145,19.16029984908852,,,,19.811540895932573,,19.450264838021123,19.413109317711967,19.970173313094573,19.37737789161034,19.784248229797782,19.456691304105863,19.696252723558032,20.28422541297922,20.214079543553495,19.193231763440384,19.935372265559366,19.82283220114925,19.08775546534364,20.177830707435046,19.293107875706465,19.223419627331726,20.093017734726264,20.04462891389732,19.11683888888437,20.18530375367826,19.21037883739094,19.16032447236561,19.041177859339133,18.615187778435303,19.110330370163066,18.997780405179913,19.087553483376464,19.071593293592468,19.4629495307459,19.18687834045975,18.960296126397484,19.70703215354184,19.313080096667953,19.251681189117953
AARS2,19.013134537599356,,19.833659132770876,19.456258146657955,19.333469857096926,19.278882720754304,18.759949932201717,,,,,,,,18.40095863161037,,18.28757261169725,,18.802513209727234,18.9798661449492,18.73456078699877,18.494441550092358,19.05738363433999,18.91531046343506,19.13721131126963,18.96356217640501,18.510207846851507,19.1241970561782,18.504640563478826,18.836031857584445,18.613620424708515,19.130273925600537,18.041530822722994,18.276974028953134,19.077279931530224,18.932145531955694,18.656945025750957,18.47492190842799,19.16664856859463,19.13463688506316,18.613832620387438,18.59423347026539,18.897508702798742,19.056939303370115,19.04004351363162,18.761213580688402
AARSD1,14.386448578572814,,15.117168238931955,14.354256270274101,14.34421960952594,14.573150110467942,,,,,,,,,,,,,14.898143151270506,14.876689599203917,,14.770947738157746,,14.564875895566836,14.031752886614166,14.257100512679806,14.530528263576292,14.691449106075629,,14.61499734238062,14.563196272216738,,14.450006216090902,,13.854313243952626,,,,14.60654401567795,14.120254080025468,14.987104098587416,14.453881489107427,,14.972221454142872,14.256252924205734,14.08735509920149
