,PC1,PC2,PC3,section,section_label,explained_var
a2,-10.247993667587073,-11.052299780554877,7.535165474621662,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a3,21.729102524309596,-3.6391086014264906,2.8316905701924235,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a6,-27.98457815084424,-13.941276602303818,-6.80386462726089,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a7,-18.475720768766994,-7.504175534547422,-4.363352056556847,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a4,-15.779303005336262,-8.734489299699524,4.2242459715572584,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a8,-21.679458143473287,-11.072661498921706,-0.3217982979412367,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a9,12.042764061024368,-7.544713274345383,5.301898536010157,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
a10,29.358316214651374,-6.7940222190962,-13.845644482832796,a,High-risk Tumor,"22.3%, 18.6%, 7.1%"
b2,28.44910374315876,-7.298933819284497,-14.166689392033561,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b3,22.244906469601716,-5.613637151223811,-5.145131639413706,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b4,9.997635506904727,-9.65126588172625,-16.996027090413158,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b7,31.798835873204325,-9.737800630185719,-13.990499508810776,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b8,18.973210329787495,-8.032134738116778,-21.26815075150828,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b11,22.406843120503808,-7.158331710736224,-13.92696683929278,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b12,0.9101482169479177,-9.710231652510528,7.508683103987839,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b13,23.844835295289908,-7.1099465836776705,-0.9043349314501081,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b1,-0.1981897375551422,-9.803304758602062,-5.811210144089881,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b6,16.620584284700982,-2.9505750789709713,-0.5885773845264912,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b5,-10.675283725830363,-8.980237928811103,-14.782126920051292,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b10,-21.66156699492433,-7.37679409637465,0.5520609902187074,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b9,-21.420690198544012,-11.830756124267134,3.6530568724562134,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b14,-35.77656928519383,-14.97379169575556,-7.747882519035043,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b15,17.417578095662034,-10.746073696587354,18.260801314893147,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b16,1.576091472673506,-24.895631989541823,13.092968513017327,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b19,-15.008040233222337,-8.712452009637907,-6.045321565827194,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b17,10.775611100395572,-6.772903128509575,26.378217610039975,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b18,-6.14827328440042,-16.1545520681315,10.34369054292246,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b20,-27.057640833579253,-10.749740991857456,-2.5780278820150957,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
b21,-7.396111521769477,-1.0434606896647498,3.357626260597402,b,Low-risk Tumor,"22.3%, 18.6%, 7.1%"
t1,-8.458623677327715,-10.110495013875637,7.18374237155077,t,Middle-risk Tumor (ctrl),"22.3%, 18.6%, 7.1%"
t2,-18.597251445433752,-17.2162709875768,-2.2378804882533063,t,Middle-risk Tumor (ctrl),"22.3%, 18.6%, 7.1%"
t3,9.381523758451163,-15.361516634482193,20.08442858127718,t,Middle-risk Tumor (ctrl),"22.3%, 18.6%, 7.1%"
c1,6.598751362615062,28.19397803618242,-2.339736323080303,c,High-risk T-cell,"22.3%, 18.6%, 7.1%"
c2,-2.6986743630723726,15.696642039234652,-5.66020583942085,c,High-risk T-cell,"22.3%, 18.6%, 7.1%"
c3,-18.792763789852977,35.87234039362008,-7.404211318872784,c,High-risk T-cell,"22.3%, 18.6%, 7.1%"
c4,26.61236186248799,15.445923271216165,14.713213235241046,c,High-risk T-cell,"22.3%, 18.6%, 7.1%"
c5,5.709781353536212,23.04184746459766,10.029531247865854,c,High-risk T-cell,"22.3%, 18.6%, 7.1%"
d2,6.956828905169883,25.95145039279456,-0.8060471458318667,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d1,-7.028123360533917,30.460924241184618,5.110713855842594,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d3,0.25836601042301993,23.629641154826185,3.1296844834437434,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d4,10.326709004140792,-1.8696145373534203,7.141829679348811,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d5,11.527206021150596,19.84992219782063,6.104811591284146,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d6,-4.4636478623978135,29.3766989556538,-1.8798871673450526,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d7,-20.288030916916327,25.62975270272183,0.34934383234731975,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d8,-18.948222350206127,14.43913543951806,-5.540413917443458,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
d9,-6.7323372700225645,26.554944118986064,-1.7334164054093502,d,Low-risk T-cell,"22.3%, 18.6%, 7.1%"
