gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
SSB,5,9,17.808963679467322,18.20241669932939,-0.3934530198620685,0.0,0.000999000999000999,0.8903349614812064
CNPY2,5,9,16.115908473769206,16.712507814864036,-0.59659934109483,0.0,0.000999000999000999,0.8903349614812064
ISLR,5,8,15.193516041132986,16.34609666656744,-1.1525806254344548,0.0,0.001554001554001554,0.8903349614812064
PACSIN2,5,9,17.875390152528198,18.354069807951742,-0.4786796554235444,1.0,0.001998001998001998,0.8903349614812064
MTDH,5,9,19.261439259881985,19.74828351454317,-0.48684425466118597,1.0,0.001998001998001998,0.8903349614812064
LUC7L3,5,9,17.30968219083885,17.67594908520531,-0.3662668943664613,2.0,0.003996003996003996,0.8903349614812064
SUN2,5,9,18.108738524192635,18.435158711168224,-0.3264201869755894,2.0,0.003996003996003996,0.8903349614812064
OGFR,5,9,17.723266177273757,18.00480161215303,-0.2815354348792738,2.0,0.003996003996003996,0.8903349614812064
SELENOM,5,9,15.839645192681555,16.506733299576386,-0.6670881068948304,2.0,0.003996003996003996,0.8903349614812064
CMPK1,5,9,17.83757604922078,18.39871320592881,-0.5611371567080319,2.0,0.003996003996003996,0.8903349614812064
DHTKD1,4,8,15.103773369434158,15.977359661165845,-0.8735862917316872,0.0,0.00404040404040404,0.8903349614812064
HBG2,4,7,19.79957224268889,16.614463453073366,3.185108789615523,28.0,0.006060606060606061,0.8903349614812064
IFIT5,4,7,15.845366994571954,15.136251708111617,0.709115286460337,28.0,0.006060606060606061,0.8903349614812064
ANK3,5,8,15.591236671387204,16.41187418101589,-0.8206375096286855,2.0,0.006216006216006216,0.8903349614812064
CLTB,5,8,17.48509810899809,18.042209546933226,-0.5571114379351343,2.0,0.006216006216006216,0.8903349614812064
LONP1,5,9,18.428668624439066,18.824817873133707,-0.3961492486946412,3.0,0.006993006993006993,0.8903349614812064
TIA1,5,9,19.718596613447453,19.995279205529187,-0.27668259208173396,3.0,0.006993006993006993,0.8903349614812064
LEMD2,5,9,16.97988020636324,17.507369951562918,-0.5274897451996772,3.0,0.006993006993006993,0.8903349614812064
PGRMC1,5,9,18.862320389395226,19.58326623042789,-0.7209458410326626,3.0,0.006993006993006993,0.8903349614812064
RPS21,5,9,20.342911167302727,20.697934411183315,-0.3550232438805878,3.0,0.006993006993006993,0.8903349614812064
IDH2,5,9,20.60356056357511,21.160280131684956,-0.5567195681098482,3.0,0.006993006993006993,0.8903349614812064
PAFAH1B3,5,9,19.63366226686807,20.111684711342296,-0.47802244447422737,3.0,0.006993006993006993,0.8903349614812064
ATP5PD,5,9,19.512625367903908,19.900067300490562,-0.38744193258665405,3.0,0.006993006993006993,0.8903349614812064
ARHGEF2,5,9,20.814522349516267,21.1297475920517,-0.3152252425354334,3.0,0.006993006993006993,0.8903349614812064
SERBP1,5,9,19.19461752271395,19.494631455225814,-0.30001393251186315,3.0,0.006993006993006993,0.8903349614812064
KCNAB2,4,8,16.26348563739087,15.87603772837002,0.3874479090208478,31.0,0.00808080808080808,0.8903349614812064
ENAH,4,8,17.07062768631824,17.879410353354885,-0.8087826670366454,1.0,0.00808080808080808,0.8903349614812064
HEBP2,5,8,16.31588881331377,16.86889425838541,-0.5530054450716406,3.0,0.010878010878010878,0.8903349614812064
FBLN5,4,9,17.648455671595592,18.55339819172653,-0.9049425201309376,2.0,0.011188811188811189,0.8903349614812064
PUF60,4,9,18.65811286728181,18.953642712478832,-0.2955298451970201,2.0,0.011188811188811189,0.8903349614812064
LCMT1,4,9,13.91494538071694,14.679767938675958,-0.7648225579590182,2.0,0.011188811188811189,0.8903349614812064
CHMP3,4,9,17.336801457036934,17.944031119808958,-0.6072296627720242,2.0,0.011188811188811189,0.8903349614812064
ATP6V0A1,5,9,16.255092739110523,15.796633966213777,0.45845877289674597,41.0,0.011988011988011988,0.8903349614812064
BAG6,5,9,17.051602183201865,17.21692353639033,-0.16532135318846386,4.0,0.011988011988011988,0.8903349614812064
PSMD2,5,9,20.041453320304377,20.297969570947252,-0.25651625064287487,4.0,0.011988011988011988,0.8903349614812064
EIF3E,5,9,18.027976220098243,18.313562372062346,-0.28558615196410386,4.0,0.011988011988011988,0.8903349614812064
STMN1,5,9,20.226962857859753,20.692590490632597,-0.46562763277284347,4.0,0.011988011988011988,0.8903349614812064
POR,5,9,18.022269517251992,18.50150690234809,-0.4792373850960985,4.0,0.011988011988011988,0.8903349614812064
AK2,5,9,19.145146761539316,19.450470823492626,-0.30532406195331063,4.0,0.011988011988011988,0.8903349614812064
CALB2,5,9,17.742277907803018,19.145489530497812,-1.4032116226947942,4.0,0.011988011988011988,0.8903349614812064
GNAS,5,9,19.457769359588852,19.244762598138497,0.21300676145035524,41.0,0.011988011988011988,0.8903349614812064
RPS2,5,9,20.234075955571882,20.560559630480157,-0.3264836749082747,4.0,0.011988011988011988,0.8903349614812064
HIBADH,5,9,17.412782799070506,17.777686850798425,-0.36490405172791895,4.0,0.011988011988011988,0.8903349614812064
ZC3H4,3,8,14.144396851981236,13.692027347526507,0.45236950445472957,24.0,0.012121212121212121,0.8903349614812064
RAB9A,4,5,14.792186266945585,15.361834236234818,-0.5696479692892336,0.0,0.015873015873015872,0.8903349614812064
TRIM65,4,8,17.135012397087557,16.697888918843386,0.4371234782441711,30.0,0.01616161616161616,0.8903349614812064
FBXO22,4,8,14.913426272551114,15.580948343164359,-0.667522070613245,2.0,0.01616161616161616,0.8903349614812064
RPE,4,8,16.039480204991854,15.721604340141923,0.31787586484993113,30.0,0.01616161616161616,0.8903349614812064
NME1,4,8,17.2826313001422,17.95373679890838,-0.6711054987661811,2.0,0.01616161616161616,0.8903349614812064
RBM28,3,7,16.383869986532236,15.91243627537277,0.47143371115946664,21.0,0.016666666666666666,0.8903349614812064
ZGPAT,3,7,12.825710397428688,12.277922594184819,0.5477878032438692,21.0,0.016666666666666666,0.8903349614812064
COMMD2,3,7,15.162686585262216,15.635123968243288,-0.47243738298107196,0.0,0.016666666666666666,0.8903349614812064
RNASEH2A,3,7,13.98020640448006,13.18744075537545,0.7927656491046093,21.0,0.016666666666666666,0.8903349614812064
TLK2,3,7,14.20405607164183,14.765146283334131,-0.5610902116923011,0.0,0.016666666666666666,0.8903349614812064
NDRG3,3,7,13.822291513738103,14.45332115677984,-0.631029643041737,0.0,0.016666666666666666,0.8903349614812064
ATXN2L,3,9,16.245961160381245,16.50476069553425,-0.25879953515300613,1.0,0.01818181818181818,0.8903349614812064
AKR1C3,5,8,16.171644168509406,15.548714735151881,0.622929433357525,36.0,0.018648018648018648,0.8903349614812064
OCIAD1,5,8,15.685323226710523,16.089368314491388,-0.40404508778086523,4.0,0.018648018648018648,0.8903349614812064
SLC25A6,5,9,19.041364106797015,19.495680466027636,-0.45431635923062075,5.0,0.01898101898101898,0.8903349614812064
RPL3,5,9,20.97062446635557,21.34884509340751,-0.37822062705193815,5.0,0.01898101898101898,0.8903349614812064
CYB5R1,5,9,16.25187132401162,16.796681590582104,-0.544810266570483,5.0,0.01898101898101898,0.8903349614812064
PSMD3,5,9,18.14786848006501,18.39146812411255,-0.24359964404753853,5.0,0.01898101898101898,0.8903349614812064
