gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
PRDX6,8,21,21.490291879133906,22.223868676426374,-0.7335767972924678,0.0,4.659674824592366e-07,0.0014771169193957799
PEBP1,8,21,20.56950544815932,21.38121583202768,-0.8117103838683626,1.0,9.319349649184732e-07,0.0014771169193957799
GDI2,8,21,20.970415731307146,21.669076499534224,-0.6986607682270787,1.0,9.319349649184732e-07,0.0014771169193957799
LDHB,8,21,21.07422021679522,21.942066116649666,-0.8678458998544478,3.0,3.261772377214656e-06,0.00351709312807711
COLGALT1,8,17,19.901134296876542,18.882863417162913,1.0182708797136293,135.0,3.6983103344659408e-06,0.00351709312807711
GSTK1,7,20,18.943353739834247,20.287273810129165,-1.3439200702949172,1.0,4.504352330439287e-06,0.0035696992218731344
EZR,6,19,20.720449083671976,21.49218983610936,-0.7717407524373847,0.0,1.1293054771315642e-05,0.006425458599371643
ARHGDIB,7,17,19.526766748098918,20.86145137713834,-1.3346846290394225,1.0,1.1557219795206064e-05,0.006425458599371643
NAMPT,6,18,18.106923376859502,18.660254717831037,-0.5533313409715355,0.0,1.4859282593836369e-05,0.006425458599371643
F11R,6,18,17.967416626951472,19.021713589266188,-1.0542969623147158,0.0,1.4859282593836369e-05,0.006425458599371643
CSTB,7,20,20.498435710011815,21.199343805299073,-0.7009080952872573,3.0,1.5765233156537502e-05,0.006425458599371643
ISYNA1,8,13,18.606844940814714,17.44710948852227,1.1597354522924448,103.0,1.9656985601258048e-05,0.006425458599371643
GLO1,6,17,16.9624499832174,18.208429701854044,-1.2459797186366437,0.0,1.9812376791781826e-05,0.006425458599371643
RAB18,6,17,16.794400286304278,17.820976639169576,-1.0265763528652982,0.0,1.9812376791781826e-05,0.006425458599371643
CCT3,7,21,20.17816240511406,20.640781819324562,-0.46261941421050423,4.0,2.026958548697679e-05,0.006425458599371643
PPCS,6,18,17.70321277262354,18.66428700384389,-0.9610742312203477,1.0,2.9718565187672738e-05,0.008247236133293104
CCT8,8,21,19.98842831876523,20.35924401408305,-0.37081569531781966,8.0,3.121982132476885e-05,0.008247236133293104
CALML5,8,21,22.95945788384444,25.032042020103166,-2.072584136258726,8.0,3.121982132476885e-05,0.008247236133293104
ALDH1B1,6,15,20.346980947604607,18.584183225666152,1.7627977219384547,90.0,3.685684800235884e-05,0.008578882417891707
FIS1,6,17,16.519713759069305,17.6775831536489,-1.1578693945795955,1.0,3.962475358356365e-05,0.008578882417891707
SSBP1,6,17,19.40489863784332,20.17493821675527,-0.7700395789119483,1.0,3.962475358356365e-05,0.008578882417891707
MRI1,7,12,17.689375671827438,16.041515425320757,1.6478602465066814,84.0,3.9691990156386444e-05,0.008578882417891707
OXCT1,6,14,18.863187726954106,19.857134224856356,-0.9939464979022503,0.0,5.159958720330237e-05,0.008762715612560814
SLC44A2,6,14,15.474054628942136,16.55891912436773,-1.0848644954255935,0.0,5.159958720330237e-05,0.008762715612560814
ALDH6A1,6,14,19.12452268681621,19.96004700744937,-0.8355243206331586,0.0,5.159958720330237e-05,0.008762715612560814
TMEM63A,6,14,14.920612176645442,15.880892354926656,-0.9602801782812147,0.0,5.159958720330237e-05,0.008762715612560814
IMPDH1,6,14,14.457754361037003,15.58026668826106,-1.122512327224058,0.0,5.159958720330237e-05,0.008762715612560814
PTPRK,6,14,15.382789819081358,16.519055214517543,-1.136265395436185,0.0,5.159958720330237e-05,0.008762715612560814
BPNT1,7,20,17.794612868741346,18.510240512751256,-0.7156276440099099,6.0,6.756528495658931e-05,0.011078376895468351
MYLK,6,15,18.63905149104877,17.624162465952974,1.0148890250957976,89.0,7.371369600471768e-05,0.011294751444207966
PPP2R5D,6,13,16.000046052217098,15.14564697057856,0.8543990816385367,78.0,7.371369600471768e-05,0.011294751444207966
DHCR7,7,21,19.344023964015232,20.290182034015977,-0.9461580700007453,7.0,7.601094557616297e-05,0.011294751444207966
