tube_id,section,n_patches,n_spots
a2,a,3,19
a3,a,3,19
a4,a,4,27
a5,a,3,18
a6,a,4,27
a7,a,4,23
a8,a,4,25
a9,a,3,19
a10,a,3,14
b1,b,3,24
b2,b,3,21
b3,b,4,27
b4,b,5,31
b5,b,4,25
b6,b,4,25
b7,b,4,27
b8,b,4,30
b9,b,3,21
b10,b,4,30
b11,b,4,25
b12,b,4,22
b13,b,5,31
b14,b,4,20
b15,b,4,25
b16,b,4,25
b17,b,4,25
b18,b,4,25
b19,b,4,28
b20,b,5,26
b21,b,5,34
c1,c,4,27
c2,c,2,12
c3,c,2,15
c4,c,2,15
c5,c,3,24
d1,d,4,25
d2,d,4,30
d3,d,4,25
d4,d,6,40
d5,d,5,34
d6,d,3,24
d7,d,6,40
d8,d,5,29
d9,d,4,30
t1,t,3,21
t2,t,4,23
t3,t,4,23
