A,B,R
AT1,AT1,0.5117545127868652
AT1,AT2,0.5027780532836914
AT1,B_memory,0.4345775842666626
AT1,B_naive,0.4571259319782257
AT1,B_plasma_IgA,0.1446143388748169
AT1,B_plasma_IgG,0.07307206839323044
AT1,B_plasmablast,0.14571082592010498
AT1,Basal,0.12207260727882385
AT1,CD4_EM_Effector,0.4596542716026306
AT1,CD4_TRM,0.43699488043785095
AT1,CD4_naive_CM,0.2749093472957611
AT1,CD8_EM,0.46212637424468994
AT1,CD8_EM_EMRA,0.48700493574142456
AT1,CD8_TRM_EM,0.48382532596588135
AT1,CD8_TRM,0.45424890518188477
AT1,Chondrocyte,0.05660315230488777
AT1,Ciliated,0.09791731834411621
AT1,DC_1,0.3931008577346802
AT1,DC_2,0.4571588933467865
AT1,DC_activated,0.4813472032546997
AT1,DC_plasmacytoid,0.4258546829223633
AT1,Deuterosomal,0.0890970528125763
AT1,Dividing_AT2,0.4148733615875244
AT1,Dividing_Basal,0.22937685251235962
AT1,Endothelia_Lymphatic,0.10097102075815201
AT1,Endothelia_vascular_Cap_a,0.5212035179138184
AT1,Endothelia_vascular_Cap_g,0.5054225325584412
AT1,Endothelia_vascular_arterial_pulmonary,0.3144775927066803
AT1,Endothelia_vascular_arterial_systemic,0.082773856818676
AT1,Endothelia_vascular_venous_pulmonary,0.19914880394935608
AT1,Endothelia_vascular_venous_systemic,0.0029769237153232098
AT1,Erythrocyte,0.4786086976528168
AT1,Fibro_adventitial,-0.0663820207118988
AT1,Fibro_alveolar,0.5041044354438782
AT1,Fibro_immune_recruiting,0.11596831679344177
AT1,Fibro_myofibroblast,-0.0354425385594368
AT1,Fibro_peribronchial,0.050812117755413055
AT1,Fibro_perichondrial,-0.05080350115895271
AT1,ILC,0.43681538105010986
AT1,Ionocyte_n_Brush,0.13910368084907532
AT1,MAIT,0.4855492413043976
AT1,Macro_CHIT1,0.21976247429847717
AT1,Macro_interstitial,0.46558627486228943
AT1,Macro_AW_CX3CR1,0.39686429500579834
AT1,Macro_alveolar_metallothioneins,0.3818334639072418
AT1,Macro_alv,0.20441724359989166
AT1,Macro_dividing,0.2970534563064575
AT1,Macro_int,0.3599824011325836
AT1,Macro_CCL,0.4697561264038086
AT1,Mast_cell,0.39077118039131165
AT1,Megakaryocyte,0.25185737013816833
AT1,Mesothelia,0.12058009952306747
AT1,Macrophage_intermediate,0.41142284870147705
AT1,Monocyte_CD14,0.4494592249393463
AT1,Monocyte_CD16,0.4475391209125519
AT1,Muscle_airway,-0.14878976345062256
AT1,Muscle_pericyte_airway,0.01660609059035778
AT1,Muscle_pericyte_parenchyma,0.48852354288101196
AT1,Muscle_perivascular_immune_recruiting,0.1487802267074585
AT1,Muscle_smooth_pulmonary,-0.13059085607528687
AT1,Muscle_smooth_syst_arterial,-0.1451900154352188
AT1,Myoepithelial,0.17105725407600403
AT1,NAF_endoneurial,-0.04016183689236641
AT1,NAF_perineurial,-0.10240843892097473
AT1,NK_CD16hi,0.4697943329811096
AT1,NKT,0.4767567813396454
AT1,NK_CD11d,0.43813157081604004
AT1,NK_CD56bright,0.42116355895996094
AT1,Neuroendocrine,0.1781318038702011
AT1,SMG_Basal,0.13721509277820587
AT1,SMG_Duct,0.17502136528491974
AT1,SMG_Mucous,0.21590809524059296
AT1,SMG_Serous,0.14664261043071747
AT1,Schwann_Myelinating,0.1558573842048645
AT1,Schwann_nonmyelinating,-0.019115643575787544
AT1,Secretory_Club,0.10069969296455383
AT1,Secretory_Goblet,0.09983666241168976
AT1,Suprabasal,0.07484563440084457
AT1,T_reg,0.4703413248062134
AT1,gdT,0.4571641683578491
AT2,AT2,0.5284184217453003
AT2,B_memory,0.4926546812057495
AT2,B_naive,0.4744621813297272
AT2,B_plasma_IgA,0.14515438675880432
AT2,B_plasma_IgG,0.15743286907672882
AT2,B_plasmablast,0.21129097044467926
AT2,Basal,0.09127242863178253
AT2,CD4_EM_Effector,0.4719153344631195
AT2,CD4_TRM,0.44240811467170715
AT2,CD4_naive_CM,0.35323718190193176
AT2,CD8_EM,0.4750117063522339
AT2,CD8_EM_EMRA,0.5232734680175781
AT2,CD8_TRM_EM,0.5010265111923218
AT2,CD8_TRM,0.4560993015766144
AT2,Chondrocyte,0.08524186164140701
AT2,Ciliated,0.07863041758537292
AT2,DC_1,0.4765021502971649
AT2,DC_2,0.5019553899765015
AT2,DC_activated,0.5193486213684082
AT2,DC_plasmacytoid,0.4351295828819275
AT2,Deuterosomal,0.05566519871354103
AT2,Dividing_AT2,0.4108080267906189
AT2,Dividing_Basal,0.20510247349739075
AT2,Endothelia_Lymphatic,0.11512459814548492
AT2,Endothelia_vascular_Cap_a,0.5238415598869324
AT2,Endothelia_vascular_Cap_g,0.50238436460495
AT2,Endothelia_vascular_arterial_pulmonary,0.29629284143447876
AT2,Endothelia_vascular_arterial_systemic,0.05216827616095543
AT2,Endothelia_vascular_venous_pulmonary,0.18135689198970795
AT2,Endothelia_vascular_venous_systemic,0.00525717344135046
AT2,Erythrocyte,0.5137819051742554
AT2,Fibro_adventitial,-0.07151342183351517
AT2,Fibro_alveolar,0.516463577747345
AT2,Fibro_immune_recruiting,0.12111201882362366
AT2,Fibro_myofibroblast,-0.046151015907526016
AT2,Fibro_peribronchial,0.0038819164037704468
AT2,Fibro_perichondrial,-0.035728368908166885
AT2,ILC,0.45115289092063904
AT2,Ionocyte_n_Brush,0.1194336786866188
AT2,MAIT,0.512924075126648
AT2,Macro_CHIT1,0.30482542514801025
AT2,Macro_interstitial,0.5265030264854431
AT2,Macro_AW_CX3CR1,0.4146654009819031
AT2,Macro_alveolar_metallothioneins,0.43979182839393616
AT2,Macro_alv,0.2886040508747101
AT2,Macro_dividing,0.376315712928772
AT2,Macro_int,0.4452906847000122
AT2,Macro_CCL,0.5202817916870117
AT2,Mast_cell,0.4178520441055298
AT2,Megakaryocyte,0.21778316795825958
AT2,Mesothelia,0.154148668050766
AT2,Macrophage_intermediate,0.45474815368652344
AT2,Monocyte_CD14,0.5010409355163574
AT2,Monocyte_CD16,0.4892111122608185
AT2,Muscle_airway,-0.19746288657188416
AT2,Muscle_pericyte_airway,0.03358346223831177
AT2,Muscle_pericyte_parenchyma,0.4807223379611969
AT2,Muscle_perivascular_immune_recruiting,0.15171533823013306
AT2,Muscle_smooth_pulmonary,-0.17861640453338623
AT2,Muscle_smooth_syst_arterial,-0.19335544109344482
AT2,Myoepithelial,0.16871322691440582
AT2,NAF_endoneurial,-0.09163807332515717
AT2,NAF_perineurial,-0.15626636147499084
AT2,NK_CD16hi,0.47537294030189514
AT2,NKT,0.5070907473564148
AT2,NK_CD11d,0.43623024225234985
AT2,NK_CD56bright,0.42064324021339417
AT2,Neuroendocrine,0.16669589281082153
AT2,SMG_Basal,0.1308773159980774
AT2,SMG_Duct,0.16758893430233002
AT2,SMG_Mucous,0.19617970287799835
AT2,SMG_Serous,0.14609697461128235
AT2,Schwann_Myelinating,0.12905356287956238
AT2,Schwann_nonmyelinating,-0.07180461287498474
AT2,Secretory_Club,0.11356890946626663
AT2,Secretory_Goblet,0.09108775854110718
AT2,Suprabasal,0.06228096783161163
AT2,T_reg,0.48309090733528137
AT2,gdT,0.47505536675453186
B_memory,B_memory,0.5830169320106506
B_memory,B_naive,0.5067858099937439
B_memory,B_plasma_IgA,0.18883250653743744
B_memory,B_plasma_IgG,0.26794207096099854
B_memory,B_plasmablast,0.389346718788147
B_memory,Basal,0.07739053666591644
B_memory,CD4_EM_Effector,0.49080583453178406
B_memory,CD4_TRM,0.4674585163593292
B_memory,CD4_naive_CM,0.509619414806366
B_memory,CD8_EM,0.49366310238838196
B_memory,CD8_EM_EMRA,0.5594201683998108
B_memory,CD8_TRM_EM,0.5093936324119568
B_memory,CD8_TRM,0.448222279548645
B_memory,Chondrocyte,0.21335572004318237
B_memory,Ciliated,0.06662694364786148
B_memory,DC_1,0.5811423659324646
B_memory,DC_2,0.542568564414978
B_memory,DC_activated,0.5463145971298218
B_memory,DC_plasmacytoid,0.45945754647254944
B_memory,Deuterosomal,0.03440924361348152
B_memory,Dividing_AT2,0.3894974887371063
B_memory,Dividing_Basal,0.2013816237449646
B_memory,Endothelia_Lymphatic,0.24996733665466309
B_memory,Endothelia_vascular_Cap_a,0.4711606502532959
B_memory,Endothelia_vascular_Cap_g,0.4542674422264099
B_memory,Endothelia_vascular_arterial_pulmonary,0.28927209973335266
B_memory,Endothelia_vascular_arterial_systemic,0.033400531858205795
B_memory,Endothelia_vascular_venous_pulmonary,0.23961493372917175
B_memory,Endothelia_vascular_venous_systemic,0.10245444625616074
B_memory,Erythrocyte,0.5441110730171204
B_memory,Fibro_adventitial,0.04377420246601105
B_memory,Fibro_alveolar,0.4901359975337982
B_memory,Fibro_immune_recruiting,0.21197451651096344
