cell_type,mean_a,mean_b,delta,U,p,p_bh
Dividing_Basal,0.10751387247672448,0.04240249159435431,0.06511138088237017,178.0,0.00022849842810712263,0.008151786614276946
SMG_Mucous,0.4587636452454787,0.3125684509674708,0.14619519427800787,177.0,0.0002735265099993669,0.008151786614276946
SMG_Basal,0.1039961980512509,0.05873713505764802,0.04525906299360288,176.0,0.00032677108737168845,0.008151786614276946
Secretory_Goblet,0.4109341255747355,0.17608565241098403,0.2348484731637515,172.0,0.000652408184556037,0.008151786614276946
Macro_AW_CX3CR1,0.04334985980620751,0.029968749483426413,0.013381110322781095,172.0,0.000652408184556037,0.008151786614276946
SMG_Duct,1.5880286647723272,1.1581228693326315,0.42990579543969565,170.0,0.0009108581298148211,0.008151786614276946
B_plasma_IgA,0.4869248729485732,0.3212804883718491,0.1656443845767241,168.0,0.0012616021206475665,0.008151786614276946
NK_CD16hi,0.15738201313293898,0.11788205603758493,0.039499957095354046,168.0,0.0012616021206475665,0.008151786614276946
Macro_alveolar_metallothioneins,0.056116352001061805,0.04503517026702563,0.011081181734036175,168.0,0.0012616021206475665,0.008151786614276946
Secretory_Club,0.05511893145740032,0.02601941383133332,0.029099517626067002,167.0,0.0014803475810029293,0.008151786614276946
NK_CD11d,0.15680206853609818,0.11302209148804347,0.04377997704805471,167.0,0.0014803475810029293,0.008151786614276946
CD4_TRM,0.14113203378824088,0.10858173221349716,0.032550301574743715,166.0,0.0017335785490894002,0.008151786614276946
ILC,0.11274445687349026,0.0902293674647808,0.022515089408709457,166.0,0.0017335785490894002,0.008151786614276946
Muscle_perivascular_immune_recruiting,0.10397109847802383,0.08589692165454228,0.018074176823481544,166.0,0.0017335785490894002,0.008151786614276946
Macrophage_intermediate,0.04132460659513107,0.03350566178560257,0.007818944809528501,166.0,0.0017335785490894002,0.008151786614276946
Ciliated,2.254450743014996,1.1907722314198812,1.0636785115951148,165.0,0.002026110403809049,0.008151786614276946
gdT,0.13917049364401743,0.11168223867813747,0.027488254965879963,165.0,0.002026110403809049,0.008151786614276946
B_naive,0.14000526930277163,0.10734907984733581,0.032656189455435816,165.0,0.002026110403809049,0.008151786614276946
NK_CD56bright,0.1527130936200802,0.10974057937661806,0.04297251424346214,165.0,0.002026110403809049,0.008151786614276946
Deuterosomal,0.08067399693223146,0.04546392305443684,0.035210073877794616,164.0,0.0023633263452199297,0.008151786614276946
Ionocyte_n_Brush,0.1339033988232796,0.06567483146985371,0.06822856735342588,164.0,0.0023633263452199297,0.008151786614276946
DC_1,0.07603465450497773,0.05943756699562073,0.016597087509357004,164.0,0.0023633263452199297,0.008151786614276946
DC_plasmacytoid,0.06056507848776304,0.04604277362426122,0.014522304863501818,164.0,0.0023633263452199297,0.008151786614276946
DC_2,0.08928742574957702,0.062191075583299,0.027096350166278017,163.0,0.00275122798231847,0.008151786614276946
CD4_EM_Effector,0.149541291479881,0.11779533078273137,0.03174596069714962,163.0,0.00275122798231847,0.008151786614276946
CD8_EM,0.15036146915875948,0.11679662565390268,0.03356484350485679,163.0,0.00275122798231847,0.008151786614276946
Monocyte_CD16,0.0925076025036665,0.07527748023470243,0.017230122268964074,163.0,0.00275122798231847,0.008151786614276946
Dividing_AT2,0.03984962776303291,0.026916134543716906,0.012933493219316007,162.0,0.0031964880119685845,0.008472010757884119
Suprabasal,0.2815804137633397,0.1680501163005829,0.11353029746275681,162.0,0.0031964880119685845,0.008472010757884119
T_reg,0.1373037821971453,0.10602434525887171,0.031279436938273605,162.0,0.0031964880119685845,0.008472010757884119
MAIT,0.15275945285191903,0.12108045816421509,0.03167899468770394,161.0,0.003706504706574302,0.008472010757884119
Basal,0.3250862176601703,0.19682778517405192,0.1282584324861184,161.0,0.003706504706574302,0.008472010757884119
NKT,0.18100981987439668,0.14565180987119675,0.035358010003199936,161.0,0.003706504706574302,0.008472010757884119
Fibro_immune_recruiting,0.08806654352408189,0.073434762408336,0.014631781115745882,161.0,0.003706504706574302,0.008472010757884119
CD8_TRM,0.19479095018826997,0.1397926390171051,0.05499831117116488,161.0,0.003706504706574302,0.008472010757884119
Macro_interstitial,0.09984573091451938,0.0760982113579909,0.023747519556528485,160.0,0.004289457861036744,0.009030437602182619
Megakaryocyte,0.029286071228293273,0.021919008530676364,0.007367062697616909,160.0,0.004289457861036744,0.009030437602182619
CD8_TRM_EM,0.16776773161613023,0.12784852186838785,0.03991920974774238,160.0,0.004289457861036744,0.009030437602182619
Macro_CHIT1,0.16687309741973877,0.12939809113740922,0.037475006282329554,159.0,0.004954365778050534,0.009436887196286731
Muscle_pericyte_parenchyma,0.2168967334123758,0.16144351065158843,0.055453222760787374,159.0,0.004954365778050534,0.009436887196286731
Muscle_airway,0.4109072754016289,0.610385807355245,-0.19947853195361603,36.0,0.004954365778050534,0.009436887196286731
AT1,1.2123990196448107,0.8171128928661346,0.39528612677867603,159.0,0.004954365778050534,0.009436887196286731
Fibro_perichondrial,0.04512262473312708,0.030754727808137736,0.014367896924989344,158.0,0.005711142795519263,0.009721094120032787
Endothelia_vascular_Cap_a,1.0716335544219384,0.7645287195841471,0.3071048348377913,158.0,0.005711142795519263,0.009721094120032787
Mast_cell,0.12369560221066841,0.10252729058265686,0.021168311628011555,158.0,0.005711142795519263,0.009721094120032787
Macro_CCL,0.05923866136715962,0.04634454362094402,0.0128941177462156,158.0,0.005711142795519263,0.009721094120032787
Macro_int,0.12600027769804,0.10370114594697952,0.02229913175106049,158.0,0.005711142795519263,0.009721094120032787
DC_activated,0.10573482513427734,0.08041200637817383,0.02532281875610351,157.0,0.0065706567816210025,0.010513050850593604
B_memory,0.1407570460667977,0.11916222224632898,0.02159482382046872,157.0,0.0065706567816210025,0.010513050850593604
Chondrocyte,0.1660558506846428,0.23439174890518188,-0.06833589822053909,38.0,0.0065706567816210025,0.010513050850593604
Mesothelia,0.05644855390374477,0.04651975333690643,0.009928800566838342,156.0,0.0075447859428227045,0.011177460656033636
Schwann_Myelinating,0.09491830491102658,0.07151527752478917,0.02340302738623741,156.0,0.0075447859428227045,0.011177460656033636
CD8_EM_EMRA,0.20671361340926245,0.16641394247611363,0.04029967093314882,156.0,0.0075447859428227045,0.011177460656033636
Muscle_smooth_pulmonary,0.23648165281002337,0.3369811107714971,-0.10049945796147375,39.0,0.0075447859428227045,0.011177460656033636
Endothelia_vascular_Cap_g,0.787271628013024,0.5795978963375091,0.20767373167551484,155.0,0.008646474209101512,0.012135402398738964
Monocyte_CD14,0.17661397732221162,0.14938998619715374,0.027223991125057884,155.0,0.008646474209101512,0.012135402398738964
Neuroendocrine,0.037680772348092154,0.03145804616312186,0.006222726184970294,155.0,0.008646474209101512,0.012135402398738964
Fibro_alveolar,1.325356322985429,0.9806661506493887,0.3446901723360404,153.0,0.011289948137763824,0.015308404254595015
Macro_dividing,0.09279214705412205,0.07242913593848546,0.020363011115636584,153.0,0.011289948137763824,0.015308404254595015
Macro_alv,0.24870596482203558,0.1957051197687785,0.053000845053257084,150.0,0.016602337989206427,0.021422371598976035
AT2,1.799442355449383,1.3942584633827209,0.40518389206666217,150.0,0.016602337989206427,0.021422371598976035
Endothelia_vascular_arterial_pulmonary,0.09880343881937173,0.0828954262038072,0.01590801261556453,150.0,0.016602337989206427,0.021422371598976035
Schwann_nonmyelinating,0.0713808462023735,0.055125393470128375,0.01625545273224513,149.0,0.01880710166283665,0.023147202046568185
Muscle_smooth_syst_arterial,0.5099657407173743,0.6901824951171875,-0.18021675439981322,46.0,0.01880710166283665,0.023147202046568185
Endothelia_vascular_venous_pulmonary,0.07602812349796295,0.06854467764496804,0.007483445852994916,149.0,0.01880710166283665,0.023147202046568185
Erythrocyte,0.14277355659466523,0.11824905027945837,0.024524506315206862,148.0,0.021263813992837943,0.025774319991318722
Myoepithelial,0.19917093217372894,0.16522178053855896,0.03394915163516998,144.0,0.03408997487531451,0.04010585279448766
Endothelia_vascular_venous_systemic,0.41363173035474926,0.3647809445858002,0.04885078576894908,144.0,0.03408997487531451,0.04010585279448766
CD4_naive_CM,0.24478065623686865,0.22280190785725912,0.02197874837960953,143.0,0.0381778192667244,0.04363179344768503
B_plasmablast,0.2696554752496573,0.21414495805899303,0.055510517190664244,143.0,0.0381778192667244,0.04363179344768503
Endothelia_vascular_arterial_systemic,0.06936596534573115,0.050464052334427835,0.01890191301130332,142.0,0.04267518404909314,0.048084714421513394
SMG_Serous,1.2519864806762109,1.0663445790608723,0.18564190161533856,138.0,0.06538542362105745,0.0716552587628027
Fibro_peribronchial,0.05037605848449927,0.045791856944561005,0.004584201539938264,138.0,0.06538542362105745,0.0716552587628027
Muscle_pericyte_airway,0.08697013958142354,0.08116691509882609,0.005803224482597444,120.0,0.3108512029584284,0.3360553545496523
Endothelia_Lymphatic,0.06167913056336916,0.05867046937346458,0.003008661189904581,114.0,0.4610946780253201,0.4918343232270081
Fibro_myofibroblast,0.4543737012606401,0.4337698370218277,0.020603864238812386,111.0,0.5492732687760808,0.5781823881853483
B_plasma_IgG,0.07915387732478288,0.07507742345333099,0.0040764538714518905,109.0,0.6123521490007251,0.6362100249358182
NAF_endoneurial,0.05262879425516495,0.050138161331415174,0.0024906329237497776,108.0,0.6450472646857882,0.6615869381392699
Fibro_adventitial,1.2523749333161573,1.205163017908732,0.04721191540742531,104.0,0.7822469515625688,0.7921488117089305
NAF_perineurial,0.07151564353933701,0.07359432230393091,-0.0020786787645939026,94.0,0.8900854910841072,0.8900854910841072
