cell_type,gene,r,p,rank,direction,p_bh
AT1,BAZ1B,-0.6144541923736109,3.389980755885702e-06,1,neg,1.450259146902974e-05
AT1,NCOR1,-0.5252879215838984,0.00012634647746634364,2,neg,0.00021145853969262534
AT1,NR2C2,-0.4777824112631762,0.0005942682916393327,3,neg,0.0007314071281714864
AT1,EPM2AIP1,-0.4510072577313598,0.001294727815024821,4,neg,0.0013921804462632482
AT1,FEN1,-0.4464837823254806,0.0014677891066217086,5,neg,0.0015573359221450489
AT2,BAZ1B,-0.5548237278455471,4.27068830477495e-05,1,neg,0.00010168305487559405
AT2,NCOR1,-0.5222065791939066,0.0001406803407368873,2,neg,0.00022874852152339397
AT2,NR2C2,-0.47845907268512916,0.0005822042024030694,3,neg,0.0007232350340410799
AT2,EPM2AIP1,-0.4451683810398614,0.0015218396843028614,4,neg,0.001606163255200909
AT2,ITGB7,-0.42993944774320764,0.0022895164564040726,5,neg,0.0023243821892427134
B_memory,NCOR1,-0.5385828389102922,7.851521526069938e-05,1,neg,0.0001565166478835991
B_memory,BAZ1B,-0.5062091011507908,0.00024181393021338593,2,neg,0.00034554187529448456
B_memory,ZFYVE19,-0.46844487073114843,0.0007853217830036119,3,neg,0.0009185050093609496
B_memory,EPM2AIP1,-0.4573452322223237,0.0010828735148642465,4,neg,0.0012048662195986053
B_memory,ITGB7,-0.4557394925687907,0.0011333877821686489,5,neg,0.0012403696658480426
B_naive,BAZ1B,-0.5980222554942496,7.170199079808981e-06,1,neg,2.5370226434211163e-05
B_naive,LAP3,-0.492724092981815,0.000374078112971965,2,neg,0.000501277203312516
B_naive,ITGB7,-0.48911211298502894,0.0004191789633798404,3,neg,0.0005524599187872691
B_naive,ZFYVE19,-0.4669295414857724,0.0008210573050573267,4,neg,0.0009575012303875529
B_naive,ERC1,-0.45659623187338844,0.001106179958943354,5,neg,0.0012222982971749768
B_plasma_IgA,CCDC88B,-0.7844277571961388,4.2195802407718475e-11,1,neg,2.8704372212473572e-08
B_plasma_IgA,SH3BP1,-0.7417266366551601,1.626332402082653e-09,2,neg,7.038276463702089e-08
B_plasma_IgA,BTN3A3,-0.7096374170047406,1.6333260965950558e-08,3,neg,2.010247503501607e-07
B_plasma_IgA,ICAM3,-0.7088103459242402,1.7263118268218136e-08,4,neg,2.0612678529215685e-07
B_plasma_IgA,LCP1,-0.7082108045674023,1.796796111896981e-08,5,neg,2.1045620611305692e-07
B_plasma_IgG,NPTN,-0.5995690050127621,6.693839437854621e-06,1,neg,2.412194392019683e-05
B_plasma_IgG,IGKV3D-7,-0.5704026485854075,2.3097174391306652e-05,2,neg,6.670664084131885e-05
B_plasma_IgG,CIRBP,-0.5582978060382653,3.733593225874188e-05,3,neg,9.482141526029683e-05
B_plasma_IgG,TRAPPC6B,-0.5439284746754903,6.447787699426222e-05,4,neg,0.00013903585335689966
B_plasma_IgG,IGHV3-30;IGHV3-30-5,-0.5420702645787817,6.907339319028871e-05,5,neg,0.00014503599620008129
B_plasmablast,CCDC88B,-0.6255299182436981,1.996680901950043e-06,1,neg,9.622558563614666e-06
B_plasmablast,GGT5,-0.6250565130107076,2.043230042270139e-06,2,neg,9.737209281088971e-06
B_plasmablast,PPP1R12A,-0.6172035459344981,2.9781958084118543e-06,3,neg,1.313887300106139e-05
B_plasmablast,H3-5,-0.6171263618866474,2.9890936077414665e-06,4,neg,1.313887300106139e-05
B_plasmablast,NFKB2,-0.6103764166895269,4.098664555973741e-06,5,neg,1.6560260832217137e-05
Basal,LAP3,-0.5993458713419415,6.760703887387365e-06,1,neg,2.4253646232779785e-05
Basal,PEA15,-0.5905112620320553,9.961536141522842e-06,2,neg,3.293069798850526e-05
Basal,YWHAH,-0.5518272176284613,4.78988938181768e-05,3,neg,0.00011074888744087121
Basal,ANAPC4,-0.5275084100671991,0.00011685626299051677,4,neg,0.00020061161028414896
Basal,TIGAR,-0.5239786100312279,0.00013226620806250367,5,neg,0.00021862183150827053
CD4_EM_Effector,BAZ1B,-0.6044812238319047,5.368047797826847e-06,1,neg,2.035278785905914e-05
CD4_EM_Effector,ITGB7,-0.4768793743766996,0.0006107186506658646,2,neg,0.0007482004908617024
CD4_EM_Effector,NCOR1,-0.45908213715508706,0.0010305076562979743,3,neg,0.0011530155594942368
CD4_EM_Effector,ERC1,-0.4480432985475687,0.0014059279675384673,4,neg,0.0014996564987076984
CD4_EM_Effector,LAP3,-0.44232557457931176,0.001644746801489294,5,neg,0.0017177512287094455
CD4_TRM,BAZ1B,-0.6095657617962263,4.254958475780057e-06,1,neg,1.6964956210432746e-05
CD4_TRM,LAP3,-0.5076551434844879,0.00023051131360762867,2,neg,0.0003322685601551404
CD4_TRM,ITGB7,-0.4852530606810584,0.00047273672189795946,3,neg,0.0006129487480038372
CD4_TRM,ERC1,-0.44674481254282095,0.0014572688721883331,4,neg,0.0015482272214484283
CD4_TRM,ZFYVE19,-0.4447555800799444,0.0015391634585824043,5,neg,0.001618043057642475
CD4_naive_CM,NCOR1,-0.49868499666376986,0.0003091510788375551,1,neg,0.0004286323450087419
CD4_naive_CM,PEX5,-0.4626029208014778,0.0009312540574570871,2,neg,0.0010627721055145075
CD4_naive_CM,DERPC,-0.4533427491201634,0.001212706214678727,3,neg,0.0013181589289986164
CD4_naive_CM,POLR2G,-0.44342495616284255,0.001596206169298453,4,neg,0.0016736106624361238
CD4_naive_CM,ATN1,-0.4415514666177815,0.0016797090400710868,5,neg,0.001747421628162379
CD8_EM,BAZ1B,-0.6019937917371062,6.005598671476875e-06,1,neg,2.2140455931711982e-05
CD8_EM,ITGB7,-0.4781966538544305,0.0005868564150270927,2,neg,0.0007278839256149987
CD8_EM,NCOR1,-0.4560601947000577,0.001123133873348392,3,neg,0.001230831642025635
CD8_EM,ERC1,-0.45294556099312855,0.0012263191240182714,4,neg,0.001329343223868045
CD8_EM,LAP3,-0.45237719423854494,0.0012460361484951665,5,neg,0.0013470661064812612
CD8_EM_EMRA,BAZ1B,-0.555358776446042,4.1836023644714615e-05,1,neg,0.00010109155460230329
CD8_EM_EMRA,NCOR1,-0.5350481849411377,8.927480456466519e-05,2,neg,0.00016730447358599354
CD8_EM_EMRA,ITGB7,-0.4872268800976449,0.0004446178072232687,3,neg,0.0005802516244349347
CD8_EM_EMRA,ZFYVE19,-0.43947214433674836,0.0017769143685328892,4,neg,0.001846144798475729
CD8_EM_EMRA,EPM2AIP1,-0.4391523010915147,0.001792301980031441,5,neg,0.0018597167107978637
CD8_TRM,BAZ1B,-0.5971034103937115,7.467815716255544e-06,1,neg,2.608843918342548e-05
CD8_TRM,ERC1,-0.5120034051804067,0.00019935049457808773,2,neg,0.00029692134169360463
CD8_TRM,LAP3,-0.4858186704307953,0.0004645195734904739,3,neg,0.0006032721733642518
CD8_TRM,ITGB7,-0.4295139628067593,0.002315175352286092,4,neg,0.002347452828680448
CD8_TRM,FEN1,-0.42291223453043036,0.0027472317582513117,5,neg,0.0027714822277440723
CD8_TRM_EM,BAZ1B,-0.5977547409716413,7.255696590879879e-06,1,neg,2.5458584529403087e-05
CD8_TRM_EM,NCOR1,-0.4797877593285201,0.0005591544710323859,2,neg,0.0007033389572734414
CD8_TRM_EM,ITGB7,-0.477825224570447,0.0005934983671227467,3,neg,0.0007314071281714864
CD8_TRM_EM,ERC1,-0.4627751915039509,0.000926625134333614,4,neg,0.0010590001535241303
CD8_TRM_EM,ZFYVE19,-0.4372035558836042,0.0018886402152931137,5,neg,0.0019445459102117
Chondrocyte,IGKV1-33;IGKV1D-33,-0.7168540921751567,9.992758620569475e-09,1,neg,1.4329699220588897e-07
Chondrocyte,THY1,-0.6888038001260814,6.232948690509943e-08,2,neg,5.342871620305861e-07
Chondrocyte,VCL,-0.6811981048626419,9.890859553607356e-08,3,neg,7.784842365514819e-07
Chondrocyte,CNN2,-0.680207896823711,1.049317568391217e-07,4,neg,8.150039366145375e-07
Chondrocyte,RFTN1,-0.671186965178787,1.7796137807835066e-07,5,neg,1.2168299355784661e-06
Ciliated,PEA15,-0.59084688767153,9.817973879888697e-06,1,neg,3.272657959962899e-05
Ciliated,YWHAH,-0.5649097097742998,2.8788288313208454e-05,2,neg,7.743646864076497e-05
Ciliated,LAP3,-0.5638743776734008,2.999547023940785e-05,3,neg,7.932132114968953e-05
Ciliated,ELOB,-0.5379067139934579,8.047683095147029e-05,4,neg,0.00015779770774798096
Ciliated,CWC27,-0.5277143928117178,0.00011600969668568162,5,neg,0.000200016718423589
DC_1,ZFYVE19,-0.5236146792299453,0.00013395590202791574,1,neg,0.000220958188912026
