tube_id,section,cosine_similarity
e1,e,0.5521355333568716
e2,e,0.530993849336947
e3,e,0.5777896774616424
e4,e,0.5755680848209701
e5,e,0.5932317078339662
e6,e,0.5761420672422808
e7,e,0.5730999866975606
e8,e,0.5580377379779399
e9,e,0.5598620699672027
e10,e,0.499539838111884
e11,e,0.562338554817483
e12,e,0.5905554302629829
e13,e,0.5693101201056959
f1,f,0.5657988525684715
f2,f,0.5813204592078917
f3,f,0.5795999946020559
f4,f,0.5944657958527562
f5,f,0.5982919326934696
f6,f,0.5899458849584898
f7,f,0.5941158504218422
f8,f,0.5824823916369151
f9,f,0.5674189133480473
f10,f,0.6021878133697631
f11,f,0.5753189431183018
f12,f,0.5200710526696081
f13,f,0.5549890217128275
f14,f,0.5509621525645759
f15,f,0.5696542984905936
g1,g,0.5326493532118992
g2,g,0.5348981345128978
g3,g,0.4986789485589369
g4,g,0.5036764768258094
g5,g,0.5189218960952083
g6,g,0.5007217698227009
g7,g,0.441649444687189
h1,h,0.5305872698561734
h2,h,0.5449054406418252
h3,h,0.6014666469314645
h4,h,0.5930457213581064
h5,h,0.5844540442864851
h6,h,0.5234105340172281
h7,h,0.5131867463481058
h8,h,0.5883669119473458
v1,v,0.5854042153698645
v2,v,0.5623787530656208
v3,v,0.5976611415255597
v4,v,0.5857995414850652
v5,v,0.5535640397044408
