tube_id,section,section_label,n_spots,top1,top1_group,top2,top2_group,top3,top3_group,top4,top4_group,top5,top5_group
e1,e,High-risk Tumor,25,AT2 (2.25),Epithelial-alveolar,Ciliated (2.09),Epithelial-airway,Fibro_alveolar (1.67),Stromal-fibroblast,AT1 (1.56),Epithelial-alveolar,SMG_Duct (1.36),Epithelial-airway
e2,e,High-risk Tumor,36,Ciliated (3.64),Epithelial-airway,SMG_Duct (1.77),Epithelial-airway,AT2 (1.75),Epithelial-alveolar,Fibro_alveolar (1.42),Stromal-fibroblast,AT1 (1.37),Epithelial-alveolar
e3,e,High-risk Tumor,28,Ciliated (2.16),Epithelial-airway,AT2 (1.67),Epithelial-alveolar,Fibro_adventitial (1.58),Stromal-fibroblast,SMG_Duct (1.31),Epithelial-airway,SMG_Serous (1.17),Epithelial-airway
e4,e,High-risk Tumor,24,SMG_Duct (1.82),Epithelial-airway,AT2 (1.58),Epithelial-alveolar,Ciliated (1.40),Epithelial-airway,SMG_Serous (1.35),Epithelial-airway,Fibro_adventitial (1.24),Stromal-fibroblast
e5,e,High-risk Tumor,21,Fibro_adventitial (1.61),Stromal-fibroblast,SMG_Duct (1.49),Epithelial-airway,SMG_Serous (1.28),Epithelial-airway,AT2 (1.20),Epithelial-alveolar,Ciliated (1.18),Epithelial-airway
e6,e,High-risk Tumor,21,AT2 (1.88),Epithelial-alveolar,Ciliated (1.74),Epithelial-airway,Fibro_alveolar (1.47),Stromal-fibroblast,AT1 (1.20),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.09),Vascular
e7,e,High-risk Tumor,30,Ciliated (2.32),Epithelial-airway,SMG_Duct (1.99),Epithelial-airway,AT2 (1.65),Epithelial-alveolar,SMG_Serous (1.60),Epithelial-airway,Fibro_adventitial (1.59),Stromal-fibroblast
e8,e,High-risk Tumor,25,Ciliated (2.08),Epithelial-airway,AT2 (1.97),Epithelial-alveolar,SMG_Duct (1.53),Epithelial-airway,Fibro_adventitial (1.46),Stromal-fibroblast,Fibro_alveolar (1.45),Stromal-fibroblast
e9,e,High-risk Tumor,30,Ciliated (2.54),Epithelial-airway,AT2 (2.54),Epithelial-alveolar,Fibro_alveolar (1.89),Stromal-fibroblast,SMG_Duct (1.78),Epithelial-airway,AT1 (1.77),Epithelial-alveolar
e10,e,High-risk Tumor,40,Ciliated (4.54),Epithelial-airway,AT2 (1.82),Epithelial-alveolar,SMG_Duct (1.46),Epithelial-airway,Fibro_alveolar (1.27),Stromal-fibroblast,AT1 (1.26),Epithelial-alveolar
e11,e,High-risk Tumor,31,Ciliated (2.77),Epithelial-airway,AT2 (2.00),Epithelial-alveolar,SMG_Duct (1.65),Epithelial-airway,Fibro_alveolar (1.47),Stromal-fibroblast,AT1 (1.44),Epithelial-alveolar
e12,e,High-risk Tumor,19,SMG_Duct (1.69),Epithelial-airway,AT2 (1.35),Epithelial-alveolar,SMG_Serous (1.29),Epithelial-airway,Fibro_adventitial (1.20),Stromal-fibroblast,Fibro_alveolar (1.06),Stromal-fibroblast
e13,e,High-risk Tumor,16,Ciliated (1.99),Epithelial-airway,SMG_Duct (1.81),Epithelial-airway,AT2 (1.74),Epithelial-alveolar,SMG_Serous (1.32),Epithelial-airway,Fibro_alveolar (1.30),Stromal-fibroblast
f1,f,Low-risk Tumor,30,Ciliated (1.86),Epithelial-airway,AT2 (1.66),Epithelial-alveolar,SMG_Duct (1.22),Epithelial-airway,SMG_Serous (1.15),Epithelial-airway,Fibro_adventitial (0.99),Stromal-fibroblast
