Genes,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,f1,f2,f3,f5,f4,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,v1,v2,v3,v4,v5,g1,g2,g3,g4,g5,g6,g7,h1,h2,h3,h4,h5,h6,h7,h8
A1BG,17.831560851178377,19.368732376464248,19.56125624264326,18.97014803003292,18.46789207387479,19.018338750703215,19.22015156610292,20.712516924968103,18.297417851833117,19.18255196497028,18.00599727912498,17.954258799761877,18.50496248670218,18.537093245441444,20.336765866657174,18.236275851039466,18.79139821306091,19.269752205812967,19.337931082502273,19.149900897710655,18.34277351252299,18.686418454059858,19.41134547110209,19.307120744176427,18.872810126591116,19.26856712809205,18.50641219005608,18.745204893862077,17.876013258318775,18.564145767703845,19.316588690545093,19.131389769054987,18.499223042432988,20.635953652693214,21.06375054974168,20.314412862946348,20.525123132268625,19.19239155324039,21.666722444122218,18.378197469354856,21.011728195234898,20.775383620234777,20.148104142423463,19.559223963363003,19.542049423418163,20.7633971795263,20.473331188096907,19.45424707467234
A2M,18.742585757728904,19.029575715559286,20.23646505709991,20.003921373731007,19.385232583543687,19.18501574011236,19.454666781214556,20.41472652113226,19.29757234126078,20.42096763931388,18.598619577271634,18.501530113140458,18.63611478426199,19.04036464537173,20.78034271880173,19.0870665387964,19.057399500772487,19.492750979062226,19.565273179939886,19.35890870392028,18.337081765800214,19.12272943288822,19.405704490409295,19.660156102486564,18.77469377445198,20.038814524686792,19.806293152797,19.26107798111395,18.552057389298643,19.049354026914394,19.54620492244878,19.82162452377603,19.228449985961444,22.623877472283883,21.94258466136911,21.40717750168388,22.20449950440904,19.920966293762582,23.165323210841606,19.26601556655876,22.391168055435948,22.142963976467207,21.173969861279748,20.02708796544557,20.31288517050573,21.770826788207206,20.613665384025943,20.096058813654437
A2ML1,19.83543056054856,21.174689224470068,20.642763892924012,19.907624201702333,18.766580669116976,20.208708274563527,21.02884899141093,21.99162633205779,19.48049242206237,17.242401914242567,17.630871439877357,20.836156710929185,18.43592658345927,19.021777045456012,21.72236145522977,21.154997297811367,18.07315307723018,17.595563450494943,18.81704610003453,17.343116300044258,17.69700147479572,18.135423724451254,19.085656581096035,20.110085632989783,20.564255570982443,18.528496080907537,18.373039300440706,20.228102331053616,19.132020190807335,18.78909419793861,19.552802287921484,21.006108257300223,19.70229783871097,22.43065927495552,18.8890374790315,20.965234716069677,17.694276259891094,18.764460203356123,20.068993398471097,21.991228414510406,21.807887085632032,21.06159005709767,19.406659679720125,17.853376570930987,19.348458021220942,17.720144037957123,20.60886481737582,19.093363400406652
AAAS,14.387371157824793,14.733841540793774,14.684622620136977,14.809426503088861,14.255744131996867,13.498737036869164,,14.540424734301574,15.003267544497136,14.788055552025686,14.719362080350237,14.41969688830598,14.890544541575496,13.809918820182885,14.825932668291175,14.079726435007162,14.499416153034595,14.776803117680071,14.62248085673416,14.498425408706,14.18558009583501,14.212230377072814,14.165660751498667,14.342831661965306,,14.370353663255312,14.336346158463627,13.872039954758757,14.978875773335353,14.487532323185071,14.053645933532277,14.445267088461714,14.402046085524534,14.45855400258884,14.612856981480066,13.989642851937178,14.356905836048947,14.409238437333899,14.198429693551141,14.449793482931824,14.208440138074275,13.95175824925301,14.30163908559237,14.615014590454786,14.448413178816883,15.094535467419375,14.163665398413162,14.552675100726818
AACS,15.785531650734585,15.850289409147909,15.320063644374644,15.614706968843208,15.624144314502928,15.188233382190438,,15.806365849921109,15.880798384432074,15.155786699090521,15.572522602079678,15.775988290579315,15.514159254406481,15.366947110123272,16.010222121389702,15.315531701261945,16.022916089009264,15.970824901362617,15.614934097677722,15.364196225466621,15.224318284477917,15.407742431618606,16.23975141221705,15.915414927282095,14.95856177755733,15.568166928229223,15.2706676339298,14.823859798092634,15.15142093167782,15.859338227147013,15.92315103792909,16.061229836051155,15.651245136616007,14.54265707699921,14.517847745782401,,,15.278220752020774,,15.128461606285985,,15.011847466978308,15.330458262306962,15.239393416893943,15.48289616913535,15.042373307367601,15.501072104960036,15.927034853144733
AAGAB,12.784747296145527,,,12.790843294578618,,,,12.534113169689713,12.263979221313281,,11.503776057559069,12.093595826903336,12.391262388384051,,12.392532093568665,,,,12.104693750791302,,12.36417022937129,12.313911869541633,12.447380312255213,,,12.719245485577975,12.061377943673687,,12.347449740760954,11.782990021070614,11.93623304429658,,12.490778188744866,,,12.39278965635932,,,,,,,11.92376201142663,,,,,13.339140169268433
AAK1,11.494575616502123,,11.67830083025372,11.33942692842196,11.639309050419973,,,11.479901493812868,11.085047488714926,11.497757050968222,11.456297938396283,11.505995103853952,,11.344412428578925,12.298987589806197,11.363641996720629,11.073378425964044,11.472655304444546,11.72095816008349,10.88171814436884,11.153260676689358,11.724074668106985,11.134285124295303,11.278867570103102,,11.99215235591359,11.159410962903717,10.562261507362598,11.403539352629096,11.31419235521215,10.857498979848257,11.175898798987815,11.083519216965836,12.133678466401921,12.46162524420493,11.293195728582118,12.655465876446916,12.005006921075326,11.935654952217991,11.84893194450473,11.444642222274554,12.192160253067193,12.467113870011117,11.434023503282656,11.784524430997658,,11.902084888017264,11.572032245209947
AAMDC,16.474520332867947,,17.039368904216218,16.276667858621078,16.032319134448365,,17.726377834863992,,17.65284497300198,16.545059486748208,16.49064878251725,16.418415957596004,15.772608403408054,16.204397292078713,16.328378659227464,16.81161301555519,16.31875109294275,14.81509304633418,16.067383939498892,16.821811344100055,16.953207481887706,16.96928533126491,16.650224349213627,16.011345203502913,,16.395492297234988,16.86486321652392,16.603352510594224,17.611068036000855,16.171311692090242,16.150978869087332,15.996389629205419,16.548523924564062,15.829209872864478,16.29280690761341,,15.83757373254451,16.406864340191387,16.036727398099295,16.919049523676932,16.92139932300676,15.299501393797419,16.054551326601924,16.34032998648467,16.118393633467083,16.533402741341092,16.43713434804061,16.69328275726956
AAMP,15.40903618579465,15.979994497359383,15.014918387090168,15.68481161643752,15.596137331680264,,,16.47052701496014,15.849070290385407,15.337698550098617,15.12824006746444,15.904385308143874,15.647677647277462,15.523316912312747,16.477260230654277,15.44551605392519,15.366585181561664,15.58787125565061,15.619761463298424,15.51434421135734,14.913137184613563,15.382978577993704,15.751086345044268,15.381461837863862,,15.473918156116198,15.47945504007323,15.55993269359543,14.920664549579042,15.617903605692858,15.242682883638418,15.378531943522296,15.688545375669857,,13.638797899951696,15.412030587716758,14.735836285680122,15.067455369093787,15.199986673350267,15.140218668320903,,14.837297770505385,15.390209269395537,15.882494989770903,15.943164964297226,15.516250967658575,15.636630284379269,15.208341062606756
AAR2,12.906537392652634,11.792481228438522,,12.930314149010348,12.25314132506159,,,,12.128764455230007,12.279491608937363,12.358041250381929,12.527371927899884,,,12.09078066945842,12.491334534614715,12.139685639570182,12.858385141866805,12.607843488973977,12.202234042501006,11.940691658519762,12.512281215729834,12.43426594477835,,,11.69971992509849,11.882902833340628,12.280892535875523,12.811800133485244,12.33617736909522,12.316123109475251,11.616682080162072,11.632118229955305,,11.550458217517317,,11.968861155182614,11.489923203350621,11.64249400344706,,,,11.999059264702812,11.627871264215086,12.848920211381614,11.57798578208238,12.260031538546022,12.248200365813956
