,PC1,PC2,PC3,section,section_label
e1,-23.480182445285713,11.405987338069576,7.655912777763336,e,High-risk Tumor
e2,8.945841885277273,22.71522153253636,10.568605809158186,e,High-risk Tumor
e3,4.9623621438619425,10.03036850964734,17.77138323716223,e,High-risk Tumor
e4,-13.865552448728636,4.803988134699199,3.4149293585693195,e,High-risk Tumor
e5,-21.72049848549803,0.6417282517443527,1.8905594293573889,e,High-risk Tumor
e6,5.308960586258152,19.734768118838186,12.411778078402408,e,High-risk Tumor
e7,9.011634496545135,15.028202454938143,13.216058595578978,e,High-risk Tumor
e8,62.19815473809314,48.539308438816725,-15.435812481699584,e,High-risk Tumor
e9,-21.85234117991957,12.112934262166487,4.373751493528856,e,High-risk Tumor
e10,-7.629864566560852,-23.206907685917763,-11.517950152426979,e,High-risk Tumor
e11,-37.10423542899423,0.46703608467067464,-14.487271443773412,e,High-risk Tumor
e12,-17.863296103086707,17.17349236948347,16.00268410728063,e,High-risk Tumor
e13,-18.604837362887622,3.7809320309369117,-3.474434327816912,e,High-risk Tumor
f1,-14.61607606029277,8.318391302448696,2.732417267070114,f,Low-risk Tumor
f2,59.4808997792103,38.916778452300534,-12.833950055570385,f,Low-risk Tumor
f3,-11.983943779425651,12.007069102875379,15.477026138300086,f,Low-risk Tumor
f5,-28.435593265727395,2.512458505693368,-6.725903254187602,f,Low-risk Tumor
f4,-21.77612055958053,-7.5470563264681845,-12.359889396213692,f,Low-risk Tumor
f6,-17.357563634799845,-4.855593952806769,0.7002518068623846,f,Low-risk Tumor
f7,-30.657615738086733,-7.739419732846966,-14.255083567305746,f,Low-risk Tumor
f8,-35.69098285162484,-1.5712780343822716,-12.203367212978806,f,Low-risk Tumor
f9,-27.854176534037684,-4.765414160815013,-9.0696301217578,f,Low-risk Tumor
f10,5.766214370436093,21.472837549618866,-22.171860145894073,f,Low-risk Tumor
f11,-10.619214207520537,1.130986946744492,5.038238680418116,f,Low-risk Tumor
f12,-3.902087677980715,13.284137870282517,13.64313814107384,f,Low-risk Tumor
f13,-7.470587806207526,-20.117571679696052,-4.981296435712996,f,Low-risk Tumor
f14,-18.876854369568857,-9.522950618417479,-7.234301778325307,f,Low-risk Tumor
f15,-10.812996925158767,5.58439630900054,8.508543813604891,f,Low-risk Tumor
v1,-27.649296188641614,13.219238564794535,3.1993664253173777,v,Middle-risk Tumor (ctrl)
v2,-28.151944052715482,-1.1759738962236177,-4.653699824458371,v,Middle-risk Tumor (ctrl)
v3,8.18669407615248,25.047979180830037,-21.19482379132957,v,Middle-risk Tumor (ctrl)
v4,-4.351745486523627,15.697095488337009,14.560961759095784,v,Middle-risk Tumor (ctrl)
v5,-12.953009593250567,8.5926466798047,6.240939312194383,v,Middle-risk Tumor (ctrl)
g1,47.07330105977099,-12.580214750462353,5.255932097912308,g,High-risk T-cell
g2,30.57721529700742,-44.64800812658672,1.18791219274619,g,High-risk T-cell
g3,30.489698954234758,-23.607696344186696,17.757361487584102,g,High-risk T-cell
g4,18.14360277505682,-37.51816163495145,-3.3360152939110574,g,High-risk T-cell
g5,-6.106608383364664,-18.85389173997242,-4.6679803201362,g,High-risk T-cell
g6,64.32578562748712,-11.821918916066416,-10.419461125273385,g,High-risk T-cell
g7,0.47071973754981106,6.601855001107936,18.115374756373996,g,High-risk T-cell
h1,41.78607562100354,-13.626951942569193,19.399069949662703,h,Low-risk T-cell
h2,37.34073324357915,-24.798528809364957,5.625011919087469,h,Low-risk T-cell
h3,14.548055667470598,-25.677469400668386,3.6130857133894105,h,Low-risk T-cell
h4,-6.865111843265018,-19.20377377002467,-8.309881878583441,h,Low-risk T-cell
h5,3.9545411272981372,-12.246084280811115,3.270102814264432,h,Low-risk T-cell
h6,10.415916502844901,-31.293813481730083,-10.503324070359197,h,Low-risk T-cell
h7,42.07975307831607,17.824992632253103,-19.296460428609752,h,Low-risk T-cell
h8,-16.81382378871959,-0.26615182767071277,-2.4980000554345763,h,Low-risk T-cell
