sample,section,section_label,n_detected,median_log2
e1,e,High-risk Tumor,6450,15.252142171944005
e2,e,High-risk Tumor,4774,16.600380433929985
e3,e,High-risk Tumor,5112,16.335286951413906
e4,e,High-risk Tumor,5734,15.797529737844384
e5,e,High-risk Tumor,6468,15.358599409962373
e6,e,High-risk Tumor,3459,17.306658059582343
e7,e,High-risk Tumor,1358,19.843416965741575
e8,e,High-risk Tumor,5800,16.386320937892076
e9,e,High-risk Tumor,6455,15.401082834474666
e10,e,High-risk Tumor,6364,15.354677996882138
e11,e,High-risk Tumor,6769,14.98860924860495
e12,e,High-risk Tumor,6458,15.300802963167685
e13,e,High-risk Tumor,4912,16.23513634780234
f1,f,Low-risk Tumor,5092,16.242376237633053
f2,f,Low-risk Tumor,6169,16.10971640919792
f3,f,Low-risk Tumor,6601,15.262876631788583
f5,f,Low-risk Tumor,6056,15.451368897883821
f4,f,Low-risk Tumor,6353,15.339529925078189
f6,f,Low-risk Tumor,6596,15.263487432849455
f7,f,Low-risk Tumor,6264,15.253642534784134
f8,f,Low-risk Tumor,6499,15.064839581021747
f9,f,Low-risk Tumor,6514,15.16542255100416
f10,f,Low-risk Tumor,7014,15.184201102672144
f11,f,Low-risk Tumor,6169,15.468379033762965
f12,f,Low-risk Tumor,3327,17.294100176328158
f13,f,Low-risk Tumor,6364,15.412224141165428
f14,f,Low-risk Tumor,6524,15.259003928346653
f15,f,Low-risk Tumor,5343,16.009749903682472
v1,v,Middle-risk Tumor (ctrl),6354,15.327891054935826
v2,v,Middle-risk Tumor (ctrl),6583,15.15061599901942
v3,v,Middle-risk Tumor (ctrl),6987,15.126305192391653
v4,v,Middle-risk Tumor (ctrl),5804,15.811247865348534
v5,v,Middle-risk Tumor (ctrl),5951,15.704679094651596
g1,g,High-risk T-cell,4933,16.493714749599192
g2,g,High-risk T-cell,5938,15.734260717435616
g3,g,High-risk T-cell,4647,16.517324910950855
g4,g,High-risk T-cell,5660,15.889038004143195
g5,g,High-risk T-cell,6257,15.430753081828245
g6,g,High-risk T-cell,6471,15.832949334287317
g7,g,High-risk T-cell,5615,15.883101460118509
h1,h,Low-risk T-cell,4393,17.03785792006098
h2,h,Low-risk T-cell,5808,15.944300931720043
h3,h,Low-risk T-cell,6181,15.647452804970149
h4,h,Low-risk T-cell,5951,15.640213862803732
h5,h,Low-risk T-cell,5594,15.846115606921002
h6,h,Low-risk T-cell,5387,16.014648199076706
h7,h,Low-risk T-cell,6607,15.658783291764848
h8,h,Low-risk T-cell,6546,15.261447805506688
