gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
TBCA,7,8,17.61123336742776,17.944754474756714,-0.3335211073289521,0.0,0.0003108003108003108,0.20751100751100754
CCAR2,7,8,19.064927318447765,18.567149434448613,0.49777788399915224,56.0,0.0003108003108003108,0.20751100751100754
YWHAG,7,8,20.01244954037914,20.535000595532928,-0.5225510551537873,0.0,0.0003108003108003108,0.20751100751100754
ZNF512,7,8,14.666810892589679,14.095038124859208,0.5717727677304705,56.0,0.0003108003108003108,0.20751100751100754
RAD23B,7,8,19.199610923832495,19.623571671089177,-0.4239607472566824,0.0,0.0003108003108003108,0.20751100751100754
NPEPL1,7,8,17.159888642288617,17.493239893420956,-0.33335125113233843,0.0,0.0003108003108003108,0.20751100751100754
YWHAH,7,8,21.367370948224906,22.15164265525159,-0.7842717070266829,0.0,0.0003108003108003108,0.20751100751100754
NUDT1,7,8,13.76755615864474,14.404640737081099,-0.6370845784363581,0.0,0.0003108003108003108,0.20751100751100754
PLOD3,7,8,17.67214666566492,18.264626209802877,-0.5924795441379587,0.0,0.0003108003108003108,0.20751100751100754
SON,7,8,17.519661626102632,17.8362003211751,-0.3165386950724667,1.0,0.0006216006216006216,0.3334998334998335
EIF4A2,7,8,17.85850472553544,17.306581370557332,0.5519233549781077,55.0,0.0006216006216006216,0.3334998334998335
SGTA,6,8,12.781081914891162,13.581069254384577,-0.7999873394934145,0.0,0.000666000666000666,0.3334998334998335
FDX1,7,6,16.622295374732808,17.325168141747998,-0.7028727670151902,0.0,0.0011655011655011655,0.3395634668361941
HSP90AB1,7,8,22.758346936030154,23.025543044156024,-0.26719610812586936,2.0,0.0012432012432012432,0.3395634668361941
ACLY,7,8,20.003881733239485,20.232528122230498,-0.22864638899101308,2.0,0.0012432012432012432,0.3395634668361941
PGLS,7,8,20.46265179992563,20.93880935672485,-0.4761575567992189,2.0,0.0012432012432012432,0.3395634668361941
ISYNA1,7,8,17.840924787542487,19.10655987777828,-1.2656350902357936,2.0,0.0012432012432012432,0.3395634668361941
TARS1,7,8,18.595862877403444,19.006139979168882,-0.41027710176543764,2.0,0.0012432012432012432,0.3395634668361941
TYMP,7,8,22.126307547986393,22.84582038501073,-0.719512837024336,2.0,0.0012432012432012432,0.3395634668361941
XPNPEP1,7,8,16.983459971291182,17.624763598322133,-0.6413036270309505,2.0,0.0012432012432012432,0.3395634668361941
SULT1A1,7,8,17.85439109677348,18.479376719329938,-0.6249856225564585,2.0,0.0012432012432012432,0.3395634668361941
INF2,7,8,17.0116570318668,17.404960601274055,-0.3933035694072551,2.0,0.0012432012432012432,0.3395634668361941
FNTB,5,8,13.589216777857999,14.160699255220942,-0.5714824773629434,0.0,0.001554001554001554,0.40599979730414515
RBMXL1,6,6,15.664114608765628,14.777172807758916,0.8869418010067118,36.0,0.0021645021645021645,0.4228526190790342
DBN1,7,8,17.552002400361328,18.290124936059208,-0.7381225356978796,3.0,0.0021756021756021756,0.4228526190790342
ADI1,7,8,16.438445256519703,17.100499601087172,-0.6620543445674691,3.0,0.0021756021756021756,0.4228526190790342
