gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
DCPS,13,15,17.695271027070152,17.188524337841116,0.5067466892290362,181.0,0.00013161141193732253,0.4419426708297847
PLIN3,13,15,19.718046767483592,19.412300694239025,0.30574607324456693,177.0,0.0002735265099993669,0.4419426708297847
FLNB,13,15,20.149093981068063,19.767748811249255,0.3813451698188075,177.0,0.0002735265099993669,0.4419426708297847
MBNL2,10,13,13.207372717165342,12.233000741284958,0.9743719758803842,123.0,0.00036247327816487024,0.4419426708297847
ARHGEF16,6,9,12.98381436238207,12.480167358283705,0.5036470040983652,54.0,0.0003996003996003996,0.4419426708297847
AHCYL1,12,15,18.395609155955015,18.04784902550156,0.3477601304534552,163.0,0.0004037235117202662,0.4419426708297847
UBE2J1,6,10,14.378692217010828,13.464693505061756,0.9139987119490716,59.0,0.0004995004995004995,0.4519566669070934
HNRNPR,13,15,21.39515954848084,21.182085841224964,0.2130737072558766,173.0,0.0005504953311901259,0.4519566669070934
NEDD8,13,15,20.60227567449784,20.019279295352604,0.5829963791452357,170.0,0.0009108581298148211,0.4616009354198992
APOL3,11,14,15.260616984225054,15.818757928193323,-0.5581409439682687,17.0,0.0011246918220052125,0.4616009354198992
LPCAT1,12,15,15.953478650169792,15.48163532585142,0.47184332431837284,157.0,0.0011750518530845068,0.4616009354198992
G3BP2,13,15,18.188336529190288,17.81315626141635,0.3751802677739384,168.0,0.0012616021206475665,0.4616009354198992
ACTA1,13,15,20.119746593092795,19.255020910533606,0.8647256825591896,168.0,0.0012616021206475665,0.4616009354198992
AK4,12,15,14.314737586943847,13.732287043246805,0.5824505436970426,156.0,0.001393119861612024,0.4616009354198992
PRDX1,13,15,24.588372987590695,24.34315750387213,0.24521548371856383,167.0,0.0014803475810029293,0.4616009354198992
CYB5B,13,15,17.564654410335063,17.078509067489602,0.48614534284546096,167.0,0.0014803475810029293,0.4616009354198992
TMEM230,8,12,12.352138862728056,11.563808732987345,0.7883301297407108,87.0,0.0015241724220052392,0.4616009354198992
NCKAP1L,12,14,14.867384954257618,15.233415545188214,-0.3660305909305954,22.0,0.001560350789113223,0.4616009354198992
SATB1,11,11,15.536409741057327,16.251672340510872,-0.7152625994535455,12.0,0.0016220041892740275,0.4616009354198992
NOP10,11,14,15.131449724675536,14.584620348818609,0.5468293758569267,135.0,0.0016448665810673347,0.4616009354198992
TUBB4B,13,15,21.284590925422656,20.880304339551337,0.4042865858713185,166.0,0.0017335785490894002,0.4616009354198992
RPS15,13,15,18.335377254643603,17.56772079873995,0.7676564559036549,166.0,0.0017335785490894002,0.4616009354198992
ZSWIM8,10,13,12.181788838020887,12.703519122249988,-0.5217302842291005,14.0,0.001736925977468955,0.4616009354198992
PHF14,11,15,14.796915810297934,14.391158532284434,0.4057572780134997,143.0,0.0018457213176962682,0.4616009354198992
PGRMC2,13,15,19.636914344973583,19.176592475639836,0.46032186933374675,165.0,0.002026110403809049,0.4616009354198992
HDLBP,13,15,20.181535349146152,19.938009131739555,0.24352621740659686,165.0,0.002026110403809049,0.4616009354198992
TSFM,7,14,11.887482614842195,12.691513623329433,-0.8040310084872377,10.0,0.0022703818369453044,0.4616009354198992
MYH11,12,15,18.076723169535956,17.409745025387018,0.6669781441489384,153.0,0.0022907941597880574,0.4616009354198992
C2orf49,9,11,17.1907412314004,16.549528020979423,0.6412132104209753,90.0,0.002374052725164714,0.4616009354198992
GCC2,9,11,12.745775101576779,12.067229637790858,0.6785454637859214,90.0,0.002374052725164714,0.4616009354198992
PPP1R8,11,14,14.187096820519281,13.94398986106176,0.2431069594575206,133.0,0.0023788428380040003,0.4616009354198992
SAP18,12,15,17.086789805141063,16.85408003609283,0.23270976904823115,152.0,0.002691893813139203,0.4616009354198992
CHMP3,12,15,18.629372497793184,18.360060621972448,0.2693118758207369,152.0,0.002691893813139203,0.4616009354198992
NUP133,13,15,16.01590060715069,15.777418684244775,0.2384819229059154,163.0,0.00275122798231847,0.4616009354198992
CNN3,13,15,18.815143584095356,18.33857605683672,0.47656752725863427,163.0,0.00275122798231847,0.4616009354198992
GFUS,13,15,18.62051300516981,18.190787487354687,0.4297255178151218,163.0,0.00275122798231847,0.4616009354198992
CD53,8,14,14.577520502949467,15.156093719063746,-0.5785732161142789,14.0,0.0028958313788035152,0.4616009354198992
ATL2,11,15,19.290007597477164,18.880195786236253,0.4098118112409104,140.0,0.003093449322761181,0.4616009354198992
CCDC88B,10,14,13.663885890048821,14.16799572070451,-0.5041098306556897,19.0,0.0031067106806974007,0.4616009354198992
POLR2D,12,15,12.924287666768583,12.338951951461526,0.5853357153070569,151.0,0.003156230282702002,0.4616009354198992
ITGAX,12,15,17.04726707277871,17.51434353899358,-0.46707646621486987,29.0,0.003156230282702002,0.4616009354198992
TXNDC5,13,15,21.632551722323164,21.278535445390414,0.3540162769327502,162.0,0.0031964880119685845,0.4616009354198992
NOL3,13,15,17.215265828298772,16.589273137842333,0.6259926904564388,162.0,0.0031964880119685845,0.4616009354198992
CIC,10,13,12.534734709010621,12.1764861697749,0.35824853923572064,113.0,0.003220946303010203,0.4616009354198992
XIRP1,9,14,12.569600825265217,13.306384643876731,-0.7367838186115137,16.0,0.0033980871444478484,0.4616009354198992
C2CD5,11,14,13.907210672113347,14.250675146303058,-0.3434644741897106,23.0,0.003402167851671577,0.4616009354198992
TFG,13,15,19.286406379944236,18.87001741320045,0.416388966743785,161.0,0.003706504706574302,0.4616009354198992
COPZ1,13,15,18.624199477057466,18.21315623734856,0.4110432397089063,161.0,0.003706504706574302,0.4616009354198992
YAP1,13,15,16.11643815666172,15.651082532409442,0.46535562425227717,161.0,0.003706504706574302,0.4616009354198992
MED17,7,12,15.53234162139218,15.090812142827154,0.441529478565025,75.0,0.0037310470747003253,0.4616009354198992
PALM3,8,12,13.19415983505625,12.248096386903653,0.9460634481525982,84.0,0.00409621338413908,0.4616009354198992
PPP1R37,7,11,10.657653724909965,9.858056854541884,0.7995968703680809,69.0,0.004147812971342383,0.4616009354198992
KRT8,13,15,24.35969358168808,23.993371260768406,0.3663223209196751,160.0,0.004289457861036744,0.4616009354198992
CALU,13,15,19.7686020962625,19.432488557029625,0.33611353923287624,160.0,0.004289457861036744,0.4616009354198992
YTHDF2,12,13,18.84628826935359,18.338104245528225,0.5081840238253648,131.0,0.00429524090299667,0.4616009354198992
FBXO38,6,5,8.951724210683455,7.744744706363607,1.2069795043198486,30.0,0.004329004329004329,0.4616009354198992
CD72,4,12,10.205371316465367,10.706910384531549,-0.5015390680661813,2.0,0.004395604395604396,0.4616009354198992
TRIM16,11,13,14.113196016943418,13.717484664925973,0.3957113520174449,121.0,0.004527065339396915,0.4616009354198992
TUBGCP6,6,13,10.284059105201289,10.663622831295509,-0.3795637260942204,8.0,0.00471767654430193,0.4616009354198992
MAU2,6,12,10.445102732308294,11.351615441775783,-0.9065127094674885,7.0,0.004740357681534152,0.4616009354198992
GSTT1,10,13,14.830820563683806,14.433503597820732,0.39731696586307486,111.0,0.0047756406219911195,0.4616009354198992
GBP5,11,14,16.850130560834693,17.44682841682123,-0.5966978559865375,25.0,0.0048119240492787195,0.4616009354198992
SOX9,9,11,14.690069223752594,13.960727659742217,0.7293415640103778,87.0,0.004938355678644229,0.4616009354198992
RPS18,13,15,22.299038386362955,22.013702270645833,0.28533611571712214,159.0,0.004954365778050534,0.4616009354198992
PDCD5,13,15,20.57070245729614,20.07050425770748,0.5001981995886595,159.0,0.004954365778050534,0.4616009354198992
ALDOA,13,15,24.734928878238346,24.300433351126923,0.43449552711142303,159.0,0.004954365778050534,0.4616009354198992
LAP3,13,15,20.456201857072195,20.769597798918095,-0.3133959418459007,36.0,0.004954365778050534,0.4616009354198992
RPS7,13,15,20.365315573081183,19.74483084272172,0.6204847303594647,159.0,0.004954365778050534,0.4616009354198992
PYM1,12,15,14.967137489135148,14.603963560825095,0.3631739283100526,148.0,0.005020543250527591,0.4616009354198992
FAM114A1,12,15,16.420657691525488,16.153530792020312,0.26712689950517543,148.0,0.005020543250527591,0.4616009354198992
DLD,12,15,20.283561146594916,20.027364100329407,0.256197046265509,148.0,0.005020543250527591,0.4616009354198992
MGAT2,12,14,13.580307974308033,13.193211203817913,0.38709677049011937,139.0,0.005060180778050052,0.4616009354198992
LRRC1,10,14,12.375169899637047,12.113531682433932,0.26163821720311553,118.0,0.005413914287949442,0.48090751129449383
HLA-DPA1,11,14,17.333210935633193,17.90884096298364,-0.5756300273504458,26.0,0.0056989673818295845,0.48090751129449383
PSMC6,13,15,20.994211503201008,20.72159432292183,0.2726171802791768,158.0,0.005711142795519263,0.48090751129449383
