slide,tube_id,section,group,H_axis1,P_axis1
slide1,a2,a,Tumor-h,0.9361962460055504,1.1032638509833266
slide1,a3,a,Tumor-h,0.979892383190286,0.7067479574497562
slide1,a4,a,Tumor-h,1.2810868299081604,1.2423586680701164
slide1,a6,a,Tumor-h,0.915048857578056,1.1308900723336732
slide1,a7,a,Tumor-h,0.8614459140616201,0.8846369499291113
slide1,a8,a,Tumor-h,0.976868774890471,1.1822384967882116
slide1,a9,a,Tumor-h,0.9471440103747032,0.0728268031195107
slide1,a10,a,Tumor-h,0.1765432282922116,0.6417769318799599
slide1,b1,b,Tumor-l,0.1031327960484127,0.1212344494649353
slide1,b2,b,Tumor-l,0.3999500461087193,0.7604989080147755
slide1,b3,b,Tumor-l,0.3485254051959793,0.5942123603757793
slide1,b4,b,Tumor-l,0.7279095142355383,0.5283078232143478
slide1,b5,b,Tumor-l,0.5623077819253401,0.2480473954763998
slide1,b6,b,Tumor-l,0.4259770094947642,0.4391667638446828
slide1,b7,b,Tumor-l,0.8637437171160939,0.7719935855714787
slide1,b8,b,Tumor-l,0.8305096893175746,0.569619300509924
slide1,b9,b,Tumor-l,0.3776936005776305,0.5079356292374846
slide1,b10,b,Tumor-l,0.1898933205958103,0.2641311826410298
slide1,b11,b,Tumor-l,0.5480844163306403,0.552998059431105
slide1,b12,b,Tumor-l,0.4348705674348843,0.541289563231559
slide1,b13,b,Tumor-l,-0.1835911663325376,0.5124539392193479
slide1,b14,b,Tumor-l,0.9440688314939106,0.9490387420470118
slide1,b15,b,Tumor-l,-0.1443205103382561,-0.2318803473620821
slide1,b16,b,Tumor-l,0.9099373441445756,0.7364381954029448
slide1,b17,b,Tumor-l,-0.1946010610545544,-0.2277365792672824
slide1,b18,b,Tumor-l,0.830856555513926,1.0814742379550082
slide1,b19,b,Tumor-l,0.885504663744826,0.4788603343854729
slide1,b20,b,Tumor-l,0.6114363723369381,0.7675484165522134
slide1,b21,b,Tumor-l,-0.6429500070686646,-0.4968731545406971
slide1,c1,c,Tcell-h,-1.2333246401121531,-1.7940383910459228
slide1,c2,c,Tcell-h,-2.1941075249290725,-1.0945104632129592
slide1,c3,c,Tcell-h,-1.4902581343132653,-1.77633876657708
slide1,c4,c,Tcell-h,-2.477183866813392,-1.936775237781701
slide1,c5,c,Tcell-h,-1.2343278183360584,-1.148748617106916
slide1,d1,d,Tcell-l,-1.2179992928958272,-1.3528732904506018
slide1,d2,d,Tcell-l,-1.1268518279266817,-1.7690368432727737
slide1,d3,d,Tcell-l,-1.1888234564098306,-1.2024825464512938
slide1,d4,d,Tcell-l,0.8302513445261477,0.2311999168185653
slide1,d5,d,Tcell-l,-0.8694234648566623,-1.0869379117924731
slide1,d6,d,Tcell-l,-1.5730628083220035,-1.6954784648268713
slide1,d7,d,Tcell-l,-1.1188950971968183,-1.1397374983426594
slide1,d8,d,Tcell-l,-1.2650131124087711,-1.0870922326018593
slide1,d9,d,Tcell-l,-1.5172318026274882,-1.7214712011790518
slide1,t1,t,Tumor-ctrl,0.7627884799726689,0.4262404102675154
slide1,t2,t,Tumor-ctrl,0.5903307108111114,1.2015165694185777
slide1,t3,t,Tumor-ctrl,0.419967180715486,0.5130660321783995
slide2,e1,e,Tumor-h,0.3130031320850036,0.4125415117504264
slide2,e2,e,Tumor-h,0.2246087204096713,0.3907084478063289
slide2,e3,e,Tumor-h,0.7366374284855407,0.7227352343056347
