cell_type,gene,r,p,p_bh
B_plasma_IgA,SH3BP1,-0.7291665035502666,0.0,0.0
Fibro_immune_recruiting,HBA1,-0.7063529380087739,1.7763568394002505e-15,1.0180301046602835e-10
B_plasma_IgA,GRB2,-0.7051485808536025,1.9984014443252818e-15,1.0180301046602835e-10
B_plasma_IgA,LCP1,-0.7090880450960366,1.3322676295501878e-15,1.0180301046602835e-10
B_plasma_IgA,CORO1A,-0.703687878988959,2.4424906541753444e-15,1.0180301046602835e-10
B_plasma_IgA,MYO1G,-0.7041878594681353,2.4424906541753444e-15,1.0180301046602835e-10
B_plasma_IgA,FERMT3,-0.7055739872569146,1.9984014443252818e-15,1.0180301046602835e-10
B_plasma_IgA,PTPRC,-0.7074338113432903,1.5543122344752192e-15,1.0180301046602835e-10
B_plasma_IgA,IL16,-0.7022417555132334,3.1086244689504383e-15,1.1517108254742603e-10
B_plasma_IgA,ELMO1,-0.6997718488850503,4.218847493575595e-15,1.4067325082578463e-10
B_plasma_IgA,ATP2A3,-0.6947439249722385,7.993605777301127e-15,2.423079918530262e-10
B_plasma_IgA,GNAI2,-0.6917354527539669,1.176836406102666e-14,3.270036093757274e-10
B_plasma_IgA,ICAM3,-0.6854721957463116,2.5091040356528538e-14,6.435658843446828e-10
B_plasma_IgA,PLEK,-0.6814483255698492,4.04121180963557e-14,8.678963720538175e-10
B_plasma_IgA,PTPN6,-0.6802198272375206,4.6851411639181606e-14,8.678963720538175e-10
B_plasma_IgA,WAS,-0.6809429550992551,4.3076653355456074e-14,8.678963720538175e-10
SMG_Serous,HBA1,-0.680662108068408,4.463096558993129e-14,8.678963720538175e-10
B_plasma_IgA,MICAL1,-0.6802984318933729,4.6407322429331543e-14,8.678963720538175e-10
B_plasma_IgA,LSP1,-0.6785000741238528,5.750955267558311e-14,1.009262381270865e-09
Fibro_immune_recruiting,AHCY,0.6773699157907878,6.550315845288424e-14,1.040065388310939e-09
B_plasma_IgA,GMFG,-0.6773880768640289,6.52811138479592e-14,1.040065388310939e-09
Chondrocyte,CUTC,-0.6763225131239071,7.394085344003543e-14,1.0719494856976264e-09
Fibro_immune_recruiting,HBB,-0.6765727472568002,7.172040739078511e-14,1.0719494856976264e-09
B_plasma_IgA,DOCK2,-0.6756712970753251,7.971401316808624e-14,1.1074933562819449e-09
B_plasma_IgA,NCKAP1L,-0.6717043095218892,1.2589929099249275e-13,1.6791943835414714e-09
B_plasma_IgA,NFKB1,-0.6673059488763579,2.0694557179012918e-13,2.653997363757718e-09
B_plasma_IgA,STAT6,-0.6661561113956035,2.353672812205332e-13,2.9066987500064664e-09
Muscle_smooth_syst_arterial,NUDCD1,-0.6649161264494768,2.7000623958883807e-13,3.2153885903036486e-09
SMG_Duct,HBA1,-0.6644127854044937,2.857714065385153e-13,3.2857799240069843e-09
SMG_Duct,SH3BP1,-0.6636732061258928,3.099742684753437e-13,3.4452606693472867e-09
B_plasma_IgA,RASAL3,-0.6623955658136462,3.5704772471945034e-13,3.5015880391309856e-09
Mesothelia,HBA1,-0.6624016471665383,3.568256801145253e-13,3.5015880391309856e-09
B_plasma_IgA,PPP1R18,-0.6627002072343264,3.452793606584237e-13,3.5015880391309856e-09
B_plasma_IgA,PTK2B,-0.6629930316243146,3.341771304121721e-13,3.5015880391309856e-09
B_plasma_IgA,SERPINB9,-0.6590229132634111,5.160316618457728e-13,4.916159923595842e-09
B_plasma_IgA,GRK2,-0.6574654932986096,6.108447081487611e-13,5.504866472570889e-09
Fibro_immune_recruiting,SH3BP1,-0.6575095820983327,6.079581282847357e-13,5.504866472570889e-09
B_plasma_IgA,NCF1,-0.6559524547674248,7.189804307472514e-13,6.308864074430619e-09
B_plasma_IgA,VAV1,-0.6552648186151551,7.740474927686591e-13,6.617907589455941e-09
Muscle_smooth_syst_arterial,ATP2A3,0.6545158032612712,8.384404281969182e-13,6.656418485190009e-09
B_plasma_IgA,CSK,-0.6548266797640184,8.111289417911394e-13,6.656418485190009e-09
Muscle_smooth_syst_arterial,ADD3,0.6546076866997413,8.304468224196171e-13,6.656418485190009e-09
B_plasma_IgA,EVL,-0.6533562946314355,9.487965968446588e-13,7.357365982601931e-09
Fibro_immune_recruiting,NFKB1,-0.6530108423659743,9.843237336326638e-13,7.459384221419896e-09
NAF_perineurial,ADD3,0.6511745022987255,1.1954881529163686e-12,8.858301549076309e-09
B_plasma_IgA,MYO1F,-0.650187964667478,1.326494469822137e-12,9.165670671420081e-09
B_plasma_IgA,GMIP,-0.6500405994804943,1.34692257347524e-12,9.165670671420081e-09
Muscle_smooth_syst_arterial,H1-3,0.6500599818728425,1.3442580382161395e-12,9.165670671420081e-09
B_plasma_IgA,STAT5A,-0.6501149401994206,1.3367085216486885e-12,9.165670671420081e-09
Fibro_immune_recruiting,CELF2,-0.6495681951722776,1.4155343563970746e-12,9.439915515940811e-09
B_plasma_IgA,ISG20,-0.6493203493312145,1.4528378500244798e-12,9.498710837493384e-09
B_plasma_IgA,CYRIB,-0.6488895558071835,1.5198953207118393e-12,9.562148976191617e-09
B_plasma_IgA,CRYAB,0.648906234113332,1.5170087408478139e-12,9.562148976191617e-09
B_plasma_IgA,DEF6,-0.6481807656079734,1.6366907829024058e-12,1.0106262493536633e-08
SMG_Serous,TLN1,-0.6477466201308142,1.7121859485769164e-12,1.0380205139881582e-08
SMG_Serous,HBB,-0.6473825699648202,1.7783552408445757e-12,1.046281657803966e-08
B_plasma_IgA,SYK,-0.647327907660409,1.7885692926711272e-12,1.046281657803966e-08
SMG_Duct,PPP1R18,-0.645967635166437,2.0594637106796654e-12,1.1839785856707374e-08
Muscle_smooth_pulmonary,OGN,0.6453946830486087,2.185140957067233e-12,1.19703254488111e-08
Muscle_smooth_syst_arterial,FKBP4,-0.6447582430282313,2.333466753157154e-12,1.19703254488111e-08
Muscle_smooth_syst_arterial,IQGAP2,0.644948012347925,2.2883916983573727e-12,1.19703254488111e-08
B_plasma_IgA,HCLS1,-0.6453583117583265,2.1933566074494593e-12,1.19703254488111e-08
