,feature_type,axis1,axis2,axis3
AT1,cell_type,0.06845042746043796,0.062259451071387646,-0.172569754635831
AT2,cell_type,0.0928130065097134,0.08263122159284407,-0.140388390465858
B_memory,cell_type,0.03705339852094997,0.09166750196669995,-0.0622188765887485
B_naive,cell_type,0.06309732947638742,0.11301997599649198,-0.011295761656554985
B_plasma_IgA,cell_type,0.20774318870668365,0.11497628544077602,0.15330474136278352
B_plasma_IgG,cell_type,0.07212084592542871,0.18804742549887837,0.14390107599688706
B_plasmablast,cell_type,0.08433865953840385,-0.03172197606897362,0.007505587554873155
Basal,cell_type,-0.0899520684379659,0.046049887445081046,0.15201695937868573
CD4_EM_Effector,cell_type,0.06077028748226638,0.09964400158738124,-0.0471683641558057
CD4_TRM,cell_type,0.064184239984321,0.1115024532413925,-0.017518200188181638
CD4_naive_CM,cell_type,0.007771869289957727,0.06536900992696537,-0.10373350919399944
CD8_EM,cell_type,0.06238852537021377,0.10275668219177815,-0.039262984760022414
CD8_EM_EMRA,cell_type,0.0642952988285196,0.06611747950186275,-0.11147335439195363
CD8_TRM_EM,cell_type,0.057986740281392224,0.09439710717275317,-0.056035203454978345
CD8_TRM,cell_type,0.028968463677777917,0.11927726017088586,-0.014557619632074416
Chondrocyte,cell_type,0.27550817098667124,-0.1060404558567269,0.21791388033148706
Ciliated,cell_type,-0.013304823486740098,0.2003547465939278,0.15493327384468877
DC_1,cell_type,-0.012833224547734513,0.09617824860494001,0.022613841659104152
DC_2,cell_type,0.04230173722574291,0.1094094071048883,-0.01844478105643077
DC_activated,cell_type,0.03214418441361503,0.0886760497883631,-0.061529571483765304
DC_plasmacytoid,cell_type,0.05982739173690106,0.11630292311618776,0.011085330401222351
Deuterosomal,cell_type,-0.0069025605953285055,0.18304258931755601,0.24467155763724238
Dividing_AT2,cell_type,0.05770578948683574,0.08399574102193796,-0.050867827901275524
Dividing_Basal,cell_type,-0.023600485283318977,-0.155369225216982,-0.20222446078196163
Endothelia_Lymphatic,cell_type,0.019928288568230857,-0.0966591953984318,-0.21100993292949952
Endothelia_vascular_Cap_a,cell_type,0.04501046835099914,0.04301895781369407,-0.1711142307513704
Endothelia_vascular_Cap_g,cell_type,0.048086076847671654,0.034954805732241793,-0.1642384202724377
Endothelia_vascular_arterial_pulmonary,cell_type,-0.19761741762391266,0.06148417811961773,-0.046801157766891616
Endothelia_vascular_arterial_systemic,cell_type,-0.20459559309526593,0.13975522153164135,-0.01680081648364254
Endothelia_vascular_venous_pulmonary,cell_type,-0.07114698356499506,-0.14399968610432445,-0.0414930935792596
Endothelia_vascular_venous_systemic,cell_type,-0.1833954158435539,-0.2489875252369076,0.09095684547586398
Erythrocyte,cell_type,-0.0029279721021210174,0.07467231246819113,-0.09269885605577868
Fibro_adventitial,cell_type,0.2373255239583867,0.0022382167444716015,-0.07011114926302149
Fibro_alveolar,cell_type,0.042928765586565665,0.06991885001087739,-0.19143890911839076
Fibro_immune_recruiting,cell_type,0.20513373491489303,-0.06029343595367131,0.011561133941907577
Fibro_myofibroblast,cell_type,0.23499594681006608,-0.019501522975439292,-0.1591709705451114
Fibro_peribronchial,cell_type,0.05702386237441781,0.02732013724588194,-0.2684029237935836
