axis,modality,subset,n,pearson_r,p_perm,spearman_rho,r_squared_pct
1,Hist2Cell,all_ROI,94,-0.07144727384232598,0.509,0.060737636816818985,0.5104712939500318
1,Hist2Cell,Tumor_only,65,0.3009553243490629,0.01,0.24969405594405594,9.057410725404965
1,Hist2Cell,slide1_only,46,-0.14805387529628877,0.333,-0.08541473943879124,2.1919949990249026
1,Hist2Cell,slide2_only,48,0.023052706391479105,0.867,0.310790273556231,0.05314272719717416
1,Hist2Cell,slide1_Tumor,32,0.30006880801418173,0.088,0.20821114369501464,9.004128954305186
1,Hist2Cell,slide2_Tumor,33,0.4491589987071123,0.004,0.46356951871657753,20.17438061195757
1,Proteomics,all_ROI,94,-0.07597442599754443,0.491,0.06056424520463822,0.5772113405656355
1,Proteomics,Tumor_only,65,0.19156709222806423,0.111,0.22329545454545452,3.669795082471566
1,Proteomics,slide1_only,46,-0.18510276267149328,0.211,-0.09676225716928769,3.4263032748619167
1,Proteomics,slide2_only,48,0.054261184300343296,0.702,0.3089448545375597,0.2944276121675822
1,Proteomics,slide1_Tumor,32,0.18458914228907955,0.336,0.2467008797653959,3.4073151451018058
1,Proteomics,slide2_Tumor,33,0.3583808598421286,0.042,0.3562834224598931,12.843684070118341
2,Hist2Cell,all_ROI,94,0.5081239066829807,0.0,0.48664523353682765,25.818990454277447
2,Hist2Cell,Tumor_only,65,0.6361633907435581,0.0,0.5947552447552447,40.4703859722341
2,Hist2Cell,slide1_only,46,0.6054171399890494,0.0,0.50613629355535,36.652991339252026
2,Hist2Cell,slide2_only,48,0.3482465646016636,0.015,0.3062310030395137,12.127566975686065
2,Hist2Cell,slide1_Tumor,32,0.833698175439058,0.0,0.6308651026392961,69.50526477304143
2,Hist2Cell,slide2_Tumor,33,0.418820611162954,0.02,0.24298128342245992,17.54107043349103
2,Proteomics,all_ROI,94,0.5300163385351486,0.0,0.5363652783296609,28.091731911420524
2,Proteomics,Tumor_only,65,0.5645681124410566,0.0,0.5755244755244756,31.873715358525757
2,Proteomics,slide1_only,46,0.6354222832011118,0.0,0.5784150477952512,40.3761477988514
2,Proteomics,slide2_only,48,0.34602042844655956,0.018,0.39307425097698656,11.973013690234065
2,Proteomics,slide1_Tumor,32,0.7291185764951554,0.0,0.5883431085043987,53.161389859032184
2,Proteomics,slide2_Tumor,33,0.5021407905428087,0.003,0.52774064171123,25.214537352695686
3,Hist2Cell,all_ROI,94,-0.06167255694999699,0.57,-0.08317740129321244,0.38035042807506214
3,Hist2Cell,Tumor_only,65,-0.26393241638415826,0.034,-0.2868006993006993,6.966032041838069
3,Hist2Cell,slide1_only,46,-0.3313064822258835,0.036,-0.35565834104224486,10.976398516488965
3,Hist2Cell,slide2_only,48,0.2728193564727245,0.067,0.2463091619626574,7.443040126619152
3,Hist2Cell,slide1_Tumor,32,-0.38620222138202276,0.025,-0.3793988269794721,14.915215580040892
3,Hist2Cell,slide2_Tumor,33,-0.08769785543070654,0.63,-0.07586898395721926,0.7690913847145106
3,Proteomics,all_ROI,94,0.0062772905317747376,0.953,0.014499873568616118,0.003940437642030877
3,Proteomics,Tumor_only,65,-0.15143236565003051,0.207,-0.13142482517482518,2.293176136636454
3,Proteomics,slide1_only,46,-0.31131723071277456,0.041,-0.26179463459759483,9.69184181386709
3,Proteomics,slide2_only,48,0.3724730540224838,0.009,0.4546244029526704,13.873617597283616
3,Proteomics,slide1_Tumor,32,-0.34313890386010565,0.049,-0.20601173020527858,11.774430734231482
3,Proteomics,slide2_Tumor,33,0.09028996044034086,0.633,0.20187165775401072,0.8152276956318318
