cell_type,max_r_pos,max_r_pos_gene,max_r_neg,max_r_neg_gene,n_genes_BH05,pct_genes_BH05
AT1,0.47890509123864833,MRI1,-0.3722539537888207,BAZ1B,144,3.45489443378119
AT2,0.48944329965137245,MRI1,-0.3672339787867986,IRF9,144,3.45489443378119
B_memory,0.47297357382310234,MRI1,-0.4151772784684579,IRF9,166,3.9827255278310942
B_naive,0.5111582975617728,EPPK1,-0.4259451585378685,LAP3,186,4.462571976967371
B_plasma_IgA,0.648906234113332,CRYAB,-0.7291665035502666,SH3BP1,1382,33.1573896353167
B_plasma_IgG,0.47853049773839645,LDHB,-0.49779715873729075,MX2,679,16.290786948176585
B_plasmablast,0.5648235869810699,AHCY,-0.5659457983113981,H3-5,855,20.513435700575815
Basal,0.4129924731832909,CCAR2,-0.5378292487639563,PEA15,116,2.783109404990403
CD4_EM_Effector,0.5010408124382039,MRI1,-0.4001472893600074,FRMD8,153,3.6708253358925145
CD4_TRM,0.5055840302254923,EPPK1,-0.427344152029572,LAP3,185,4.438579654510557
CD4_naive_CM,0.43607263326246315,ANPEP,-0.4121646864790321,C11orf98,124,2.9750479846449136
CD8_EM,0.5033121948237063,MRI1,-0.4024423546550743,FRMD8,163,3.9107485604606524
CD8_EM_EMRA,0.49172938256990933,COLGALT1,-0.40292808302487587,IRF9,196,4.702495201535509
CD8_TRM_EM,0.49713783509113085,MRI1,-0.4051180275020067,FRMD8,139,3.334932821497121
CD8_TRM,0.4604170087305201,MRI1,-0.4160969654571158,FRMD8,108,2.5911708253358925
Chondrocyte,0.6126822741950348,DBN1,-0.6763225131239071,CUTC,1218,29.222648752399234
Ciliated,0.4067545442009604,CCAR2,-0.5297577408388672,PEA15,94,2.2552783109404992
DC_1,0.4530281933579648,EPPK1,-0.41015422527219675,IRF9,126,3.0230326295585415
DC_2,0.4897253752458171,EPPK1,-0.41139691952796364,FRMD8,147,3.5268714011516313
DC_activated,0.4700920275375274,MRI1,-0.4087509467440591,FRMD8,110,2.6391554702495204
DC_plasmacytoid,0.5014774770752498,EPPK1,-0.4443459767438098,LAP3,175,4.198656429942418
Deuterosomal,0.42737633539900727,CCAR2,-0.4985725410122706,LAP3,118,2.831094049904031
Dividing_AT2,0.460699841346105,MRI1,-0.4314688763472964,FRMD8,112,2.6871401151631478
Dividing_Basal,0.3529759731103158,DCPS,-0.385538312350195,ELOB,35,0.8397312859884837
Endothelia_Lymphatic,0.4780518733898142,PEA15,-0.36082240428721446,HDHD3,47,1.1276391554702496
Endothelia_vascular_Cap_a,0.46775611772480263,MRI1,-0.38444426949148863,FRMD8,95,2.2792706333973127
Endothelia_vascular_Cap_g,0.4662628338037241,MRI1,-0.38699755826556,FRMD8,93,2.2312859884836853
Endothelia_vascular_arterial_pulmonary,0.566807184801711,MVP,-0.5363518191463348,PAFAH1B3,755,18.114203454894433
Endothelia_vascular_arterial_systemic,0.595906676140119,IQGAP2,-0.6092532119590548,PFN2,1130,27.111324376199615
Endothelia_vascular_venous_pulmonary,0.3753537670037553,NDUFB6,-0.3342545255650412,PRPF38A,39,0.935700575815739
