cell_type,direction,rank,gene,r,p,p_bh_global,bh_pass
AT1,pos,1,MRI1,0.47890509123864833,1.04637532305496e-06,0.00010145489610917297,True
AT1,pos,2,COLGALT1,0.47846875127642347,1.0736875626360387e-06,0.00010355272269601023,True
AT1,pos,3,ENO1,0.45615925664674484,3.82777454310812e-06,0.0002693254154154825,True
AT1,pos,4,EPPK1,0.4540671046362159,4.29291405668053e-06,0.0002945933860999292,True
AT1,pos,5,ANPEP,0.45346902274522993,4.43536983274484e-06,0.0003018223912307019,True
AT1,neg,1,BAZ1B,-0.3722539537888207,0.00022027354794817988,0.0056088592461123405,True
AT1,neg,2,FRMD8,-0.35399766515718134,0.00046477726903182415,0.00967749048245107,True
AT1,neg,3,IRF9,-0.3504734593288447,0.0005341366602027442,0.010692995195605369,True
AT1,neg,4,C11orf98,-0.3064931667750003,0.002660503246613377,0.03369291916335981,True
AT1,neg,5,SELENOH,-0.3048759315012921,0.002809866663440186,0.034984417746726074,True
AT2,pos,1,MRI1,0.48944329965137245,5.554853128586501e-07,6.330178493492422e-05,True
AT2,pos,2,COLGALT1,0.4878720690937982,6.1131050932417e-07,6.783207195642304e-05,True
AT2,pos,3,ENO1,0.48250915190710025,8.446248143112456e-07,8.69100497017115e-05,True
AT2,pos,4,EPPK1,0.4727918688503145,1.4964738646039422e-06,0.000132181257063189,True
AT2,pos,5,CNN3,0.45698632411464607,3.657348181418385e-06,0.00026056130390956594,True
AT2,neg,1,IRF9,-0.3672339787867986,0.00027167891419765944,0.006518477408814305,True
AT2,neg,2,BAZ1B,-0.35694817886122443,0.00041317338204893694,0.008869409161810182,True
AT2,neg,3,ARHGDIB,-0.35412905260454913,0.0004623589760528457,0.009643427052259398,True
AT2,neg,4,FRMD8,-0.3457466253736777,0.0006420732302676591,0.012222940180726472,True
AT2,neg,5,ROCK1,-0.33665798124832647,0.00090744230363482,0.015757592713355716,True
B_memory,pos,1,MRI1,0.47297357382310234,1.4807913306658094e-06,0.00013100426142138697,True
B_memory,pos,2,EPPK1,0.46095090990490406,2.9351459363002874e-06,0.00022102417818427458,True
B_memory,pos,3,COLGALT1,0.4579019473929613,3.4770272194784013e-06,0.00025089373643429524,True
B_memory,pos,4,ANPEP,0.4569741240162173,3.6598093189343928e-06,0.0002605614210022869,True
B_memory,pos,5,NDRG1,0.4515342719951764,4.927318913772183e-06,0.00032793716938287355,True
B_memory,neg,1,IRF9,-0.4151772784684579,3.170456350676254e-05,0.0013232475046289945,True
B_memory,neg,2,C11orf98,-0.3953834571885445,8.011123101159257e-05,0.0026518702341413107,True
B_memory,neg,3,FRMD8,-0.3705109592863812,0.00023700577796326172,0.00589799288036943,True
B_memory,neg,4,CMTR1,-0.36592811357490856,0.0002867548044380719,0.006780761789364633,True
B_memory,neg,5,PITPNM1,-0.3635604344535311,0.00031607065306116233,0.007298012503061697,True
B_naive,pos,1,EPPK1,0.5111582975617728,1.4063378328543763e-07,2.2664537795406632e-05,True
B_naive,pos,2,MRI1,0.5059118803455999,1.9771157555581453e-07,2.9012408253877776e-05,True
B_naive,pos,3,SORBS3,0.4700646354640354,1.7515611367979744e-06,0.0001485730209753031,True
B_naive,pos,4,DDX6,0.45778063703202543,3.500426539071455e-06,0.00025214565244933805,True
B_naive,pos,5,MTHFD1L,0.4473682034895254,6.16641944173324e-06,0.0003900096545241903,True
B_naive,neg,1,LAP3,-0.4259451585378685,1.8675316831417987e-05,0.0008909854978205771,True
B_naive,neg,2,FRMD8,-0.40385290937634033,5.426711804901174e-05,0.001985170361191714,True
B_naive,neg,3,IRF9,-0.39746177317504416,7.287959626789409e-05,0.0024743888177951945,True
B_naive,neg,4,ARHGDIB,-0.39381339436260676,8.601073554426186e-05,0.002798538218177076,True
B_naive,neg,5,TRIM14,-0.3813717899651309,0.0001491710049232875,0.004208086284401099,True
B_plasma_IgA,pos,1,CRYAB,0.648906234113332,1.5170087408478139e-12,9.562148976191617e-09,True
B_plasma_IgA,pos,2,DSG2,0.6421452261780694,3.050226737855155e-12,1.3744156803654364e-08,True
B_plasma_IgA,pos,3,AHCY,0.6413086636053771,3.3215652450735433e-12,1.4674246379423782e-08,True
B_plasma_IgA,pos,4,SLC25A13,0.6153890725431307,4.1131764660917725e-11,8.163675957462145e-08,True
B_plasma_IgA,pos,5,GFUS,0.6152506424050426,4.1662673311293474e-11,8.220119401726448e-08,True
