axis,modality,subset,slide,n,pearson_r,pearson_p_perm,spearman_rho
1,Hist2Cell,all_ROI,slide1,46,-0.0977162525718059,0.515,0.0923219241443108
1,Hist2Cell,all_ROI,slide2,48,0.02057122093389386,0.886,-0.24598349978289186
1,Hist2Cell,all_ROI,combined,94,0.06137844655278435,0.551,-0.09035870389769896
1,Hist2Cell,Tumor_only,slide1,32,0.4846635064303695,0.004,0.5608504398826979
1,Hist2Cell,Tumor_only,slide2,33,-0.2499275983169598,0.148,-0.29946524064171126
1,Hist2Cell,Tumor_only,combined,65,0.34286831492470454,0.003,0.32194055944055944
1,Proteomics,all_ROI,slide1,46,-0.10587610209801636,0.494,-0.016219549799568304
1,Proteomics,all_ROI,slide2,48,0.008142521596492897,0.956,-0.22351280937907075
1,Proteomics,all_ROI,combined,94,0.06047293739307696,0.572,-0.06325181519344002
1,Proteomics,Tumor_only,slide1,32,0.4350601761993196,0.014,0.3885630498533724
1,Proteomics,Tumor_only,slide2,33,-0.2525181249365412,0.142,-0.23195187165775402
1,Proteomics,Tumor_only,combined,65,0.3015047506144129,0.007,0.26975524475524476
2,Hist2Cell,all_ROI,slide1,46,0.6617489493888717,0.0,0.6662349676225716
2,Hist2Cell,all_ROI,slide2,48,-0.19025114517841557,0.214,-0.12983065566652194
2,Hist2Cell,all_ROI,combined,94,0.4373806251941184,0.0,0.42088646461727414
2,Hist2Cell,Tumor_only,slide1,32,0.7832313390819007,0.0,0.7375366568914956
2,Hist2Cell,Tumor_only,slide2,33,-0.3134583349484077,0.073,-0.15407754010695188
2,Hist2Cell,Tumor_only,combined,65,0.5606789641134596,0.0,0.5159965034965035
2,Proteomics,all_ROI,slide1,46,0.6783278018613121,0.0,0.6541473943879124
2,Proteomics,all_ROI,slide2,48,-0.15350238192336219,0.321,-0.13069908814589665
2,Proteomics,all_ROI,combined,94,0.4306395951791526,0.0,0.4048477404905538
2,Proteomics,Tumor_only,slide1,32,0.771278341895463,0.0,0.6748533724340176
2,Proteomics,Tumor_only,slide2,33,-0.3245577946836867,0.072,-0.21189839572192515
2,Proteomics,Tumor_only,combined,65,0.5637272742668953,0.0,0.5057255244755244
3,Hist2Cell,all_ROI,slide1,46,-0.36739006952384534,0.019,-0.2809127351218008
3,Hist2Cell,all_ROI,slide2,48,0.128358830450664,0.391,0.20028224055579677
3,Hist2Cell,all_ROI,combined,94,0.2525176165472731,0.017,0.23895531553661092
3,Hist2Cell,Tumor_only,slide1,32,-0.5015193829463206,0.001,-0.3577712609970674
3,Hist2Cell,Tumor_only,slide2,33,-0.19696241454940056,0.29,-0.15173796791443853
3,Hist2Cell,Tumor_only,combined,65,0.33217169298531724,0.002,0.325743006993007
3,Proteomics,all_ROI,slide1,46,-0.3028751848756186,0.06,-0.2680851063829787
3,Proteomics,all_ROI,slide2,48,0.11992597555050777,0.416,0.13091619626574033
3,Proteomics,all_ROI,combined,94,0.21418897040668475,0.043,0.18867174800419031
3,Proteomics,Tumor_only,slide1,32,-0.34234021699287276,0.05,-0.2657624633431085
3,Proteomics,Tumor_only,slide2,33,-0.20543983472595387,0.236,-0.19385026737967917
3,Proteomics,Tumor_only,combined,65,0.24731748506846588,0.045,0.254458041958042
