Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
A1BG	14	14	793596.0	463002.0	645101.0	869510.0	961964.0	635159.0	342667.0						477413.0		649272.0	1022820.0	288720.0		307404.0	319242.0	291910.0	191697.0	348831.0	253778.0	427201.0	495849.0	225760.0	375511.0	333047.0	428315.0	388201.0	323270.0	986391.0	856187.0	462383.0	439526.0	597262.0	764019.0	512096.0	582167.0	358158.0	958389.0	541992.0	599536.0	396829.0	523467.0	233257.0	676970.0	773615.0	513551.0	362568.0	530995.0	610720.0	1718260.0	322160.0	201891.0	595009.0	263236.0	253963.0	372005.0	380383.0	1324270.0	308792.0	453706.0	632082.0	662670.0	581694.0	332449.0	421864.0	697264.0	648668.0	480045.0	631563.0	372379.0	439409.0	240556.0	387583.0	652939.0	574278.0	370528.0	1629450.0	2191900.0	1303910.0	1508960.0	599081.0	3329150.0	340713.0	2114270.0	1794790.0	1161940.0	772526.0	763384.0	1779940.0	1455750.0	718310.0
A2M	63	54	1358430.0	602042.0	787439.0	1580500.0	2426970.0	1072030.0	1028780.0	759857.0	771596.0		522070.0	889400.0	727200.0	860537.0	1890240.0	798702.0	1355120.0	654162.0	733673.0	2091100.0	2071740.0	810747.0	2438640.0	2109850.0	804424.0	2214670.0	1049850.0	762932.0	1589730.0	1199030.0	761709.0	1897590.0	1344680.0	1350650.0	1155820.0	607216.0	1392400.0	1215450.0	1313870.0	849380.0	927297.0	2189500.0	804086.0	1233820.0	1082870.0	1102300.0	438612.0	535147.0	1235330.0	1051430.0	684757.0	596026.0	718519.0	1397800.0	644389.0	361213.0	1403860.0	396956.0	371121.0	407408.0	539164.0	1800970.0	556903.0	545568.0	737739.0	775772.0	672376.0	331140.0	570841.0	694543.0	828508.0	448483.0	1077170.0	916829.0	628293.0	384349.0	542534.0	765586.0	926624.0	614243.0	6463470.0	4030660.0	2781010.0	4833040.0	992678.0	9407130.0	630447.0	5500640.0	4631230.0	2365920.0	1068450.0	1302530.0	3578260.0	1604470.0	1120770.0
A2ML1	54	54	1741620.0	7578310.0	578408.0	829172.0	1253970.0	720702.0	4699720.0	10738200.0	9120330.0	12605000.0	2970530.0	17923600.0	5323650.0	11637600.0	1760230.0	5220010.0	1274120.0	5296140.0	586081.0	630782.0	628788.0	313539.0	6515970.0	3618200.0	902415.0	5406780.0	2238290.0	540489.0	1342360.0	2892520.0	772947.0	3437580.0	1919240.0	1001870.0	317042.0	8780890.0	2352650.0	2936460.0	1052670.0	1758370.0	2842360.0	6252650.0	1448850.0	406392.0	372184.0	1084650.0	935534.0	2367100.0	1637160.0	983540.0	445968.0	1211790.0	2139510.0	4170030.0	731497.0	2878940.0	155053.0	202965.0	1872010.0	354623.0	532262.0	3460050.0	2335010.0	275779.0	198058.0	461844.0	166264.0	212485.0	287943.0	556359.0	1131720.0	1550450.0	378123.0	339497.0	1228190.0	574529.0	452982.0	769095.0	2106050.0	853066.0	5653290.0	485475.0	2047220.0	212084.0	445313.0	1099940.0	4168880.0	3671370.0	2188620.0	695003.0	236811.0	667523.0	215921.0	1599140.0	559339.0
A4GALT	2	2																								4831.67																														11928.0								12025.8								5074.7								6882.18								19967.1								6235.13	
AAAS	12	12	24742.3		32646.3	30512.3	25824.0	20597.3	18997.7						33850.4		25051.9				20587.9	32841.8	18429.2	24150.8	30126.4	25310.9	20521.2	23418.8	24432.1	28251.7	20293.0	23282.5	31086.3	27844.9	20059.5		19966.1	22800.6	22859.3	15132.8	25820.5	22543.8		16449.1	18289.9	24824.5	17129.9	17975.0	21430.4	27247.6	26333.7	28713.2	19561.7	11575.1		23828.9	32842.3	22589.6	28291.0	26975.5	21916.0	30373.9	14361.5	29043.6	17314.9	23161.1	28071.2	25223.5	23145.2	18633.1	18980.5	18377.6	20778.9		21179.1	20685.7	14993.4	32291.7	22971.1	17004.7	22307.9	21649.5	22514.3	25055.8	16266.8	20982.6	21757.7	18799.8	22378.0	18930.7	15845.2	20194.0	25093.3	22356.6	34987.1	18352.2	24032.1
AACS	16	16	28540.1		30369.2	27627.6		23852.2									45244.4					25273.2	28235.5	23924.6	34738.8	25696.4	28130.3	51163.1	35561.5	33264.8		29090.2	31715.6	37909.6						35431.2						32447.8			56483.1	59076.2	40907.1	50175.9	50505.2	37334.8		57304.7	60338.8	43610.9	36504.5	48730.0	56110.7	46798.0	42258.3	66002.0	40778.8	66585.3	64224.0	50183.8	42177.8	38280.4	43470.3	77384.2	61804.1	31840.2	48583.1	39530.2	29001.9	36394.2	59447.9	62136.4	68377.3	51462.9	23865.8	23458.9			39737.7		35819.6		33038.2	41202.9	38682.5	45794.8	33744.7	46375.4	62303.9
AADAC	12	11	81429.2				111840.0																		230479.0	169100.0	107077.0	241503.0	130504.0			127353.0	120980.0	215528.0				491296.0	161698.0										139602.0	141080.0	109033.0					570931.0	99519.0	125754.0			143298.0			538754.0	102208.0			93177.7				101397.0								79856.0	142546.0						30378.3	125052.0								199925.0	
AADACL2	2	2							33794.7																			16089.8						23501.1				60730.0																		74294.6								51512.1																6082.99	17756.4								31195.2							13173.5	
AAGAB	3	3																							7027.17			5187.96		7032.18			3644.1									4122.59				3114.41			7056.55			7086.43				5931.22	4918.42			2903.9	4370.54	5372.07		5376.8				4404.29		5272.13	5091.63	5585.15			6743.33	4274.02		5211.38	3523.98	3918.9		5755.71			5377.76							3885.17					10362.9
AAK1	6	6	3012.37		3482.9	3401.46	1932.13	2743.1									3518.03					2205.24		2494.87	2996.74	2402.92	3178.27	2962.79	4374.61	3331.08		3305.32	2498.94				3414.07		3272.6	3763.28	3844.67	1772.07	3803.01			5165.28	4239.25	3818.68	2885.44		3277.32	2591.24	3189.93			2856.24	2172.36		2891.81	2809.89	2908.37		2600.21	5039.23	2635.1	2154.86	2841.93	3375.67	1886.79	2277.54	3382.97	2247.78	2484.72		4073.78	2287.27	1512.02	2708.99	2546.31	1855.38	2313.56	2170.06	4493.67	5640.57	2509.52	6451.71	4110.24	3917.33	3688.79	2787.28	4679.57	5662.07	2766.84	3527.73		3827.23	3044.59
AAMDC	5	5	77348.2		96245.0	89746.9	61448.6	92587.3									176923.0		116951.0		123192.0	72896.8	123972.0	143344.0	104003.0	98273.0	67978.4	131573.0	108928.0	104194.0	68709.2	125594.0	146965.0	89783.0			64075.9				55015.7	44775.9		74069.9		84736.6	72753.3		91059.4		134698.0	79389.9	67020.7		216856.0		206080.0	74941.4	95622.3	92083.1	87586.2	55979.4	75510.9	82287.1	115027.0	81739.8	28826.2	68669.6	115843.0	126889.0	128311.0	102853.0	66053.4		86205.5	119352.0	99565.1	200198.0	73798.9	72766.1	65372.2	95852.2	58219.3	80283.0		58557.8	86887.7	67225.8	123920.0	124122.0	40328.2	68061.5	82971.6	71141.0	94852.8	88730.0	105969.0
AAMP	4	4	31702.1		39369.3		45055.3	34121.9														43273.7		21726.5	60740.6	33840.3	40512.6			29215.2			22955.8					54238.1			31064.8					31909.0	45441.7		43509.3	64633.5	33108.6	52674.3	49534.2			90807.7	59026.3	52130.7	41410.2	35814.1	61333.4	51335.8	47096.0	91232.5	44623.5	42247.7	49251.2	50352.0	46804.0	30853.3	42730.5	55150.5	42685.6		45510.7	45685.7	48306.6	31014.7	50287.2	38770.8	42599.0	52810.8		12755.2	43599.7	27285.3	34336.5	37640.2	36112.7		29273.3	42945.2	60409.8	63004.4	46865.9	50944.2	37858.8
AAR2	5	5			5243.64			3679.81															2924.21	3074.76		4416.68		4132.22	6738.87	4643.55			4954.77													2012.39			7678.12	3547.24		7805.71	4881.61				4478.39		4971.59	5249.78	5903.57			4362.02	5757.93	4512.42	7426.08	6242.22	4712.36	3931.03	5842.14	5534.61			3326.34	3776.68	4976.42	7190.12	5170.82	5099.44	3140.29	3174.07		2999.4		4008.54	2876.15	3196.98				4093.33	3164.74	7377.52	3057.18	4904.98	4864.92
AARS1	46	46	720953.0		880651.0	857208.0	682872.0	787902.0	585902.0				920170.0		716330.0	698117.0	1027120.0	681039.0	902926.0	719528.0	849499.0	1276910.0	1216310.0	599430.0	1002640.0	927400.0	557169.0	1186130.0	642398.0	612105.0	1118410.0	1081520.0	568515.0	1192290.0	606597.0	585912.0	539468.0	401541.0	565956.0	523482.0	557091.0	550962.0	722656.0	596796.0	510056.0	855870.0	651353.0	624214.0	1195110.0	1260230.0	1257890.0	1279250.0	1461230.0	1330140.0	1143220.0	1019940.0	1362370.0	1205440.0	1001470.0	1386790.0	1351250.0	1049480.0	1348600.0	1014030.0	1189110.0	1438680.0	1311030.0	1292010.0	997968.0	1071560.0	1142500.0	1171400.0	1218440.0	1141520.0	1066630.0	1145770.0	1199530.0	1192330.0	1303770.0	1136400.0	1254560.0	1249700.0	548155.0	768799.0	623105.0	555276.0	819947.0	717220.0	1014800.0	799986.0	736012.0	934884.0	958439.0	877941.0	847416.0	912564.0	1168240.0
AARS2	21	21	529083.0		934386.0	719312.0	660624.0	636095.0	443923.0								346131.0		319969.0		457215.0	517022.0	436179.0	369302.0	545562.0	494397.0	576600.0	511212.0	373360.0	571422.0	371922.0	467962.0	401105.0	573834.0	269800.0	317627.0	553138.0	500200.0	413333.0	364339.0	588486.0	575572.0	401164.0	395751.0	488334.0	545394.0	539044.0	444312.0	434258.0	450614.0	424399.0	394464.0	561826.0	252072.0		393324.0	449291.0	310896.0	527002.0	400751.0	439491.0	463770.0	435134.0	364888.0	438890.0	500871.0	493188.0	466138.0	483258.0	404968.0	448410.0	482506.0	470441.0	282696.0	363857.0	348617.0	392166.0	448160.0	443242.0	392230.0	482843.0	418778.0	400966.0	533576.0	385845.0	461190.0	489183.0	418493.0	526899.0	358685.0	369201.0	511188.0	401521.0	419409.0	430832.0	402866.0	497595.0
AARSD1	9	9	21416.7		35540.3	20944.1	20798.9	24375.6													30534.3	30083.6		27957.5		24236.2	16748.6	19580.1	23666.0	26458.6		25093.0	24208.0		22381.3		14810.3				24946.4	17808.2	32476.4	22441.5		32143.1	19568.6	17406.7	31394.3	51727.8	31107.5	35134.6	29813.9	20409.4		33100.5	34942.3	34024.6	33509.2	37037.5	31626.6	27375.5	26430.2	27366.3	27849.3	30322.2	34818.2	36533.8	33591.3	30691.7	37566.4	34289.4	27478.0		33627.0	21869.8	25070.7	32082.4	25690.2	25258.5	36972.7	29886.1		22654.9	26965.4	20900.9	26543.7	30236.4	27843.1	23045.0	28762.6	27498.9	35042.0	27786.2	36863.6	32228.9	38352.4
