spot_id,X,Y,array_col,array_row
slide2_152_19_r22c2,512,7733,2,22
slide2_152_19_r22c4,912,7733,4,22
slide2_152_19_r22c6,1312,7733,6,22
slide2_152_19_r22c8,1712,7733,8,22
slide2_152_19_r22c10,2112,7733,10,22
slide2_152_19_r22c12,2512,7733,12,22
slide2_152_19_r22c14,2912,7733,14,22
slide2_152_19_r23c1,312,8079,1,23
slide2_152_19_r23c3,712,8079,3,23
slide2_152_19_r23c5,1112,8079,5,23
slide2_152_19_r23c7,1512,8079,7,23
slide2_152_19_r23c9,1912,8079,9,23
slide2_152_19_r23c11,2312,8079,11,23
slide2_152_19_r23c13,2712,8079,13,23
slide2_152_19_r23c15,3112,8079,15,23
slide2_152_19_r23c17,3512,8079,17,23
slide2_152_19_r23c19,3912,8079,19,23
slide2_152_19_r23c21,4312,8079,21,23
slide2_152_19_r23c23,4712,8079,23,23
slide2_152_19_r23c25,5112,8079,25,23
slide2_152_19_r23c27,5512,8079,27,23
slide2_152_19_r23c29,5912,8079,29,23
slide2_152_19_r23c31,6312,8079,31,23
slide2_152_19_r23c33,6712,8079,33,23
slide2_152_19_r23c35,7112,8079,35,23
slide2_152_19_r23c37,7512,8079,37,23
slide2_152_19_r23c39,7912,8079,39,23
slide2_152_19_r24c0,112,8425,0,24
slide2_152_19_r24c2,512,8425,2,24
slide2_152_19_r24c4,912,8425,4,24
slide2_152_19_r24c6,1312,8425,6,24
slide2_152_19_r24c8,1712,8425,8,24
slide2_152_19_r24c10,2112,8425,10,24
slide2_152_19_r24c12,2512,8425,12,24
slide2_152_19_r24c14,2912,8425,14,24
slide2_152_19_r24c16,3312,8425,16,24
slide2_152_19_r24c18,3712,8425,18,24
slide2_152_19_r24c20,4112,8425,20,24
slide2_152_19_r24c22,4512,8425,22,24
slide2_152_19_r24c24,4912,8425,24,24
slide2_152_19_r24c26,5312,8425,26,24
slide2_152_19_r24c28,5712,8425,28,24
slide2_152_19_r24c30,6112,8425,30,24
slide2_152_19_r24c32,6512,8425,32,24
slide2_152_19_r24c34,6912,8425,34,24
slide2_152_19_r24c36,7312,8425,36,24
slide2_152_19_r24c38,7712,8425,38,24
slide2_152_19_r24c40,8112,8425,40,24
slide2_152_19_r24c42,8512,8425,42,24
slide2_152_19_r24c44,8912,8425,44,24
slide2_152_19_r24c46,9312,8425,46,24
slide2_152_19_r25c1,312,8772,1,25
slide2_152_19_r25c3,712,8772,3,25
slide2_152_19_r25c5,1112,8772,5,25
slide2_152_19_r25c7,1512,8772,7,25
slide2_152_19_r25c9,1912,8772,9,25
slide2_152_19_r25c11,2312,8772,11,25
slide2_152_19_r25c13,2712,8772,13,25
slide2_152_19_r25c15,3112,8772,15,25
slide2_152_19_r25c17,3512,8772,17,25
slide2_152_19_r25c19,3912,8772,19,25
slide2_152_19_r25c21,4312,8772,21,25
slide2_152_19_r25c23,4712,8772,23,25
slide2_152_19_r25c25,5112,8772,25,25
slide2_152_19_r25c27,5512,8772,27,25
slide2_152_19_r25c29,5912,8772,29,25
slide2_152_19_r25c31,6312,8772,31,25
slide2_152_19_r25c33,6712,8772,33,25
slide2_152_19_r25c35,7112,8772,35,25
slide2_152_19_r25c37,7512,8772,37,25
slide2_152_19_r25c39,7912,8772,39,25
slide2_152_19_r25c41,8312,8772,41,25
slide2_152_19_r25c43,8712,8772,43,25
slide2_152_19_r25c45,9112,8772,45,25
slide2_152_19_r25c47,9512,8772,47,25
slide2_152_19_r25c49,9912,8772,49,25
slide2_152_19_r25c51,10312,8772,51,25
slide2_152_19_r26c0,112,9118,0,26
slide2_152_19_r26c2,512,9118,2,26
slide2_152_19_r26c4,912,9118,4,26
slide2_152_19_r26c6,1312,9118,6,26
slide2_152_19_r26c8,1712,9118,8,26
slide2_152_19_r26c10,2112,9118,10,26
slide2_152_19_r26c12,2512,9118,12,26
slide2_152_19_r26c14,2912,9118,14,26
slide2_152_19_r26c16,3312,9118,16,26
slide2_152_19_r26c18,3712,9118,18,26
slide2_152_19_r26c20,4112,9118,20,26
slide2_152_19_r26c22,4512,9118,22,26
slide2_152_19_r26c24,4912,9118,24,26
slide2_152_19_r26c26,5312,9118,26,26
slide2_152_19_r26c28,5712,9118,28,26
slide2_152_19_r26c30,6112,9118,30,26
slide2_152_19_r26c32,6512,9118,32,26
slide2_152_19_r26c34,6912,9118,34,26
slide2_152_19_r26c36,7312,9118,36,26
slide2_152_19_r26c38,7712,9118,38,26
slide2_152_19_r26c40,8112,9118,40,26
slide2_152_19_r26c42,8512,9118,42,26
slide2_152_19_r26c44,8912,9118,44,26
slide2_152_19_r26c46,9312,9118,46,26
slide2_152_19_r26c48,9712,9118,48,26
slide2_152_19_r26c50,10112,9118,50,26
slide2_152_19_r26c52,10512,9118,52,26
slide2_152_19_r27c1,312,9465,1,27
slide2_152_19_r27c3,712,9465,3,27
slide2_152_19_r27c5,1112,9465,5,27
slide2_152_19_r27c7,1512,9465,7,27
slide2_152_19_r27c9,1912,9465,9,27
slide2_152_19_r27c11,2312,9465,11,27
slide2_152_19_r27c13,2712,9465,13,27
slide2_152_19_r27c15,3112,9465,15,27
slide2_152_19_r27c17,3512,9465,17,27
slide2_152_19_r27c19,3912,9465,19,27
slide2_152_19_r27c21,4312,9465,21,27
slide2_152_19_r27c23,4712,9465,23,27
slide2_152_19_r27c25,5112,9465,25,27
slide2_152_19_r27c27,5512,9465,27,27
slide2_152_19_r27c29,5912,9465,29,27
slide2_152_19_r27c31,6312,9465,31,27
slide2_152_19_r27c33,6712,9465,33,27
slide2_152_19_r27c35,7112,9465,35,27
slide2_152_19_r27c37,7512,9465,37,27
slide2_152_19_r27c39,7912,9465,39,27
slide2_152_19_r27c41,8312,9465,41,27
slide2_152_19_r27c43,8712,9465,43,27
slide2_152_19_r27c45,9112,9465,45,27
slide2_152_19_r27c47,9512,9465,47,27
slide2_152_19_r27c49,9912,9465,49,27
slide2_152_19_r27c51,10312,9465,51,27
slide2_152_19_r27c53,10712,9465,53,27
slide2_152_19_r27c55,11112,9465,55,27
slide2_152_19_r28c0,112,9811,0,28
slide2_152_19_r28c2,512,9811,2,28
slide2_152_19_r28c4,912,9811,4,28
slide2_152_19_r28c6,1312,9811,6,28
slide2_152_19_r28c8,1712,9811,8,28
slide2_152_19_r28c10,2112,9811,10,28
slide2_152_19_r28c12,2512,9811,12,28
slide2_152_19_r28c14,2912,9811,14,28
slide2_152_19_r28c16,3312,9811,16,28
slide2_152_19_r28c18,3712,9811,18,28
slide2_152_19_r28c20,4112,9811,20,28
slide2_152_19_r28c22,4512,9811,22,28
slide2_152_19_r28c24,4912,9811,24,28
slide2_152_19_r28c26,5312,9811,26,28
slide2_152_19_r28c28,5712,9811,28,28
slide2_152_19_r28c30,6112,9811,30,28
slide2_152_19_r28c32,6512,9811,32,28
slide2_152_19_r28c34,6912,9811,34,28
slide2_152_19_r28c36,7312,9811,36,28
slide2_152_19_r28c38,7712,9811,38,28
slide2_152_19_r28c40,8112,9811,40,28
slide2_152_19_r28c42,8512,9811,42,28
slide2_152_19_r28c44,8912,9811,44,28
slide2_152_19_r28c46,9312,9811,46,28
slide2_152_19_r28c48,9712,9811,48,28
slide2_152_19_r28c50,10112,9811,50,28
slide2_152_19_r28c52,10512,9811,52,28
slide2_152_19_r28c54,10912,9811,54,28
slide2_152_19_r28c56,11312,9811,56,28
slide2_152_19_r28c58,11712,9811,58,28
slide2_152_19_r29c1,312,10157,1,29
slide2_152_19_r29c3,712,10157,3,29
slide2_152_19_r29c5,1112,10157,5,29
slide2_152_19_r29c7,1512,10157,7,29
slide2_152_19_r29c9,1912,10157,9,29
slide2_152_19_r29c11,2312,10157,11,29
slide2_152_19_r29c13,2712,10157,13,29
slide2_152_19_r29c15,3112,10157,15,29
slide2_152_19_r29c17,3512,10157,17,29
slide2_152_19_r29c19,3912,10157,19,29
slide2_152_19_r29c21,4312,10157,21,29
slide2_152_19_r29c23,4712,10157,23,29
slide2_152_19_r29c25,5112,10157,25,29
slide2_152_19_r29c27,5512,10157,27,29
slide2_152_19_r29c29,5912,10157,29,29
slide2_152_19_r29c31,6312,10157,31,29
slide2_152_19_r29c33,6712,10157,33,29
slide2_152_19_r29c35,7112,10157,35,29
slide2_152_19_r29c37,7512,10157,37,29
slide2_152_19_r29c39,7912,10157,39,29
slide2_152_19_r29c41,8312,10157,41,29
slide2_152_19_r29c43,8712,10157,43,29
slide2_152_19_r29c45,9112,10157,45,29
slide2_152_19_r29c47,9512,10157,47,29
slide2_152_19_r29c49,9912,10157,49,29
slide2_152_19_r29c51,10312,10157,51,29
slide2_152_19_r29c53,10712,10157,53,29
slide2_152_19_r29c55,11112,10157,55,29
slide2_152_19_r29c57,11512,10157,57,29
slide2_152_19_r29c59,11912,10157,59,29
slide2_152_19_r30c0,112,10504,0,30
slide2_152_19_r30c2,512,10504,2,30
slide2_152_19_r30c4,912,10504,4,30
slide2_152_19_r30c6,1312,10504,6,30
slide2_152_19_r30c8,1712,10504,8,30
slide2_152_19_r30c10,2112,10504,10,30
slide2_152_19_r30c12,2512,10504,12,30
slide2_152_19_r30c14,2912,10504,14,30
slide2_152_19_r30c16,3312,10504,16,30
slide2_152_19_r30c18,3712,10504,18,30
slide2_152_19_r30c20,4112,10504,20,30
slide2_152_19_r30c22,4512,10504,22,30
slide2_152_19_r30c24,4912,10504,24,30
slide2_152_19_r30c26,5312,10504,26,30
slide2_152_19_r30c28,5712,10504,28,30
slide2_152_19_r30c30,6112,10504,30,30
slide2_152_19_r30c32,6512,10504,32,30
slide2_152_19_r30c34,6912,10504,34,30
slide2_152_19_r30c36,7312,10504,36,30
slide2_152_19_r30c38,7712,10504,38,30
slide2_152_19_r30c40,8112,10504,40,30
slide2_152_19_r30c42,8512,10504,42,30
slide2_152_19_r30c44,8912,10504,44,30
slide2_152_19_r30c46,9312,10504,46,30
slide2_152_19_r30c48,9712,10504,48,30
slide2_152_19_r30c50,10112,10504,50,30
slide2_152_19_r30c52,10512,10504,52,30
slide2_152_19_r30c54,10912,10504,54,30
slide2_152_19_r30c56,11312,10504,56,30
slide2_152_19_r30c58,11712,10504,58,30
slide2_152_19_r30c60,12112,10504,60,30
slide2_152_19_r30c62,12512,10504,62,30
slide2_152_19_r31c1,312,10850,1,31
slide2_152_19_r31c3,712,10850,3,31
slide2_152_19_r31c5,1112,10850,5,31
slide2_152_19_r31c7,1512,10850,7,31
slide2_152_19_r31c9,1912,10850,9,31
slide2_152_19_r31c11,2312,10850,11,31
slide2_152_19_r31c13,2712,10850,13,31
