spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide2_152_19_x200y200,200,200,0,0
slide2_152_19_x600y200,600,200,400,0
slide2_152_19_x1000y200,1000,200,800,0
slide2_152_19_x1400y200,1400,200,1200,0
slide2_152_19_x1800y200,1800,200,1600,0
slide2_152_19_x2200y200,2200,200,2000,0
slide2_152_19_x2600y200,2600,200,2400,0
slide2_152_19_x3400y200,3400,200,3200,0
slide2_152_19_x5800y200,5800,200,5600,0
slide2_152_19_x6200y200,6200,200,6000,0
slide2_152_19_x6600y200,6600,200,6400,0
slide2_152_19_x7800y200,7800,200,7600,0
slide2_152_19_x8200y200,8200,200,8000,0
slide2_152_19_x8600y200,8600,200,8400,0
slide2_152_19_x9000y200,9000,200,8800,0
slide2_152_19_x9400y200,9400,200,9200,0
slide2_152_19_x9800y200,9800,200,9600,0
slide2_152_19_x10200y200,10200,200,10000,0
slide2_152_19_x10600y200,10600,200,10400,0
slide2_152_19_x11000y200,11000,200,10800,0
slide2_152_19_x11400y200,11400,200,11200,0
slide2_152_19_x11800y200,11800,200,11600,0
slide2_152_19_x12200y200,12200,200,12000,0
slide2_152_19_x12600y200,12600,200,12400,0
slide2_152_19_x13000y200,13000,200,12800,0
slide2_152_19_x13400y200,13400,200,13200,0
slide2_152_19_x13800y200,13800,200,13600,0
slide2_152_19_x14200y200,14200,200,14000,0
slide2_152_19_x14600y200,14600,200,14400,0
slide2_152_19_x15000y200,15000,200,14800,0
slide2_152_19_x15400y200,15400,200,15200,0
slide2_152_19_x15800y200,15800,200,15600,0
slide2_152_19_x16200y200,16200,200,16000,0
slide2_152_19_x16600y200,16600,200,16400,0
slide2_152_19_x17000y200,17000,200,16800,0
slide2_152_19_x17800y200,17800,200,17600,0
slide2_152_19_x18200y200,18200,200,18000,0
slide2_152_19_x18600y200,18600,200,18400,0
slide2_152_19_x20600y200,20600,200,20400,0
slide2_152_19_x21000y200,21000,200,20800,0
slide2_152_19_x21400y200,21400,200,21200,0
slide2_152_19_x21800y200,21800,200,21600,0
slide2_152_19_x23400y200,23400,200,23200,0
slide2_152_19_x23800y200,23800,200,23600,0
slide2_152_19_x24200y200,24200,200,24000,0
slide2_152_19_x24600y200,24600,200,24400,0
slide2_152_19_x25000y200,25000,200,24800,0
slide2_152_19_x25400y200,25400,200,25200,0
slide2_152_19_x219800y200,219800,200,219600,0
slide2_152_19_x220200y200,220200,200,220000,0
slide2_152_19_x200y600,200,600,0,400
slide2_152_19_x600y600,600,600,400,400
slide2_152_19_x1000y600,1000,600,800,400
slide2_152_19_x1400y600,1400,600,1200,400
slide2_152_19_x1800y600,1800,600,1600,400
slide2_152_19_x2200y600,2200,600,2000,400
slide2_152_19_x2600y600,2600,600,2400,400
slide2_152_19_x3000y600,3000,600,2800,400
slide2_152_19_x3400y600,3400,600,3200,400
slide2_152_19_x5800y600,5800,600,5600,400
slide2_152_19_x6200y600,6200,600,6000,400
slide2_152_19_x6600y600,6600,600,6400,400
slide2_152_19_x7800y600,7800,600,7600,400
slide2_152_19_x8200y600,8200,600,8000,400
