slide,rep,dim,knn_purity_k10
4245-BS1,prediction_log1p,80,0.7184
4245-TS1,prediction_log1p,80,0.6779
4390-BS1,prediction_log1p,80,0.709
4245-BS1,dino768,768,0.4664
4245-TS1,dino768,768,0.3953
4390-BS1,dino768,768,0.3648
4245-BS1,dino19_pca,19,0.4462
4245-TS1,dino19_pca,19,0.3838
4390-BS1,dino19_pca,19,0.3435
4245-BS1,dino19_imp,19,0.4353
4245-TS1,dino19_imp,19,0.3641
4390-BS1,dino19_imp,19,0.3336
4245-BS1,hex19,19,0.4425
4245-TS1,hex19,19,0.427
4390-BS1,hex19,19,0.3983
4245-BS1,dino19pca+hex19,38,0.4592
4245-TS1,dino19pca+hex19,38,0.4233
4390-BS1,dino19pca+hex19,38,0.382
4245-BS1,dino19imp+hex19,38,0.4471
4245-TS1,dino19imp+hex19,38,0.4179
4390-BS1,dino19imp+hex19,38,0.3814
