slide,rep,dim,knn_purity_k10
4245-BS1,hist2cell,80,0.6122
4245-TS1,hist2cell,80,0.6438
4390-BS1,hist2cell,80,0.7319
4245-BS1,dino768,768,0.3728
4245-TS1,dino768,768,0.4519
4390-BS1,dino768,768,0.5091
4245-BS1,PCA,19,0.3609
4245-TS1,PCA,19,0.4338
4390-BS1,PCA,19,0.487
4245-BS1,hex_orig,19,0.36
4245-TS1,hex_orig,19,0.4242
4390-BS1,hex_orig,19,0.477
4245-BS1,hex,19,0.3555
4245-TS1,hex,19,0.4253
4390-BS1,hex,19,0.4773
4245-BS1,pca+hex_orig,38,0.381
4245-TS1,pca+hex_orig,38,0.4487
4390-BS1,pca+hex_orig,38,0.4982
4245-BS1,pca+hex,38,0.3805
4245-TS1,pca+hex,38,0.4485
4390-BS1,pca+hex,38,0.4974
