cell_type,n_dominant,abundance_at_example,slide,spot_id,x,y
Ciliated,13202,3.309,4390-BS1,TCGA-05-4390-01A-01-BS1_x10877y12629,10877,12629
Muscle_smooth_syst_arterial,12361,2.502,4390-BS1,TCGA-05-4390-01A-01-BS1_x20075y12629,20075,12629
SMG_Duct,4182,2.706,4390-BS1,TCGA-05-4390-01A-01-BS1_x14527y11023,14527,11023
Fibro_adventitial,2679,1.707,4245-TS1,TCGA-05-4245-01A-01-TS1_x6643y4015,6643,4015
SMG_Serous,2025,2.302,4390-BS1,TCGA-05-4390-01A-01-BS1_x30003y1971,30003,1971
AT2,124,0.963,4390-BS1,TCGA-05-4390-01A-01-BS1_x29565y15987,29565,15987
Muscle_airway,112,2.533,4245-BS1,TCGA-05-4245-01A-01-BS1_x9709y8979,9709,8979
Endothelia_vascular_venous_systemic,27,1.425,4390-BS1,TCGA-05-4390-01A-01-BS1_x27083y2263,27083,2263
Macro_CHIT1,7,0.547,4245-BS1,TCGA-05-4245-01A-01-BS1_x11169y8979,11169,8979
Fibro_alveolar,7,0.981,4390-BS1,TCGA-05-4390-01A-01-BS1_x30879y4891,30879,4891
AT1,6,0.96,4390-BS1,TCGA-05-4390-01A-01-BS1_x28397y6789,28397,6789
Secretory_Goblet,2,0.824,4245-BS1,TCGA-05-4245-01A-01-BS1_x12191y8979,12191,8979
Macro_alv,2,0.261,4245-BS1,TCGA-05-4245-01A-01-BS1_x2993y11607,2993,11607
Endothelia_vascular_Cap_a,2,1.003,4390-BS1,TCGA-05-4390-01A-01-BS1_x27667y4161,27667,4161
Basal,1,0.551,4390-BS1,TCGA-05-4390-01A-01-BS1_x19491y7665,19491,7665
