res,cluster,cluster_rank,grid_index,grid_row,grid_col,slide,spot_id,x,y,dist_to_centroid
146,Ciliated,1,0,0,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x18907y2993,18907,2993,9.86294174194336
146,Ciliated,1,1,0,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x31171y3869,31171,3869,9.97824764251709
146,Ciliated,1,2,0,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x26645y3285,26645,3285,10.016754150390625
146,Ciliated,1,3,0,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x7811y12775,7811,12775,10.147231101989746
146,Ciliated,1,4,0,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x12629y11899,12629,11899,10.312373161315918
146,Ciliated,1,5,0,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x20367y14089,20367,14089,10.362038612365723
146,Ciliated,1,6,0,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x5621y13943,5621,13943,10.394829750061035
146,Ciliated,1,7,0,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x11169y16133,11169,16133,10.4616060256958
146,Ciliated,1,8,0,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x12191y1971,12191,1971,10.46723461151123
146,Ciliated,1,9,0,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x24455y14965,24455,14965,10.501320838928223
146,Ciliated,1,10,1,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x18323y1825,18323,1825,10.601302146911621
146,Ciliated,1,11,1,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x11899y4599,11899,4599,10.608272552490234
146,Ciliated,1,12,1,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x18469y15403,18469,15403,10.621939659118652
146,Ciliated,1,13,1,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x4599y12921,4599,12921,10.632011413574219
146,Ciliated,1,14,1,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x9271y11899,9271,11899,10.661656379699707
146,Ciliated,1,15,1,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x5329y9271,5329,9271,10.668603897094727
146,Ciliated,1,16,1,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x28397y10877,28397,10877,10.699579238891602
146,Ciliated,1,17,1,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x25623y11169,25623,11169,10.724190711975098
146,Ciliated,1,18,1,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x19783y7373,19783,7373,10.724315643310547
146,Ciliated,1,19,1,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x19783y6205,19783,6205,10.728903770446777
146,Ciliated,1,20,2,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x16425y16279,16425,16279,10.733656883239746
146,Ciliated,1,21,2,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x4307y11461,4307,11461,10.76357364654541
146,Ciliated,1,22,2,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x7957y5037,7957,5037,10.770573616027832
146,Ciliated,1,23,2,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x28397y17155,28397,17155,10.77432918548584
146,Ciliated,1,24,2,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x12045y4307,12045,4307,10.77731990814209
146,Ciliated,1,25,2,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x27521y11169,27521,11169,10.795961380004883
146,Ciliated,1,26,2,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x27083y12629,27083,12629,10.805744171142578
146,Ciliated,1,27,2,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x4453y14381,4453,14381,10.810465812683105
146,Ciliated,1,28,2,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x24309y12191,24309,12191,10.833525657653809
146,Ciliated,1,29,2,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x26645y6205,26645,6205,10.833541870117188
146,Ciliated,1,30,3,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x13505y15987,13505,15987,10.837259292602539
146,Ciliated,1,31,3,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x26645y10147,26645,10147,10.857699394226074
146,Ciliated,1,32,3,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x31901y2993,31901,2993,10.870457649230957
146,Ciliated,1,33,3,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x5767y13213,5767,13213,10.88415813446045
146,Ciliated,1,34,3,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x21681y7081,21681,7081,10.888110160827637
146,Ciliated,1,35,3,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x30879y11169,30879,11169,10.905226707458496
146,Ciliated,1,36,3,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x11753y7081,11753,7081,10.912705421447754
146,Ciliated,1,37,3,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x29127y3577,29127,3577,10.916280746459961
146,Ciliated,1,38,3,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x14381y16133,14381,16133,10.91678524017334
146,Ciliated,1,39,3,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x23287y6497,23287,6497,10.924280166625977
146,Ciliated,1,40,4,0,4390-BS1,TCGA-05-4390-01A-01-BS1_x3577y16279,3577,16279,10.935978889465332
146,Ciliated,1,41,4,1,4390-BS1,TCGA-05-4390-01A-01-BS1_x5913y15403,5913,15403,10.947422981262207
146,Ciliated,1,42,4,2,4390-BS1,TCGA-05-4390-01A-01-BS1_x6935y18031,6935,18031,10.957947731018066
146,Ciliated,1,43,4,3,4390-BS1,TCGA-05-4390-01A-01-BS1_x13067y9563,13067,9563,10.988314628601074
146,Ciliated,1,44,4,4,4390-BS1,TCGA-05-4390-01A-01-BS1_x21827y13797,21827,13797,11.000115394592285
146,Ciliated,1,45,4,5,4390-BS1,TCGA-05-4390-01A-01-BS1_x10439y17447,10439,17447,11.001079559326172
146,Ciliated,1,46,4,6,4390-BS1,TCGA-05-4390-01A-01-BS1_x15257y7811,15257,7811,11.007143020629883
146,Ciliated,1,47,4,7,4390-BS1,TCGA-05-4390-01A-01-BS1_x8395y16571,8395,16571,11.009439468383789
146,Ciliated,1,48,4,8,4390-BS1,TCGA-05-4390-01A-01-BS1_x11753y4015,11753,4015,11.032883644104004
146,Ciliated,1,49,4,9,4390-BS1,TCGA-05-4390-01A-01-BS1_x6789y12045,6789,12045,11.044210433959961
