spot_id,X,Y,tile_x_topleft,tile_y_topleft,tile_size
TCGA-05-4245-01A-01-TS1_x8624y1232,8624,1232,8512,1120,224
TCGA-05-4245-01A-01-TS1_x8624y1456,8624,1456,8512,1344,224
TCGA-05-4245-01A-01-TS1_x8848y1456,8848,1456,8736,1344,224
TCGA-05-4245-01A-01-TS1_x10416y1456,10416,1456,10304,1344,224
TCGA-05-4245-01A-01-TS1_x10640y1456,10640,1456,10528,1344,224
TCGA-05-4245-01A-01-TS1_x10864y1456,10864,1456,10752,1344,224
TCGA-05-4245-01A-01-TS1_x11088y1456,11088,1456,10976,1344,224
TCGA-05-4245-01A-01-TS1_x11312y1456,11312,1456,11200,1344,224
TCGA-05-4245-01A-01-TS1_x11536y1456,11536,1456,11424,1344,224
TCGA-05-4245-01A-01-TS1_x8848y1680,8848,1680,8736,1568,224
TCGA-05-4245-01A-01-TS1_x9072y1680,9072,1680,8960,1568,224
TCGA-05-4245-01A-01-TS1_x9968y1680,9968,1680,9856,1568,224
TCGA-05-4245-01A-01-TS1_x10192y1680,10192,1680,10080,1568,224
TCGA-05-4245-01A-01-TS1_x10416y1680,10416,1680,10304,1568,224
TCGA-05-4245-01A-01-TS1_x10640y1680,10640,1680,10528,1568,224
TCGA-05-4245-01A-01-TS1_x10864y1680,10864,1680,10752,1568,224
TCGA-05-4245-01A-01-TS1_x11088y1680,11088,1680,10976,1568,224
TCGA-05-4245-01A-01-TS1_x11312y1680,11312,1680,11200,1568,224
TCGA-05-4245-01A-01-TS1_x11536y1680,11536,1680,11424,1568,224
TCGA-05-4245-01A-01-TS1_x11760y1680,11760,1680,11648,1568,224
TCGA-05-4245-01A-01-TS1_x11984y1680,11984,1680,11872,1568,224
TCGA-05-4245-01A-01-TS1_x12208y1680,12208,1680,12096,1568,224
TCGA-05-4245-01A-01-TS1_x12432y1680,12432,1680,12320,1568,224
TCGA-05-4245-01A-01-TS1_x12656y1680,12656,1680,12544,1568,224
TCGA-05-4245-01A-01-TS1_x12880y1680,12880,1680,12768,1568,224
TCGA-05-4245-01A-01-TS1_x8848y1904,8848,1904,8736,1792,224
TCGA-05-4245-01A-01-TS1_x9296y1904,9296,1904,9184,1792,224
TCGA-05-4245-01A-01-TS1_x9520y1904,9520,1904,9408,1792,224
TCGA-05-4245-01A-01-TS1_x9744y1904,9744,1904,9632,1792,224
TCGA-05-4245-01A-01-TS1_x9968y1904,9968,1904,9856,1792,224
TCGA-05-4245-01A-01-TS1_x10192y1904,10192,1904,10080,1792,224
TCGA-05-4245-01A-01-TS1_x10416y1904,10416,1904,10304,1792,224
TCGA-05-4245-01A-01-TS1_x10640y1904,10640,1904,10528,1792,224
TCGA-05-4245-01A-01-TS1_x10864y1904,10864,1904,10752,1792,224
TCGA-05-4245-01A-01-TS1_x11088y1904,11088,1904,10976,1792,224
TCGA-05-4245-01A-01-TS1_x11312y1904,11312,1904,11200,1792,224
TCGA-05-4245-01A-01-TS1_x11536y1904,11536,1904,11424,1792,224
TCGA-05-4245-01A-01-TS1_x11760y1904,11760,1904,11648,1792,224
TCGA-05-4245-01A-01-TS1_x11984y1904,11984,1904,11872,1792,224
TCGA-05-4245-01A-01-TS1_x12208y1904,12208,1904,12096,1792,224
TCGA-05-4245-01A-01-TS1_x12432y1904,12432,1904,12320,1792,224
TCGA-05-4245-01A-01-TS1_x12656y1904,12656,1904,12544,1792,224
TCGA-05-4245-01A-01-TS1_x12880y1904,12880,1904,12768,1792,224
