cell_type,4245-BS1_in_top10,4245-BS1_rank,4245-BS1_mean,4245-TS1_in_top10,4245-TS1_rank,4245-TS1_mean,4390-BS1_in_top10,4390-BS1_rank,4390-BS1_mean,n_slides_in_top10
SMG_Serous,True,1,1.7115439176559448,True,3,1.713673710823059,True,3,1.5762139558792114,3
SMG_Duct,True,2,1.7006759643554688,True,2,1.7988457679748535,True,2,1.7380619049072266,3
Ciliated,True,3,1.6763579845428467,True,1,3.0462841987609863,True,1,3.311760187149048,3
Muscle_smooth_syst_arterial,True,4,1.6180729866027832,True,7,0.7033134698867798,True,6,1.0366064310073853,3
Fibro_adventitial,True,5,1.2742125988006592,True,4,1.5034962892532349,True,4,1.4800140857696533,3
AT2,True,8,0.6135922074317932,True,5,1.0700572729110718,True,7,0.9986547231674194,3
B_plasma_IgA,True,9,0.5162816047668457,True,9,0.6083382964134216,False,18,0.4691197872161865,2
AT1,False,11,0.37550199031829834,True,10,0.6024976968765259,True,9,0.6867650151252747,2
Fibro_alveolar,False,12,0.36546289920806885,True,8,0.6327263116836548,True,8,0.7663553953170776,2
Secretory_Goblet,False,13,0.35722845792770386,True,6,0.7707580327987671,True,5,1.0898233652114868,2
Muscle_airway,True,6,0.9637845754623413,False,19,0.31491440534591675,False,14,0.5259461998939514,1
Muscle_smooth_pulmonary,True,7,0.6873535513877869,False,20,0.28091728687286377,False,19,0.4577874541282654,1
SMG_Mucous,True,10,0.39194491505622864,False,12,0.5668683648109436,False,12,0.616456925868988,1
Endothelia_vascular_Cap_a,False,14,0.35128042101860046,False,13,0.5353668928146362,True,10,0.6706823706626892,1
