cell_type,4245-BS1_in_top10,4245-BS1_rank,4245-BS1_mean,4245-TS1_in_top10,4245-TS1_rank,4245-TS1_mean,4390-BS1_in_top10,4390-BS1_rank,4390-BS1_mean,n_slides_in_top10
Muscle_smooth_syst_arterial,True,1,2.4586758613586426,True,2,1.912719488143921,True,2,2.0869088172912598,3
Ciliated,True,2,2.040616512298584,True,1,2.4483652114868164,True,1,2.3705554008483887,3
Muscle_airway,True,3,1.5025060176849365,True,6,1.055091142654419,True,6,1.2089908123016357,3
SMG_Serous,True,4,1.313665509223938,True,3,1.552219271659851,True,4,1.5824579000473022,3
SMG_Duct,True,5,1.2395557165145874,True,4,1.517292857170105,True,3,1.7037467956542969,3
Muscle_smooth_pulmonary,True,6,1.0441670417785645,True,7,0.7666996717453003,True,7,0.8859810829162598,3
Fibro_adventitial,True,7,1.0096219778060913,True,5,1.1789965629577637,True,5,1.2491158246994019,3
Secretory_Goblet,True,8,0.3380526006221771,True,8,0.4121251702308655,True,8,0.5018690228462219,3
B_plasma_IgA,True,10,0.3148275315761566,True,9,0.4081830382347107,True,10,0.48278313875198364,3
SMG_Mucous,False,11,0.28717708587646484,True,10,0.39950382709503174,True,9,0.49531733989715576,2
Endothelia_vascular_venous_systemic,True,9,0.3177849054336548,False,11,0.35276636481285095,False,11,0.4576958119869232,1
