,A,B,R_val,R_z_score,R_p_val
2422,Macro_CHIT1,Macro_alv,0.5404490122212063,146.39125597908412,0.0
2423,Macro_CHIT1,Macro_dividing,0.5344575737411527,144.7683569000171,0.0
2565,Macro_alv,Macro_dividing,0.5305746787273458,143.71659833435714,0.0
1230,DC_1,Macro_CHIT1,0.515550743978215,139.64706979801326,0.0
2419,Macro_CHIT1,Macro_interstitial,0.515414438647404,139.6101488154176,0.0
1234,DC_1,Macro_alv,0.5147120761184513,139.4199000954811,0.0
2424,Macro_CHIT1,Macro_int,0.5132996869603003,139.0373266831564,0.0
1993,Erythrocyte,Macro_CHIT1,0.5132968807980326,139.03656657885506,0.0
2566,Macro_alv,Macro_int,0.51184672741467,138.64376398258372,0.0
1997,Erythrocyte,Macro_alv,0.5105572739168315,138.29449011436185,0.0
2459,Macro_interstitial,Macro_alv,0.5102164170413781,138.2021623184396,0.0
1291,DC_2,Macro_CHIT1,0.510030334399168,138.1517581709751,0.0
1235,DC_1,Macro_dividing,0.5099224735455808,138.12254193508505,0.0
1998,Erythrocyte,Macro_dividing,0.5089063052107254,137.84729273402857,0.0
2599,Macro_dividing,Macro_int,0.5081155176376538,137.6330923498724,0.0
1295,DC_2,Macro_alv,0.5080003606567043,137.6018998142312,0.0
2460,Macro_interstitial,Macro_dividing,0.5077513469658452,137.53444955317693,0.0
2429,Macro_CHIT1,Macrophage_intermediate,0.5063837644527484,137.164012902873,0.0
195,B_memory,Macro_CHIT1,0.503679161527541,136.43141794906123,0.0
2571,Macro_alv,Macrophage_intermediate,0.5036740668751288,136.4300379621457,0.0
1296,DC_2,Macro_dividing,0.5031160619682047,136.27889134642444,0.0
199,B_memory,Macro_alv,0.503008208343333,136.24967706857433,0.0
2430,Macro_CHIT1,Monocyte_CD14,0.5013256210034177,135.7939151587276,0.0
2604,Macro_dividing,Macrophage_intermediate,0.5006607510012151,135.61382202785992,0.0
200,B_memory,Macro_dividing,0.5003230318483028,135.52234414586727,0.0
2425,Macro_CHIT1,Macro_CCL,0.5002846740553054,135.51195418239894,0.0
2455,Macro_CHIT1,T_reg,0.4992721516483789,135.23769255270744,0.0
1351,DC_activated,Macro_CHIT1,0.4990635246483091,135.18118182203585,0.0
1410,DC_plasmacytoid,Macro_CHIT1,0.4980586708979606,134.90899739896838,0.0
2572,Macro_alv,Monocyte_CD14,0.497900765822703,134.86622570030724,0.0
2567,Macro_alv,Macro_CCL,0.49774565811803856,134.82421172454931,0.0
2597,Macro_alv,T_reg,0.49762007242626166,134.79019436724735,0.0
779,CD4_naive_CM,Macro_alv,0.49743255128471375,134.73940057391428,0.0
1355,DC_activated,Macro_alv,0.49724738848830796,134.6892455847969,0.0
271,B_naive,Macro_CHIT1,0.49721525299812475,134.6805410545581,0.0
1414,DC_plasmacytoid,Macro_alv,0.49706271098419164,134.63922204665118,0.0
1999,Erythrocyte,Macro_int,0.49653365349042405,134.49591640773536,0.0
775,CD4_naive_CM,Macro_CHIT1,0.49624617178361097,134.41804632715474,0.0
2605,Macro_dividing,Monocyte_CD14,0.4958691007692273,134.31590921867516,0.0
1994,Erythrocyte,Macro_interstitial,0.4958587783426666,134.31311318620067,0.0
1236,DC_1,Macro_int,0.4958480074358344,134.31019567401444,0.0
275,B_naive,Macro_alv,0.49582030008343103,134.30269059207984,0.0
2600,Macro_dividing,Macro_CCL,0.49548833353467137,134.2127709161862,0.0
1220,DC_1,Erythrocyte,0.4954481348492505,134.20188231075923,0.0
1041,CD8_TRM,Macro_CHIT1,0.49514868513765947,134.12077046044385,0.0
2630,Macro_dividing,T_reg,0.49494680654876383,134.06608766980972,0.0
1356,DC_activated,Macro_dividing,0.49471911897817955,134.0044140083265,0.0
2441,Macro_CHIT1,NK_CD16hi,0.494077419173855,133.83059698175722,0.0
1045,CD8_TRM,Macro_alv,0.4939176649174375,133.78732439597,0.0
1415,DC_plasmacytoid,Macro_dividing,0.49377473603757305,133.74860929470069,0.0
780,CD4_naive_CM,Macro_dividing,0.49377164472014445,133.74777195050953,0.0
1207,DC_1,DC_2,0.4935853113258112,133.69729988189536,0.0
2461,Macro_interstitial,Macro_int,0.4935097103661345,133.67682187344306,0.0
276,B_naive,Macro_dividing,0.4933169451235435,133.62460761209022,0.0
706,CD4_TRM,Macro_CHIT1,0.49279878204402583,133.4842529397765,0.0
636,CD4_EM_Effector,Macro_CHIT1,0.4926300804581184,133.438556793631,0.0
1231,DC_1,Macro_interstitial,0.49258014290387325,133.42503022383224,0.0
185,B_memory,Erythrocyte,0.49206730326059644,133.28611750903866,0.0
640,CD4_EM_Effector,Macro_alv,0.4920043812203016,133.269073835539,0.0
2420,Macro_CHIT1,Macro_AW_CX3CR1,0.49173768561106046,133.19683407874774,0.0
710,CD4_TRM,Macro_alv,0.4913222412362434,133.08430279005327,0.0
1046,CD8_TRM,Macro_dividing,0.49075454845841193,132.93053202375017,0.0
2568,Macro_alv,Mast_cell,0.4905311483476005,132.87001970516317,0.0
201,B_memory,Macro_int,0.490331239127479,132.81587035683685,0.0
2583,Macro_alv,NK_CD16hi,0.49022814688186267,132.78794579230586,0.0
2442,Macro_CHIT1,NKT,0.48995794967045403,132.71475755762378,0.0
641,CD4_EM_Effector,Macro_dividing,0.4898587510275247,132.68788765204255,0.0
2380,MAIT,Macro_CHIT1,0.4897500174450987,132.65843502036316,0.0
910,CD8_EM_EMRA,Macro_CHIT1,0.4897200951400997,132.65032997490735,0.0
171,B_memory,DC_1,0.4896133996008155,132.62142938734038,0.0
711,CD4_TRM,Macro_dividing,0.48950249046496813,132.59138746418185,0.0
2495,Macro_AW_CX3CR1,Macro_alv,0.4891340804841365,132.4915963671688,0.0
2004,Erythrocyte,Macrophage_intermediate,0.4890731244054189,132.47508521307057,0.0
2426,Macro_CHIT1,Mast_cell,0.48896613574800923,132.44610522868805,0.0
2616,Macro_dividing,NK_CD16hi,0.4886879272977167,132.3707469922192,0.0
976,CD8_TRM_EM,Macro_CHIT1,0.48859620295766654,132.345901648736,0.0
2584,Macro_alv,NKT,0.4885450995467013,132.3320592836898,0.0
